response_group	cog	group_hits	group_total	group_percent	other_hits	other_total	other_percent	odds_ratio	pvalue	padj	significant	enrichment_direction
Complex spatial response	J	44	1969	2.2346368715083798	186	3852	4.8286604361370715	0.4505607599682964	7.43421452978991e-7	1.7842114871495782e-5	TRUE	Depleted
Complex spatial response	I	98	1969	4.977145759268664	115	3852	2.9854620976116304	1.7019591457879826	2.0882533577488397e-4	0.0025059040292986076	TRUE	Enriched
Complex spatial response	E	138	1969	7.0086338242762825	189	3852	4.906542056074766	1.4606633175824266	0.0011486105729785851	0.009188884583828681	TRUE	Enriched
Complex spatial response	B	16	1969	0.8125952260030472	71	3852	1.8431983385254413	0.4363337897591612	0.0018862903917552915	0.011317742350531748	TRUE	Depleted
Complex spatial response	G	133	1969	6.75469781615033	192	3852	4.984423676012461	1.3808629850689875	0.006544695962804459	0.0314145406214614	TRUE	Enriched
Complex spatial response	Q	101	1969	5.129507364144236	140	3852	3.6344755970924196	1.433544172153093	0.008122700133418424	0.032490800533673696	TRUE	Enriched
Complex spatial response	L	42	1969	2.133062468257999	125	3852	3.245067497403946	0.6499004984376543	0.016021180911052466	0.050609901195307914	FALSE	Not significant
Complex spatial response	Y	1	1969	0.05078720162519045	15	3852	0.3894080996884735	0.13000154554148935	0.016869967065102638	0.050609901195307914	FALSE	Not significant
Complex spatial response	A	50	1969	2.5393600812595225	133	3852	3.4527518172377984	0.7286047507566531	0.06754923220851183	0.1801312858893649	FALSE	Not significant
Complex spatial response	U	92	1969	4.672422549517521	224	3852	5.815160955347872	0.7938686181619676	0.07607476627499134	0.1825794390599792	FALSE	Not significant
Complex spatial response	K	64	1969	3.250380904012189	161	3852	4.179646936656282	0.7702205929990454	0.08481680129899799	0.1850548391978138	FALSE	Not significant
Complex spatial response	C	80	1969	4.062976130015236	124	3852	3.2191069574247146	1.2731570100973955	0.09810366535508153	0.19620733071016305	FALSE	Not significant
Complex spatial response	F	31	1969	1.574403250380904	45	3852	1.1682242990654206	1.3531222833817604	0.22206918761185024	0.3182212211961583	FALSE	Not significant
Complex spatial response	M	24	1969	1.2188928390045708	33	3852	0.8566978193146417	1.4279553461866585	0.20549037040685417	0.3182212211961583	FALSE	Not significant
Complex spatial response	P	59	1969	2.9964448958862366	94	3852	2.4402907580477673	1.2348737702290062	0.2254066983472788	0.3182212211961583	FALSE	Not significant
Complex spatial response	S	449	1969	22.803453529710513	936	3852	24.299065420560748	0.9202605816846859	0.21639777606579785	0.3182212211961583	FALSE	Not significant
Complex spatial response	T	68	1969	3.4535297105129508	159	3852	4.127725856697819	0.8308712532854226	0.2240730037220908	0.3182212211961583	FALSE	Not significant
Complex spatial response	D	25	1969	1.2696800406297613	62	3852	1.6095534787123573	0.786128727001153	0.36137800120072866	0.48183733493430486	FALSE	Not significant
Complex spatial response	H	48	1969	2.4377856780091416	104	3852	2.699896157840083	0.9004991273884112	0.6025785374318006	0.6886611856363435	FALSE	Not significant
Complex spatial response	O	115	1969	5.840528186896902	240	3852	6.230529595015576	0.9335273546523388	0.6024316909828887	0.6886611856363435	FALSE	Not significant
Complex spatial response	V	12	1969	0.6094464195022854	18	3852	0.4672897196261682	1.3059759068783539	0.5619318488455468	0.6886611856363435	FALSE	Not significant
Complex spatial response	Z	30	1969	1.5236160487557135	61	3852	1.5835929387331256	0.9615449335375942	0.9114440051661332	0.9943025510903271	FALSE	Not significant
Complex spatial response	N	1	1969	0.05078720162519045	3	3852	0.0778816199376947	0.6519751941929727	1	1	FALSE	Not significant
Complex spatial response	W	2	1969	0.1015744032503809	3	3852	0.0778816199376947	1.3044206063260235	1	1	FALSE	Not significant
Non-contact-region specific	A	62	1262	4.91283676703645	121	4559	2.6540908093880238	1.8946743598933724	1.1344779941637851e-4	0.0013613735929965422	TRUE	Enriched
Non-contact-region specific	L	58	1262	4.595879556259905	109	4559	2.390875191928054	1.9665080047375174	8.161897469338841e-5	0.0013613735929965422	TRUE	Enriched
Non-contact-region specific	G	46	1262	3.6450079239302693	279	4559	6.119763105944286	0.5803891170429739	5.1052138163606e-4	0.00408417105308848	TRUE	Depleted
Non-contact-region specific	E	52	1262	4.120443740095087	275	4559	6.032024566790963	0.6695345792714945	0.008564682409010562	0.05138809445406337	FALSE	Not significant
Non-contact-region specific	J	66	1262	5.229793977812995	164	4559	3.597280105286247	1.4787520779339471	0.011144995058760784	0.053495976282051765	FALSE	Not significant
Non-contact-region specific	C	34	1262	2.6941362916006337	170	4559	3.7288879140162314	0.7148678007001946	0.08346037420227591	0.33384149680910363	FALSE	Not significant
Non-contact-region specific	O	89	1262	7.05229793977813	266	4559	5.834612853695986	1.22449979438553	0.11096836159468523	0.3643723658729436	FALSE	Not significant
Non-contact-region specific	P	26	1262	2.0602218700475436	127	4559	2.7856986181180083	0.7341355038165722	0.16475946552587942	0.3643723658729436	FALSE	Not significant
Non-contact-region specific	Q	43	1262	3.4072900158478605	198	4559	4.343057688089493	0.776973919940515	0.15083648823525825	0.3643723658729436	FALSE	Not significant
Non-contact-region specific	S	319	1262	25.277337559429476	1066	4559	23.382320684360604	1.1084338469959794	0.16700400102509916	0.3643723658729436	FALSE	Not significant
Non-contact-region specific	U	79	1262	6.259904912836767	237	4559	5.198508444834394	1.2177769385508879	0.1408860165665787	0.3643723658729436	FALSE	Not significant
Non-contact-region specific	N	2	1262	0.15847860538827258	2	4559	0.04386926957666155	3.6152758160315646	0.20707440824882484	0.4141488164976497	FALSE	Not significant
