response_group	cog	group_hits	group_total	group_percent	other_hits	other_total	other_percent	odds_ratio	pvalue	padj	significant	enrichment_direction
Complex spatial response	J	44	1969	2.2346368715083798	186	3852	4.8286604361370715	0.4505607599682964	7.43421452978991e-7	1.7842114871495782e-5	TRUE	Depleted
Complex spatial response	I	98	1969	4.977145759268664	115	3852	2.9854620976116304	1.7019591457879826	2.0882533577488397e-4	0.0025059040292986076	TRUE	Enriched
Complex spatial response	E	138	1969	7.0086338242762825	189	3852	4.906542056074766	1.4606633175824266	0.0011486105729785851	0.009188884583828681	TRUE	Enriched
Complex spatial response	B	16	1969	0.8125952260030472	71	3852	1.8431983385254413	0.4363337897591612	0.0018862903917552915	0.011317742350531748	TRUE	Depleted
Complex spatial response	G	133	1969	6.75469781615033	192	3852	4.984423676012461	1.3808629850689875	0.006544695962804459	0.0314145406214614	TRUE	Enriched
Complex spatial response	Q	101	1969	5.129507364144236	140	3852	3.6344755970924196	1.433544172153093	0.008122700133418424	0.032490800533673696	TRUE	Enriched
Non-contact-region specific	A	62	1262	4.91283676703645	121	4559	2.6540908093880238	1.8946743598933724	1.1344779941637851e-4	0.0013613735929965422	TRUE	Enriched
Non-contact-region specific	L	58	1262	4.595879556259905	109	4559	2.390875191928054	1.9665080047375174	8.161897469338841e-5	0.0013613735929965422	TRUE	Enriched
Non-contact-region specific	G	46	1262	3.6450079239302693	279	4559	6.119763105944286	0.5803891170429739	5.1052138163606e-4	0.00408417105308848	TRUE	Depleted
Plate-wide confrontation response	A	15	937	1.6008537886873	168	4884	3.43980343980344	0.4567465043144005	0.002054560539666481	0.04930945295199555	TRUE	Depleted
