gene_id	interaction_vs_self_padj	interaction_vs_self_lfc	interaction_vs_onu_padj	interaction_vs_onu_lfc	onu_vs_self_padj	onu_vs_self_lfc	sig_reaction_vs_noncontact	sig_reaction_vs_control	sig_control_vs_noncontact	sign_reaction_vs_noncontact	sign_reaction_vs_control	sign_control_vs_noncontact	n_significant	is_reaction_specific	is_noncontact_specific	is_plate_wide	is_complex	response_group	mean_noncontact	mean_control	mean_reaction	expression_range	minimum_relevant_padj	significance_score	maximum_abs_lfc	selection_score	selected_rank_within_group
gene_1322	0	9.67318006986221	0	9.612719435134789	0.807978599063543	0.0537623883137598	TRUE	TRUE	FALSE	1	1	1	2	TRUE	FALSE	FALSE	FALSE	Reaction-zone specific	7.853201965441747	7.876270765931292	15.191952299818881	7.338750334377134	0	300	9.67318006986221	326.6851104741016	1
gene_2352	4.97886488764321e-284	2.926128879458891	0	2.9750879283412273	0.651068360609793	-0.0471225536238991	TRUE	TRUE	FALSE	1	1	-1	2	TRUE	FALSE	FALSE	FALSE	Reaction-zone specific	11.04272187193299	11.005776640703585	13.823902328504175	2.81812568780059	0	300	2.9750879283412273	308.76830154448305	2
gene_2632	1.4888205950341496e-211	5.324525987575735	1.1082107447623898e-277	5.278592177629585	0.84828872300317	0.04220886296619818	TRUE	TRUE	FALSE	1	1	1	2	TRUE	FALSE	FALSE	FALSE	Reaction-zone specific	8.056178736355445	8.088039207724231	11.654200843635074	3.598022107279629	1.1082107447623898e-277	276.95537764341236	5.324525987575735	291.20245172584345	3
gene_4146	1.19177493550037e-281	-3.273996186871244	8.16175403954521e-282	-3.2594238305283145	0.90308349484533	-0.01377553378196816	TRUE	TRUE	FALSE	-1	-1	-1	2	TRUE	FALSE	FALSE	FALSE	Reaction-zone specific	12.920808318166776	12.90974217934239	9.988380390176726	2.93242792799005	8.16175403954521e-282	281.08821649714884	3.273996186871244	290.56863679888136	4
gene_1762	8.64972579450052e-248	-4.108940304031198	8.281143787363969e-276	-4.300035141957743	0.0572603287030874	0.18258471554061928	TRUE	TRUE	FALSE	-1	-1	1	2	TRUE	FALSE	FALSE	FALSE	Reaction-zone specific	11.331352427707081	11.501982213410868	8.422952682327256	3.079029531083611	8.281143787363969e-276	275.0819096745395	4.300035141957743	286.7610094895386	5
gene_4334	1.8330794683775199e-227	2.7075273312991417	1.4908995665274298e-245	2.7501508459892294	0.705526221607573	-0.04085631174389135	TRUE	TRUE	FALSE	1	1	-1	2	TRUE	FALSE	FALSE	FALSE	Reaction-zone specific	10.95642946741701	10.92559139253509	13.51475785943184	2.589166466896751	1.4908995665274298e-245	244.8265516115249	2.7501508459892294	252.9160197704001	6
gene_7477	6.43978458140523e-208	-1.6002737868477872	1.73005172024782e-207	-1.5915081179726258	0.90308349484533	-0.00854594974655833	TRUE	TRUE	FALSE	-1	-1	-1	2	TRUE	FALSE	FALSE	FALSE	Reaction-zone specific	14.41532913096467	14.40681004739249	12.846728102800054	1.5686010281646166	6.43978458140523e-208	207.1911286600737	1.6002737868477872	211.9602772619339	7
gene_6998	1.1753893193442096e-165	3.2792884355941228	2.9097079911326e-179	3.437823785457624	0.357009411116297	-0.143125860899364	TRUE	TRUE	FALSE	1	1	-1	2	TRUE	FALSE	FALSE	FALSE	Reaction-zone specific	15.491913574393157	15.359495929329064	18.78376434647894	3.424268417149875	2.9097079911326e-179	178.53615059321447	3.437823785457624	188.8360665812796	8
gene_4072	3.76893133745799e-144	-4.783395188539202	2.77837026775898e-155	-4.953449138904057	0.375270545555627	0.15508349515764727	TRUE	TRUE	FALSE	-1	-1	1	2	TRUE	FALSE	FALSE	FALSE	Reaction-zone specific	11.50479250846865	11.666809931466442	8.219188365636215	3.447621565830227	2.77837026775898e-155	154.55620987719848	4.953449138904057	167.91072972083683	9
gene_5450	3.0225048794967e-120	3.49373669383971	9.36945266910205e-143	3.4417811427898535	0.797904519397806	0.04908896526940988	TRUE	TRUE	FALSE	1	1	1	2	TRUE	FALSE	FALSE	FALSE	Reaction-zone specific	8.41649710266978	8.447699804208806	10.789051582942859	2.372554480273079	9.36945266910205e-143	142.02828577834717	3.49373669383971	151.38831364629965	10
gene_6716	3.68058905358755e-140	-1.7908555399163593	1.4143732242510399e-121	-1.656222509155095	0.0953888450081782	-0.13315049156708852	TRUE	TRUE	FALSE	-1	-1	-1	2	TRUE	FALSE	FALSE	FALSE	Reaction-zone specific	13.286332348158854	13.160898946521497	11.581920567404046	1.7044117807548087	3.68058905358755e-140	139.43408266984545	1.7908555399163593	144.720205530433	11
gene_331	4.53793521155488e-123	1.5589623266395063	1.76831623919458e-137	1.6008924871765375	0.625980806046314	-0.04104224003301376	TRUE	TRUE	FALSE	1	1	-1	2	TRUE	FALSE	FALSE	FALSE	Reaction-zone specific	11.24514355877425	11.207161629531086	12.707498790678903	1.500337161147817	1.76831623919458e-137	136.75244006474395	1.6008924871765375	141.45456220024485	12
gene_3698	1.2632692884428598e-117	-4.36096958961821	2.3717110214013496e-106	-4.1438360177832045	0.317216909588927	-0.19118051426204183	TRUE	TRUE	FALSE	-1	-1	-1	2	TRUE	FALSE	FALSE	FALSE	Reaction-zone specific	12.623302498617605	12.437055005435154	9.030139925142533	3.5931625734750714	1.2632692884428598e-117	116.89850406193965	4.36096958961821	129.21360581465115	13
