gene_id	response_group	interaction_vs_self_padj	interaction_vs_self_lfc	interaction_vs_onu_padj	interaction_vs_onu_lfc	onu_vs_self_padj	onu_vs_self_lfc	sig_reaction_vs_noncontact	sig_reaction_vs_control	sig_control_vs_noncontact	n_significant	mean_noncontact	mean_control	mean_reaction	expression_range	maximum_abs_lfc	minimum_relevant_padj	significance_score	selection_score
gene_1	Multi-region differential response	8.20075715074931e-8	-0.8793032633340714	6.9162845437840385e-22	-1.560299094850237	6.24856995475613e-5	0.6406421375468229	TRUE	TRUE	TRUE	3	10.250128585454842	10.826087858794889	9.570992661461728	1.2550951973331603	1.560299094850237	6.9162845437840385e-22	21.160127147663413	25.535820534697045
gene_2	Multi-region differential response	0.0182626408856535	-0.6203810212880696	3.49559617211043e-6	-1.2394294472008789	0.0376963057289506	0.5207737917890812	TRUE	TRUE	TRUE	3	8.725564160617152	9.088036626792604	8.390617666539837	0.697418960252767	1.2394294472008789	3.49559617211043e-6	5.456478744903214	8.632756599557739
gene_3	Multi-region differential response	0.0499506194222539	-0.35774627995093344	3.9387354885982895e-12	-1.2194154855810382	1.78523661166746e-6	0.8298076936938936	TRUE	TRUE	TRUE	3	9.503062127433509	10.166844066139339	9.254199542873025	0.9126445232663141	1.2194154855810382	3.9387354885982895e-12	11.404643183877175	14.756118678305565
gene_4	Reaction-zone specific	6.91665906546163e-5	-1.4312669023613118	1.50048999996645e-8	-2.048003374757356	0.123660227242022	0.4426596064131371	TRUE	TRUE	FALSE	2	8.107874894229903	8.382244609658972	7.675744195642974	0.7065004140159985	2.048003374757356	1.50048999996645e-8	7.8237668945902525	12.626274058120963
gene_5	Plate-wide response	0.0751716537598463	-0.4519645185178548	2.1668187609368e-7	-1.2828198754964362	0.00116250478547209	0.7533344351266104	FALSE	TRUE	TRUE	2	8.163774426569477	8.51647757954125	7.977490128013268	0.5389874515279827	1.2828198754964362	2.1668187609368e-7	6.664177412822672	9.768804615343527
gene_6	NA	0.14107809977243	-0.24182665066318643	0.650573970623156	-0.08256696331551493	0.37606011005782	-0.15309021208725573	FALSE	FALSE	FALSE	0	13.802673672104046	13.644020896206218	13.567541883291536	0.2351317888125095	0.24182665066318643	0.14107809977243	0.8505403986211189	1.5693254887600012
gene_7	Non-contact specific	9.9593444826772e-4	1.3104102420150097	0.734770183172737	-0.10548331240729152	1.846437160055e-4	1.4804861983130166	TRUE	FALSE	TRUE	2	7.538678372537794	7.9957882017132675	7.9479801757508834	0.45710982917547316	1.4804861983130166	1.846437160055e-4	3.7336654681406767	7.151747693942183
gene_8	Non-contact specific	0.00127334177080256	0.4489750492397053	0.0681745010188596	-0.255211232621295	1.62540988262187e-7	0.7115576799173827	TRUE	FALSE	TRUE	2	10.047203469669109	10.657988712530546	10.434740415460814	0.6107852428614375	0.7115576799173827	1.62540988262187e-7	6.789037104030034	8.822937706726236
gene_9	NA	0.432055657827311	-0.21280920580164928	0.192332643151519	-0.3221477439689451	0.68281136991556	0.1083634935866242	FALSE	FALSE	FALSE	0	8.137400988267117	8.211559585674225	8.061100206575516	0.15045937909870943	0.3221477439689451	0.192332643151519	0.7159470000181318	1.5107018670547314
gene_10	NA	0.161294791254974	0.3103197970094507	0.0542258676699065	-0.39697959862134446	4.9569255292567e-4	0.7309516114237797	FALSE	FALSE	TRUE	1	8.502895002923697	8.934939191175259	8.681433795480931	0.4320441882515613	0.7309516114237797	4.9569255292567e-4	3.3047876057016325	5.198735016800754
