gene_id	contrast	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	mrna_id	signalp_prediction	signalp_is_sp	signalp_other_score	signalp_sp_score	signalp_cs_position	dbcan_any_hit	dbcan_high_confidence	dbcan_n_tools	dbcan_ec	dbcan_hmm	dbcan_sub	dbcan_diamond	dbcan_recommended	dbcan_substrate	de_significant_padj_lt_0.05	de_strong_padj_lt_0.05_abs_log2fc_gt_1	de_direction	signalp_positive_candidate	significant_signalp_candidate	strong_signalp_candidate
gene_4899	interaction_vs_onu	11339.2835033494	1.48446579694794	0.0520258486917186	28.5332355795713	4.53524847467835e-179	1.68790117144551e-176	mRNA_4899	SP	TRUE	0.000503	0.999470	CS pos: 18-19. Pr: 0.9737	FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	up	TRUE	TRUE	TRUE
gene_1970	interaction_vs_onu	582.67167028229	2.83540589779548	0.102011564639535	27.7949456790961	4.99295227449059e-170	1.70958685878558e-167	mRNA_1970	SP	TRUE	0.000199	0.999776	CS pos: 23-24. Pr: 0.9776	TRUE	FALSE	1	-	-	-	AA7	-	-	TRUE	TRUE	up	TRUE	TRUE	TRUE
gene_1109	interaction_vs_onu	27494.895952857	-2.44581085129873	0.090914194102818	-26.9024091940217	2.0582073728978e-159	6.29223396857326e-157	mRNA_1109	SP	TRUE	0.000358	0.999610	CS pos: 18-19. Pr: 0.9816	TRUE	TRUE	3	3.2.1.20:20	GH31_1(349-910)	GH31_e82(350-911)	GH31_1+GH31_1	GH31_1	alpha-glucan	TRUE	TRUE	down	TRUE	TRUE	TRUE
gene_2947	interaction_vs_onu	1030.53678945043	-3.16806390624081	0.123469859417218	-25.6586013881782	3.38970361589635e-145	9.06745717252274e-143	mRNA_2947	SP	TRUE	0.000223	0.999760	CS pos: 18-19. Pr: 0.9771	TRUE	TRUE	3	3.2.1.1:16|1.14.99.55:4	GH13_1(57-361)+CBM20(527-617)	GH13_e19(58-362)+CBM20_e25(529-618)	GH13_1+CBM20+GH13_1	GH13_1|CBM20_e25	alpha-glucan	TRUE	TRUE	down	TRUE	TRUE	TRUE
gene_4724	interaction_vs_onu	454.526733539346	-4.53285984261335	0.183068816042447	-24.7604149117474	2.39468615514155e-135	5.25602909949017e-133	mRNA_4724	SP	TRUE	0.000220	0.999748	CS pos: 20-21. Pr: 0.9742	TRUE	TRUE	3	3.2.1.55:10	GH51_2(201-629)	GH51_e35(200-628)	GH51_2+GH51_2	GH51_2	arabinan	TRUE	TRUE	down	TRUE	TRUE	TRUE
gene_7428	interaction_vs_onu	583.887674460287	2.68569399689169	0.120058407939152	22.3698951451434	7.73182565903641e-111	1.12176996002291e-108	mRNA_7428	SP	TRUE	0.000259	0.999730	CS pos: 22-23. Pr: 0.9683	FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	up	TRUE	TRUE	TRUE
gene_3698	interaction_vs_onu	3938.97136626651	-4.16181717763876	0.188062710805202	-22.1299435694599	1.62780794362798e-108	2.28426819630418e-106	mRNA_3698	SP	TRUE	0.001549	0.998415	CS pos: 21-22. Pr: 0.9725	FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	down	TRUE	TRUE	TRUE
gene_4965	interaction_vs_onu	720.239765753949	1.97103446830463	0.0917964603671792	21.471791618333	2.8578598615272e-102	3.65123588278699e-100	mRNA_4965	SP	TRUE	0.118394	0.881571	CS pos: 22-23. Pr: 0.5560	TRUE	FALSE	1	-	-	-	CBM50+CBM50+CBM50	-	-	TRUE	TRUE	up	TRUE	TRUE	TRUE
gene_2318	interaction_vs_onu	7986.01594693916	1.46799092869317	0.0714938071891899	20.5331200898073	1.08949558684178e-93	1.18051673713489e-91	mRNA_2318	SP	TRUE	0.000205	0.999738	CS pos: 20-21. Pr: 0.9784	TRUE	TRUE	3	-	GH17(72-302)	GH17_e7(72-313)	GH17	GH17_e7	-	TRUE	TRUE	up	TRUE	TRUE	TRUE
gene_1516	interaction_vs_onu	8225.04538804096	1.44264233331802	0.0739492997768896	19.5085327064702	9.29108110660577e-85	9.24786677587738e-83	mRNA_1516	SP	TRUE	0.000401	0.999565	CS pos: 19-20. Pr: 0.9757	FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	up	TRUE	TRUE	TRUE
gene_5011	interaction_vs_onu	406.626012747588	-2.73081901638541	0.140865790842542	-19.3859630507303	1.01389262453887e-83	9.97577111040545e-82	mRNA_5011	SP	TRUE	0.000343	0.999647	CS pos: 26-27. Pr: 0.5254	FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	down	TRUE	TRUE	TRUE
gene_6022	interaction_vs_onu	964.993399145179	2.10727441016777	0.109222541481734	19.2934020906315	6.10224910813268e-83	5.80391692951286e-81	mRNA_6022	SP	TRUE	0.000262	0.999720	CS pos: 20-21. Pr: 0.9743	FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	up	TRUE	TRUE	TRUE
gene_892	interaction_vs_onu	1704.27434134779	1.55844865515204	0.0819540794960987	19.016120548657	1.25428053724629e-80	1.14219589349237e-78	mRNA_892	SP	TRUE	0.001649	0.998323	CS pos: 25-26. Pr: 0.9462	FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	up	TRUE	TRUE	TRUE
gene_2006	interaction_vs_onu	345.454325747584	2.34954021211651	0.12377992418793	18.9815935623721	2.42139251701819e-80	2.18180209954481e-78	mRNA_2006	SP	TRUE	0.000242	0.999739	CS pos: 15-16. Pr: 0.9684	FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	up	TRUE	TRUE	TRUE
gene_5659	interaction_vs_onu	2849.55633332275	-2.46054823647221	0.139352609890224	-17.656994285292	8.99013085202604e-70	6.99595637212208e-68	mRNA_5659	SP	TRUE	0.000320	0.999622	CS pos: 21-22. Pr: 0.9787	TRUE	TRUE	3	3.2.1.21:10;3.2.1.37:4	GH3(89-302)	GH3_e32(89-303)	GH3	GH3_e32	beta-glucan;xylan	TRUE	TRUE	down	TRUE	TRUE	TRUE
gene_6102	interaction_vs_onu	444.205200007386	1.76850568094743	0.100766860308901	17.550469226947	5.899064147564e-69	4.4294727283463e-67	mRNA_6102	SP	TRUE	0.000252	0.999704	CS pos: 18-19. Pr: 0.9690	FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	up	TRUE	TRUE	TRUE
gene_3136	interaction_vs_onu	972.034029038747	1.55746652901596	0.0893082738022183	17.4392188171179	4.15717336627753e-68	3.04148752267826e-66	mRNA_3136	SP	TRUE	0.000432	0.999560	CS pos: 18-19. Pr: 0.9757	FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	up	TRUE	TRUE	TRUE
gene_6610	interaction_vs_onu	3143.83033228001	1.26434132415184	0.0731551039370083	17.2830227299046	6.31499915060323e-67	4.4674704734846e-65	mRNA_6610	SP	TRUE	0.000224	0.999758	CS pos: 21-22. Pr: 0.9656	FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	up	TRUE	TRUE	TRUE
gene_3955	interaction_vs_onu	2587.9637461091	-2.09469624849493	0.122423106414188	-17.1103013952942	1.24354356703397e-65	8.51578634704865e-64	mRNA_3955	SP	TRUE	0.000332	0.999653	CS pos: 23-24. Pr: 0.9699	TRUE	FALSE	1	-	-	-	CBM35	-	-	TRUE	TRUE	down	TRUE	TRUE	TRUE
gene_4908	interaction_vs_onu	306.831807762808	2.91453744696945	0.172671385638433	16.8790991987078	6.41156839928281e-64	4.12654327051585e-62	mRNA_4908	SP	TRUE	0.000289	0.999692	CS pos: 18-19. Pr: 0.9717	TRUE	FALSE	1	-	-	-	GT71	-	-	TRUE	TRUE	up	TRUE	TRUE	TRUE
gene_8014	interaction_vs_onu	943.614901632366	1.59611359465344	0.0950180452923778	16.7980049446615	2.52391497366629e-63	1.57698629011558e-61	mRNA_8014	SP	TRUE	0.001191	0.998790	CS pos: 17-18. Pr: 0.9536	TRUE	FALSE	1	-	-	-	GT0	-	-	TRUE	TRUE	up	TRUE	TRUE	TRUE
gene_8320	interaction_vs_onu	283.096359523236	3.00906955098971	0.181414224617679	16.586734349697	8.69197903066266e-62	5.23967186637129e-60	mRNA_8320	SP	TRUE	0.000236	0.999729	CS pos: 29-30. Pr: 0.6709	FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	up	TRUE	TRUE	TRUE
