gene_id	mrna_id	signalp_prediction	signalp_is_sp	signalp_other_score	signalp_sp_score	signalp_cs_position	dbcan_any_hit	dbcan_high_confidence	dbcan_n_tools	dbcan_ec	dbcan_hmm	dbcan_sub	dbcan_diamond	dbcan_recommended	dbcan_substrate
gene_1	mRNA_1	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_2	mRNA_2	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_3	mRNA_3	OTHER	FALSE	1.000000	0.000000		TRUE	FALSE	1	-	-	-	GH43_36+CBM91+GH43_36	-	-
gene_4	mRNA_4	OTHER	FALSE	1.000000	0.000008		TRUE	FALSE	1	-	-	-	GT2	-	-
gene_5	mRNA_5	OTHER	FALSE	1.000000	0.000008		FALSE	FALSE	0	-	-	-	-	-	-
gene_6	mRNA_6	OTHER	FALSE	1.000000	0.000005		TRUE	FALSE	1	-	-	-	CE4	-	-
gene_7	mRNA_7	OTHER	FALSE	1.000000	0.000001		FALSE	FALSE	0	-	-	-	-	-	-
gene_8	mRNA_8	OTHER	FALSE	0.999957	0.000069		FALSE	FALSE	0	-	-	-	-	-	-
gene_9	mRNA_9	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_10	mRNA_10	OTHER	FALSE	0.999961	0.000042		TRUE	FALSE	1	-	-	-	GH35	-	-
gene_11	mRNA_11	SP	TRUE	0.000244	0.999732	CS pos: 17-18. Pr: 0.9692	FALSE	FALSE	0	-	-	-	-	-	-
gene_12	mRNA_12	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_13	mRNA_13	OTHER	FALSE	0.999997	0.000017		FALSE	FALSE	0	-	-	-	-	-	-
gene_14	mRNA_14	OTHER	FALSE	1.000000	0.000000		TRUE	TRUE	3	-|-	CBM67(23-112)+GH78(330-784)	CBM67_e14(16-173)+GH78_e23(258-779)	GH78	CBM67_e14|GH78_e23	rhamnose
gene_15	mRNA_15	OTHER	FALSE	1.000000	0.000001		FALSE	FALSE	0	-	-	-	-	-	-
gene_16	mRNA_16	OTHER	FALSE	0.999902	0.000105		FALSE	FALSE	0	-	-	-	-	-	-
gene_17	mRNA_17	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_18	mRNA_18	OTHER	FALSE	0.999976	0.000068		FALSE	FALSE	0	-	-	-	-	-	-
gene_19	mRNA_19	OTHER	FALSE	1.000000	0.000000		TRUE	FALSE	1	-	-	-	GH78+GH43_14+CBM91+GH43_14	-	-
gene_20	mRNA_20	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_21	mRNA_21	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-
gene_22	mRNA_22	OTHER	FALSE	1.000000	0.000000		TRUE	FALSE	1	-	-	-	GH18	-	-
gene_23	mRNA_23	OTHER	FALSE	1.000000	0.000000		TRUE	FALSE	1	-	-	-	GH0	-	-
gene_24	mRNA_24	OTHER	FALSE	1.000000	0.000002		FALSE	FALSE	0	-	-	-	-	-	-
