gene_id	contrast	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	mrna_id	signalp_prediction	signalp_is_sp	signalp_other_score	signalp_sp_score	signalp_cs_position	dbcan_any_hit	dbcan_high_confidence	dbcan_n_tools	dbcan_ec	dbcan_hmm	dbcan_sub	dbcan_diamond	dbcan_recommended	dbcan_substrate	de_significant_padj_lt_0.05	de_strong_padj_lt_0.05_abs_log2fc_gt_1	de_direction	dbcan_any_hit_candidate	high_confidence_cazyme	significant_high_confidence_cazyme	strong_high_confidence_cazyme
gene_1109	interaction_vs_self	27494.895952857	-3.05514787792985	0.0909583652042198	-33.5884211536831	2.4759966283837e-247	1.11550163889286e-244	mRNA_1109	SP	TRUE	0.000358	0.999610	CS pos: 18-19. Pr: 0.9816	TRUE	TRUE	3	3.2.1.20:20	GH31_1(349-910)	GH31_e82(350-911)	GH31_1+GH31_1	GH31_1	alpha-glucan	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_2947	interaction_vs_self	1030.53678945043	-3.77128107430271	0.124303367070502	-30.3393316141126	3.47414231307444e-202	9.01171460603551e-200	mRNA_2947	SP	TRUE	0.000223	0.999760	CS pos: 18-19. Pr: 0.9771	TRUE	TRUE	3	3.2.1.1:16|1.14.99.55:4	GH13_1(57-361)+CBM20(527-617)	GH13_e19(58-362)+CBM20_e25(529-618)	GH13_1+CBM20+GH13_1	GH13_1|CBM20_e25	alpha-glucan	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_5659	interaction_vs_self	2849.55633332275	-3.50981822053998	0.139464272259695	-25.1664326904054	9.3406018922101e-140	1.19336645070625e-137	mRNA_5659	SP	TRUE	0.000320	0.999622	CS pos: 21-22. Pr: 0.9787	TRUE	TRUE	3	3.2.1.21:10;3.2.1.37:4	GH3(89-302)	GH3_e32(89-303)	GH3	GH3_e32	beta-glucan;xylan	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_4071	interaction_vs_self	914.255153302194	-3.35455799410358	0.142400105447661	-23.5572718401992	1.05742131936122e-122	1.1755229212639e-120	mRNA_4071	OTHER	FALSE	1.000000	0.000040		TRUE	TRUE	3	-	GH35(21-222)	GH35_e11(22-206)	GH35	GH35_e11	-	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_5169	interaction_vs_self	5197.8786493525	-3.15579275246409	0.137179158594454	-23.0048994672261	4.1635865546388e-117	4.00452819187731e-115	mRNA_5169	SP	TRUE	0.000210	0.999781	CS pos: 19-20. Pr: 0.9781	TRUE	TRUE	3	-	GH125(73-523)	GH125_e2(74-524)	GH125	GH125_e2	alpha-mannan	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_2946	interaction_vs_self	3235.13609911483	-1.77809035741351	0.0850827137463377	-20.898373819089	5.54003300372449e-97	3.64789865476013e-95	mRNA_2946	SP	TRUE	0.000309	0.999666	CS pos: 20-21. Pr: 0.9855	TRUE	TRUE	3	3.2.1.3:94|1.14.99.55:4	GH15(61-460)+CBM20(540-630)	GH15_e31(67-461)+CBM20_e25(541-630)	GH15+CBM20	GH15_e31|CBM20_e25	alpha-glucan	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_1439	interaction_vs_self	3522.25300867635	-2.04015285240268	0.105939553830036	-19.2577066699356	1.21648232312297e-82	6.19826707495991e-81	mRNA_1439	SP	TRUE	0.001124	0.998859	CS pos: 20-21. Pr: 0.9476	TRUE	TRUE	3	3.2.1.21:43;3.2.1.-:1	GH3(90-311)	GH3_e16(91-312)	GH3	GH3_e16	beta-glucan;xyloglucan	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_2886	interaction_vs_self	3781.64597397289	-2.00219374989131	0.111477628209706	-17.9604982815465	3.97225892018092e-72	1.71729981599741e-70	mRNA_2886	SP	TRUE	0.000396	0.999576	CS pos: 36-37. Pr: 0.9584	TRUE	TRUE	3	3.2.1.28:1	GH37(67-644)	GH37_e4(68-645)	GH37	GH37_e4	trehalose	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_1307	interaction_vs_self	679.355907960736	-2.56234104324747	0.15017450732015	-17.0624235029781	2.82584455818251e-65	1.03372775290779e-63	mRNA_1307	SP	TRUE	0.000245	0.999735	CS pos: 22-23. Pr: 0.9676	TRUE	TRUE	3	-	GH43_21(77-316)	GH43_e58(79-317)	GH43_21+GH43_21	GH43_21	-	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_5980	interaction_vs_self	7546.98083061133	-1.44826446742831	0.0852129444707427	-16.9958270591807	8.81778485245807e-65	3.15816896807703e-63	mRNA_5980	OTHER	FALSE	1.000000	0.000000		TRUE	TRUE	3	1.1.3.13:12	AA3_3(5-641)	AA3_e3(6-642)	AA3_3+AA3_3	AA3_3	lignin	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
