gene_id	protein_id	go_id	go_name	go_type	ontology
gene_1	1978561	GO:0003700	transcription factor activity	molecular_function	MF
gene_1	1978561	GO:0005634	nucleus	cellular_component	CC
gene_1	1978561	GO:0006355	regulation of transcription, DNA-dependent	biological_process	BP
gene_1	1978561	GO:0008270	zinc ion binding	molecular_function	MF
gene_1	1978561	GO:0003677	DNA binding	molecular_function	MF
gene_1	1978561	GO:0006350	transcription	biological_process	BP
gene_2	1978562	GO:0016884	carbon-nitrogen ligase activity, with glutamine as amido-N-donor	molecular_function	MF
gene_2	1978562	GO:0004040	amidase activity	molecular_function	MF
gene_3	1978563	GO:0003700	transcription factor activity	molecular_function	MF
gene_3	1978563	GO:0005634	nucleus	cellular_component	CC
gene_3	1978563	GO:0006355	regulation of transcription, DNA-dependent	biological_process	BP
gene_3	1978563	GO:0008270	zinc ion binding	molecular_function	MF
gene_3	1978563	GO:0003677	DNA binding	molecular_function	MF
gene_3	1978563	GO:0006350	transcription	biological_process	BP
gene_5	1978565	GO:0016491	oxidoreductase activity	molecular_function	MF
gene_7	1978567	GO:0004396	hexokinase activity	molecular_function	MF
gene_7	1978567	GO:0005524	ATP binding	molecular_function	MF
gene_7	1978567	GO:0006096	glycolysis	biological_process	BP
gene_8	1978568	GO:0003700	transcription factor activity	molecular_function	MF
gene_8	1978568	GO:0005634	nucleus	cellular_component	CC
gene_8	1978568	GO:0006355	regulation of transcription, DNA-dependent	biological_process	BP
gene_8	1978568	GO:0008270	zinc ion binding	molecular_function	MF
gene_9	1978569	GO:0004342	glucosamine-6-phosphate deaminase activity	molecular_function	MF
gene_9	1978569	GO:0006044	N-acetylglucosamine metabolic process	biological_process	BP
gene_9	1978569	GO:0005975	carbohydrate metabolic process	biological_process	BP
gene_10	1978570	GO:0006865	amino acid transport	biological_process	BP
gene_10	1978570	GO:0015171	amino acid transmembrane transporter activity	molecular_function	MF
gene_10	1978570	GO:0016020	membrane	cellular_component	CC
gene_13	1978573	GO:0005351	sugar:hydrogen symporter activity	molecular_function	MF
gene_13	1978573	GO:0008643	carbohydrate transport	biological_process	BP
gene_13	1978573	GO:0016020	membrane	cellular_component	CC
gene_13	1978573	GO:0005215	transporter activity	molecular_function	MF
gene_13	1978573	GO:0006810	transport	biological_process	BP
gene_13	1978573	GO:0016021	integral to membrane	cellular_component	CC
gene_14	1978574	GO:0003824	catalytic activity	molecular_function	MF
gene_18	1978578	GO:0003684	damaged DNA binding	molecular_function	MF
gene_18	1978578	GO:0005634	nucleus	cellular_component	CC
gene_18	1978578	GO:0006289	nucleotide-excision repair	biological_process	BP
gene_18	1978578	GO:0000166	nucleotide binding	molecular_function	MF
gene_20	1978580	GO:0000786	nucleosome	cellular_component	CC
gene_20	1978580	GO:0003677	DNA binding	molecular_function	MF
gene_20	1978580	GO:0005634	nucleus	cellular_component	CC
gene_20	1978580	GO:0006334	nucleosome assembly	biological_process	BP
gene_22	1978582	GO:0003676	nucleic acid binding	molecular_function	MF
gene_23	1978583	GO:0003968	RNA-directed RNA polymerase activity	molecular_function	MF
gene_26	1978586	GO:0000166	nucleotide binding	molecular_function	MF
gene_26	1978586	GO:0017111	nucleoside-triphosphatase activity	molecular_function	MF
gene_26	1978586	GO:0005524	ATP binding	molecular_function	MF
gene_26	1978586	GO:0005634	nucleus	cellular_component	CC
gene_26	1978586	GO:0005737	cytoplasm	cellular_component	CC
gene_26	1978586	GO:0016787	hydrolase activity	molecular_function	MF
gene_26	1978586	GO:0030163	protein catabolic process	biological_process	BP
gene_29	1978589	GO:0004194	pepsin A activity	molecular_function	MF
gene_29	1978589	GO:0006508	proteolysis	biological_process	BP
gene_31	1978591	GO:0006520	amino acid metabolic process	biological_process	BP
gene_31	1978591	GO:0030170	pyridoxal phosphate binding	molecular_function	MF
gene_31	1978591	GO:0003824	catalytic activity	molecular_function	MF
gene_31	1978591	GO:0008152	metabolic process	biological_process	BP
gene_31	1978591	GO:0004795	threonine synthase activity	molecular_function	MF
gene_31	1978591	GO:0009088	threonine biosynthetic process	biological_process	BP
gene_33	1978593	GO:0003993	acid phosphatase activity	molecular_function	MF
gene_34	1978594	GO:0003676	nucleic acid binding	molecular_function	MF
gene_34	1978594	GO:0005622	intracellular	cellular_component	CC
gene_34	1978594	GO:0008270	zinc ion binding	molecular_function	MF
gene_36	1978596	GO:0006621	protein retention in ER	biological_process	BP
gene_36	1978596	GO:0016021	integral to membrane	cellular_component	CC
