gene_id	contrast	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	mrna_id	signalp_prediction	signalp_is_sp	signalp_other_score	signalp_sp_score	signalp_cs_position	dbcan_any_hit	dbcan_high_confidence	dbcan_n_tools	dbcan_ec	dbcan_hmm	dbcan_sub	dbcan_diamond	dbcan_recommended	dbcan_substrate	de_significant_padj_lt_0.05	de_strong_padj_lt_0.05_abs_log2fc_gt_1	de_direction	signalp_positive_candidate	significant_signalp_candidate	strong_signalp_candidate
gene_3809	onu_vs_self	11257.1832101299	4.29456354574599	0.0820004420658637	52.3724438253217	0	0	mRNA_3809	SP	TRUE	0.000280	0.999686	CS pos: 26-27. Pr: 0.9674	FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	up	TRUE	TRUE	TRUE
gene_3064	onu_vs_self	5260.92854873376	1.95450224925416	0.0639382478342363	30.5685925945503	3.20171209495134e-205	8.06078103905397e-203	mRNA_3064	SP	TRUE	0.325740	0.674224	CS pos: 30-31. Pr: 0.2090	FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	up	TRUE	TRUE	TRUE
gene_6970	onu_vs_self	1367.77174959765	2.52843696685651	0.103644699295964	24.3952366501291	1.92131340348661e-131	2.41859451968315e-129	mRNA_6970	SP	TRUE	0.000289	0.999688	CS pos: 18-19. Pr: 0.9644	FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	up	TRUE	TRUE	TRUE
gene_1514	onu_vs_self	1870.32807449344	1.78713223829056	0.0788230929578395	22.6726987133892	8.33262317669533e-114	8.19853498764506e-112	mRNA_1514	SP	TRUE	0.168104	0.831881	CS pos: 36-37. Pr: 0.6060	TRUE	FALSE	1	-	-	-	CBM1+AA9	-	-	TRUE	TRUE	up	TRUE	TRUE	TRUE
gene_1575	onu_vs_self	935.456501955207	3.15249843018125	0.13926821110871	22.6361666103435	1.90944695273363e-113	1.85737112674998e-111	mRNA_1575	SP	TRUE	0.000258	0.999676	CS pos: 17-18. Pr: 0.9798	TRUE	TRUE	3	3.2.1.15:80	GH28(54-373)	GH28_e75(56-372)	GH28	GH28_e75	pectin	TRUE	TRUE	up	TRUE	TRUE	TRUE
gene_5443	onu_vs_self	2337.22131810027	1.4333841927162	0.0748840117538582	19.1413915887372	1.14179453718431e-81	7.94614734820948e-80	mRNA_5443	SP	TRUE	0.000312	0.999658	CS pos: 18-19. Pr: 0.9788	TRUE	TRUE	3	3.2.1.4:38	GH5_5(49-327)	GH5_e137(50-327)	GH5_5+GH5_5	GH5_5	beta-glucan	TRUE	TRUE	up	TRUE	TRUE	TRUE
gene_7289	onu_vs_self	1309.02644108875	2.0989720302392	0.110720112249881	18.9574593774083	3.83213520062333e-80	2.56274041541685e-78	mRNA_7289	SP	TRUE	0.000387	0.999594	CS pos: 17-18. Pr: 0.9750	FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	up	TRUE	TRUE	TRUE
gene_636	onu_vs_self	578.912871531249	2.48067258322893	0.131100651344378	18.92189365797	7.52998370908214e-80	4.92035576715596e-78	mRNA_636	SP	TRUE	0.000721	0.999233	CS pos: 15-16. Pr: 0.9376	TRUE	TRUE	3	3.1.1.-:1	CE12(18-235)	CE12_e43(19-235)	CE12	CE12_e43	xylan	TRUE	TRUE	up	TRUE	TRUE	TRUE
gene_7288	onu_vs_self	4326.66385629582	1.47008798116828	0.0787996253470578	18.6560275470037	1.12812479726591e-77	6.99764366999726e-76	mRNA_7288	SP	TRUE	0.000367	0.999610	CS pos: 18-19. Pr: 0.9352	FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	up	TRUE	TRUE	TRUE
gene_5065	onu_vs_self	1701.16694549723	1.09890555752862	0.0654628025092612	16.7867172715857	3.05269694784936e-63	1.51924917869713e-61	mRNA_5065	SP	TRUE	0.000248	0.999746	CS pos: 24-25. Pr: 0.9343	TRUE	TRUE	3	1.10.3.2:1	AA1(73-249)+AA1(335-626)	AA1_e8(74-626)	AA1	AA1_e8	lignin	TRUE	TRUE	up	TRUE	TRUE	TRUE
gene_4724	onu_vs_self	454.526733539346	2.07908374790066	0.125179241716335	16.6088539872451	6.01309912674189e-62	2.95816830602934e-60	mRNA_4724	SP	TRUE	0.000220	0.999748	CS pos: 20-21. Pr: 0.9742	TRUE	TRUE	3	3.2.1.55:10	GH51_2(201-629)	GH51_e35(200-628)	GH51_2+GH51_2	GH51_2	arabinan	TRUE	TRUE	up	TRUE	TRUE	TRUE
