organism	gene_id	base_mean	raw_lfc	shrunk_lfc	padj	direction	eggnog_annotated	preferred_name	description	seed_ortholog	ortholog_groups	max_annotation_level	cog_category	pfam	eggnog_go	eggnog_ec	eggnog_kegg_ko	eggnog_kegg_pathway	eggnog_cazy	signal_peptide	dbcan_any_hit	dbcan_high_confidence	dbcan_family	dbcan_substrate	jgi_go_names	jgi_kegg_definition	jgi_kegg_pathway	display_label	annotation_quality	theme	full_annotation	strong
Fusarium	TRINITY_DN2760_c0_g1	401.8436486752	-1.24213957805141	-1.21346525616506	1.24836280098186e-18	Downregulated	TRUE	DAO1	D-amino-acid oxidase; FAD dependent oxidoreductase	5111.M1W507; 73501.XP_006665243.1; 568076.XP_007823230.1	COG0665@1|root,KOG3923@2759|Eukaryota,39SQP@33154|Opisthokonta,3NXYK@4751|Fungi,3QKPT@4890|Ascomycota,2132V@147550|Sordariomycetes,3TFX8@5125|Hypocreales; COG0665@1|root,KOG3923@2759|Eukaryota,39SQP@33154|Opisthokonta,3NXYK@4751|Fungi,3QKPT@4890|Ascomycota,2132V@147550|Sordariomycetes,3TFX8@5125|Hypocreales,3G0MU@34397|Clavicipitaceae	4751|Fungi	E	DAO		1.4.3.1,1.4.3.3	ko:K00272,ko:K00273	ko00250,ko00260,ko00311,ko00330,ko00472,ko01100,ko01130,ko04146,map00250,map00260,map00311,map00330,map00472,map01100,map01130,map04146		FALSE	TRUE	FALSE						DAO1	Named gene	Regulation/signalling	D-amino-acid oxidase; FAD dependent oxidoreductase	TRUE
Fusarium	TRINITY_DN3394_c0_g1	363.277397170557	-1.95199224584839	-1.93153628281372	5.92887528806301e-41	Downregulated	TRUE		Belongs to the short-chain dehydrogenases reductases (SDR) family	5507.FOXG_17163P0	COG1028@1|root,KOG4169@2759|Eukaryota,3AI3P@33154|Opisthokonta,3PAYF@4751|Fungi,3QQY2@4890|Ascomycota,218B1@147550|Sordariomycetes,3TUJ8@5125|Hypocreales,1FTFD@110618|Nectriaceae	4751|Fungi	Q	adh_short						FALSE	FALSE	FALSE						Belongs to the short-chain dehydrogenases reductases (SDR) family	Specific description	Regulation/signalling	Belongs to the short-chain dehydrogenases reductases (SDR) family	TRUE
Fusarium	TRINITY_DN16672_c0_g1	21.375191062326	-2.19968418872539	-1.83375305165247	0.00100320551926642	Downregulated	TRUE		zinc finger	101028.EKJ79009	KOG1721@1|root,KOG1721@2759|Eukaryota,3ABYU@33154|Opisthokonta,3P8HD@4751|Fungi,3QZ8B@4890|Ascomycota,214BN@147550|Sordariomycetes,3TDYQ@5125|Hypocreales,1FRG0@110618|Nectriaceae	4751|Fungi	S	zf-C2H2			ko:K09465			FALSE	FALSE	FALSE						zinc finger	Specific description	Regulation/signalling	zinc finger	TRUE
Fusarium	TRINITY_DN4521_c0_g1	22.7195158756734	-2.16295100369989	-1.66813710738615	0.00335293837981196	Downregulated	TRUE		cellulose-binding family ii	5127.CCT73102	2CAP4@1|root,2QQXU@2759|Eukaryota,39KSE@33154|Opisthokonta,3NWM7@4751|Fungi,3QMRM@4890|Ascomycota,214QD@147550|Sordariomycetes,3TVTB@5125|Hypocreales,1FVV7@110618|Nectriaceae	4751|Fungi	S	CBM_1						TRUE	TRUE	FALSE						cellulose-binding family ii	Specific description	Regulation/signalling	cellulose-binding family ii	TRUE
Fusarium	TRINITY_DN538_c0_g3	573.097066654473	-1.6539861394318	-1.64119311473834	2.80758238984832e-55	Downregulated	TRUE		WSC domain	101028.EKJ73167	2CMI8@1|root,2QQEE@2759|Eukaryota,39KDJ@33154|Opisthokonta,3Q4S3@4751|Fungi,3RN1Z@4890|Ascomycota,21R95@147550|Sordariomycetes,3TUG0@5125|Hypocreales,1FUCK@110618|Nectriaceae	4751|Fungi	S	WSC						FALSE	FALSE	FALSE						WSC domain	Specific description	Regulation/signalling	WSC domain	TRUE
Fusarium	TRINITY_DN15127_c0_g1	28.3681540389652	-1.71469902929622	-1.47366528858329	3.845243190963e-4	Downregulated	TRUE		Luciferase-like monooxygenase	5507.FOXG_10664P0	COG2141@1|root,2QSR6@2759|Eukaryota,38D4H@33154|Opisthokonta,3NWAI@4751|Fungi,3QM3E@4890|Ascomycota,214HE@147550|Sordariomycetes,3THU3@5125|Hypocreales,1FW0H@110618|Nectriaceae	4751|Fungi	E	Bac_luciferase		1.14.14.5	ko:K04091	ko00920,map00920		FALSE	TRUE	FALSE						Luciferase-like monooxygenase	Specific description	Regulation/signalling	Luciferase-like monooxygenase	TRUE
Fusarium	TRINITY_DN1318_c0_g1	594.770723485254	-1.3236273669838	-1.30983498408176	1.53357165608066e-40	Downregulated	TRUE		zinc finger	61459.XP_007781357.1	KOG1721@1|root,KOG1721@2759|Eukaryota,39SZD@33154|Opisthokonta,3NWFS@4751|Fungi,3QQXM@4890|Ascomycota,20BMF@147545|Eurotiomycetes,3MPT3@451870|Chaetothyriomycetidae	4751|Fungi	S	Fungal_trans						FALSE	FALSE	FALSE						zinc finger	Specific description	Regulation/signalling	zinc finger	TRUE
Fusarium	TRINITY_DN8269_c1_g2	21.8099874760069	-1.68746462061599	-1.23926011810373	0.00751883212524596	Downregulated	TRUE		Belongs to the cytochrome P450 family	5518.FGSG_11465P0	COG2124@1|root,KOG0157@2759|Eukaryota,3AB04@33154|Opisthokonta,3PDGS@4751|Fungi,3RNED@4890|Ascomycota,21RT3@147550|Sordariomycetes,3TUM8@5125|Hypocreales,1FQ79@110618|Nectriaceae	4751|Fungi	Q	p450						FALSE	FALSE	FALSE						Belongs to the cytochrome P450 family	Specific description	Regulation/signalling	Belongs to the cytochrome P450 family	TRUE
Fusarium	TRINITY_DN6905_c0_g1	127.360095682663	-1.26439986564482	-1.19445928453379	1.89923069755164e-8	Downregulated	TRUE		GDSL/SGNH-like Acyl-Esterase family found in Pmr5 and Cas1p	5127.CCT67835	KOG1699@1|root,KOG1699@2759|Eukaryota,38EIR@33154|Opisthokonta,3NVU2@4751|Fungi,3QQ3K@4890|Ascomycota,21758@147550|Sordariomycetes,3TVKF@5125|Hypocreales,1FP1I@110618|Nectriaceae	4751|Fungi	S	Cas1_AcylT,PC-Esterase		2.3.1.45	ko:K03377			FALSE	FALSE	FALSE						GDSL/SGNH-like Acyl-Esterase family found in Pmr5 and Cas1p	Specific description	Regulation/signalling	GDSL/SGNH-like Acyl-Esterase family found in Pmr5 and Cas1p	TRUE
Fusarium	TRINITY_DN538_c0_g2	3018.64713338566	-1.01970840008026	-1.01315642853346	5.27150413567221e-64	Downregulated	TRUE		WSC domain	5507.FOXG_02983P0	2CMI8@1|root,2QQEE@2759|Eukaryota,39KDJ@33154|Opisthokonta,3Q4S3@4751|Fungi,3RN1Z@4890|Ascomycota,21R95@147550|Sordariomycetes,3TUG0@5125|Hypocreales,1FUCK@110618|Nectriaceae	4751|Fungi	S	WSC						TRUE	FALSE	FALSE						WSC domain	Specific description	Regulation/signalling	WSC domain	TRUE
