gene_id	contrast	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	mrna_id	signalp_prediction	signalp_is_sp	signalp_other_score	signalp_sp_score	signalp_cs_position	dbcan_any_hit	dbcan_high_confidence	dbcan_n_tools	dbcan_ec	dbcan_hmm	dbcan_sub	dbcan_diamond	dbcan_recommended	dbcan_substrate	de_significant_padj_lt_0.05	de_strong_padj_lt_0.05_abs_log2fc_gt_1	de_direction	dbcan_any_hit_candidate	high_confidence_cazyme	significant_high_confidence_cazyme	strong_high_confidence_cazyme
gene_1125	interaction_vs_onu	2670.07431552957	1.5584129253374	0.0687657800831069	22.6626226511789	1.04753185099155e-113	1.63034048081593e-111	mRNA_1125	OTHER	FALSE	1.000000	0.000000		TRUE	TRUE	3	2.4.1.173:23;2.4.1.-:3	GT1(517-825)	GT1_e153(403-838)	GT1	GT1_e153	-	TRUE	TRUE	up	TRUE	TRUE	TRUE	TRUE
gene_6247	interaction_vs_onu	13971.3211844893	2.18695223409778	0.102231267431616	21.392205037081	1.5791470869345e-101	1.98786750943519e-99	mRNA_6247	OTHER	FALSE	0.999797	0.000204		TRUE	TRUE	3	2.4.1.231:3	GT4(454-621)	GT4_e3141(454-622)	GT4	GT4_e3141	-	TRUE	TRUE	up	TRUE	TRUE	TRUE	TRUE
gene_2318	interaction_vs_onu	7986.01594693916	1.46799092869317	0.0714938071891899	20.5331200898073	1.08949558684178e-93	1.18051673713489e-91	mRNA_2318	SP	TRUE	0.000205	0.999738	CS pos: 20-21. Pr: 0.9784	TRUE	TRUE	3	-	GH17(72-302)	GH17_e7(72-313)	GH17	GH17_e7	-	TRUE	TRUE	up	TRUE	TRUE	TRUE	TRUE
gene_6562	interaction_vs_onu	4750.87279296434	1.11292135270807	0.068161464966776	16.3277205566304	6.26829353335589e-60	3.62544544902205e-58	mRNA_6562	SP	TRUE	0.000783	0.999193	CS pos: 33-34. Pr: 0.4477	TRUE	TRUE	3	2.4.1.-:26	GH72(35-334)	GH72_e0(38-334)	GH72	GH72_e0	beta-glucan	TRUE	TRUE	up	TRUE	TRUE	TRUE	TRUE
gene_7824	interaction_vs_onu	1611.20578382321	1.48886543515261	0.0960179203679888	15.5061204142574	3.15367059742698e-54	1.60687025678422e-52	mRNA_7824	OTHER	FALSE	1.000000	0.000000		TRUE	TRUE	3	-	GT8(8-290)	GT8_e176(11-289)	GT8	GT8_e176	-	TRUE	TRUE	up	TRUE	TRUE	TRUE	TRUE
gene_7161	interaction_vs_onu	374.276878454393	1.82845774336948	0.120894586201518	15.1243972192571	1.118198335724e-51	5.23047964688384e-50	mRNA_7161	SP	TRUE	0.000210	0.999762	CS pos: 29-30. Pr: 0.9318	TRUE	TRUE	3	3.2.1.164:1	GH5_16(44-377)	GH5_e102(46-378)	GH5_16+GH5_16	GH5_16	arabinogalactan	TRUE	TRUE	up	TRUE	TRUE	TRUE	TRUE
gene_636	interaction_vs_onu	578.912871531249	1.27804621863964	0.0880284823387806	14.5185533668641	9.24405554882155e-48	3.75019504729443e-46	mRNA_636	SP	TRUE	0.000721	0.999233	CS pos: 15-16. Pr: 0.9376	TRUE	TRUE	3	3.1.1.-:1	CE12(18-235)	CE12_e43(19-235)	CE12	CE12_e43	xylan	TRUE	TRUE	up	TRUE	TRUE	TRUE	TRUE
gene_1826	interaction_vs_onu	1559.82173923373	1.17423429196946	0.0857624528670366	13.6917060172002	1.13805471797674e-42	3.99251983027905e-41	mRNA_1826	SP	TRUE	0.000429	0.999548	CS pos: 18-19. Pr: 0.9728	TRUE	TRUE	3	3.2.1.14:58	GH18(42-399)	GH18_e272(44-398)	GH18	GH18_e272	chitin	TRUE	TRUE	up	TRUE	TRUE	TRUE	TRUE
gene_7032	interaction_vs_onu	508.366331862368	2.03768382189848	0.164379129688654	12.3962441324395	2.73861990962457e-35	7.56212465367301e-34	mRNA_7032	OTHER	FALSE	1.000000	0.000000		TRUE	TRUE	3	3.2.1.58:2	GH5_9(582-906)	GH5_e261(583-907)	GH5_9+GH5_9	GH5_9	beta-glucan	TRUE	TRUE	up	TRUE	TRUE	TRUE	TRUE
gene_7160	interaction_vs_onu	600.864946592368	1.90098592158755	0.153842743516292	12.3566824026785	4.482784986206e-35	1.22989229108729e-33	mRNA_7160	OTHER	FALSE	0.999745	0.000277		TRUE	TRUE	3	3.2.1.21:3	GH3(32-244)	GH3_e51(33-245)	GH3	GH3_e51	beta-glucan	TRUE	TRUE	up	TRUE	TRUE	TRUE	TRUE
gene_928	interaction_vs_onu	875.034415699132	1.2115493410511	0.0997995926573269	12.1398225062009	6.49668100801034e-34	1.71112582857134e-32	mRNA_928	SP	TRUE	0.000237	0.999737	CS pos: 21-22. Pr: 0.7114	TRUE	TRUE	3	-	GH29(334-701)	GH29_e66(334-702)	GH29	GH29_e66	host glycan	TRUE	TRUE	up	TRUE	TRUE	TRUE	TRUE
gene_4913	interaction_vs_onu	6577.71996839485	1.41072983131458	0.121767374374016	11.5854500318076	4.88394806197777e-31	1.15807743519473e-29	mRNA_4913	OTHER	FALSE	1.000000	0.000017		TRUE	TRUE	3	-	AA3_2(13-543)	AA3_e4(14-543)	AA3_2+AA3_2	AA3_2	-	TRUE	TRUE	up	TRUE	TRUE	TRUE	TRUE
