gene_id	contrast	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	protein_id	transcript_id	jgi_name	portal_id	seqid	start	end	strand	source	gff3_line	go_count	go_ids	go_names	go_types	kegg_count	kegg_ecnum	kegg_definition	kegg_catalyticactivity	kegg_cofactors	kegg_associateddiseases	kegg_pathway	kegg_pathway_class	kegg_pathway_type	has_go	has_kegg
gene_1	interaction_vs_onu	1029.21093673536	-1.58810071093279	0.160514480828338	-9.89381582731583	4.4281988143067e-23	6.87937964618247e-22	1978561	1978815	jgi.p|Ophnu1|1978561	Ophnu1	OphioH327chr_1	43034	44999	-	prediction	3	6	GO:0003700; GO:0005634; GO:0006355; GO:0008270; GO:0003677; GO:0006350	transcription factor activity; nucleus; regulation of transcription, DNA-dependent; zinc ion binding; DNA binding; transcription	molecular_function; cellular_component; biological_process	0									yes	no
gene_2	interaction_vs_onu	220.107912912225	-1.32862764001323	0.270015403206528	-4.92056239842363	8.62958816498752e-07	3.48933749136954e-06	1978562	1978816	jgi.p|Ophnu1|1978562	Ophnu1	OphioH327chr_1	45408	46946	+	prediction	15	2	GO:0016884; GO:0004040	carbon-nitrogen ligase activity, with glutamine as amido-N-donor; amidase activity	molecular_function	6	3.5.1.4	Amidase.	A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).	\N	\N	Tryptophan metabolism; Benzoate degradation via CoA ligation; Cyanoamino acid metabolism; Phenylalanine metabolism; Arginine and proline metabolism; Styrene degradation	Amino Acid Metabolism; Biodegradation of Xenobiotics; Metabolism of Other Amino Acids	METABOLIC	yes	yes
gene_3	interaction_vs_onu	596.514151919306	-1.25697929354707	0.173948448359659	-7.22615985023401	4.96842895564765e-13	3.93066098524435e-12	1978563	1978817	jgi.p|Ophnu1|1978563	Ophnu1	OphioH327chr_1	47942	50354	-	prediction	19	6	GO:0003700; GO:0005634; GO:0006355; GO:0008270; GO:0003677; GO:0006350	transcription factor activity; nucleus; regulation of transcription, DNA-dependent; zinc ion binding; DNA binding; transcription	molecular_function; cellular_component; biological_process	0									yes	no
gene_4	interaction_vs_onu	78.8179022753935	-2.16377424105838	0.363771152760632	-5.9481743525776	2.71149689764853e-09	1.49744602863686e-08	1978564	1978818	jgi.p|Ophnu1|1978564	Ophnu1	OphioH327chr_1	50768	52511	-	prediction	31	0				0									no	no
gene_5	interaction_vs_onu	101.080783046542	-1.35624001480652	0.248018838650797	-5.46829435289818	4.54386845476358e-08	2.16929804644597e-07	1978565	1978819	jgi.p|Ophnu1|1978565	Ophnu1	OphioH327chr_1	53258	54753	+	prediction	43	1	GO:0016491	oxidoreductase activity	molecular_function	0									yes	no
gene_6	interaction_vs_onu	12926.530433202	-0.0888305294558729	0.155815982191605	-0.570098960366202	0.568610580253302	0.650535494114978	1978566	1978820	jgi.p|Ophnu1|1978566	Ophnu1	OphioH327chr_1	56977	58501	+	prediction	51	0				0									no	no
gene_7	interaction_vs_onu	46.3291310521539	-0.164102898380748	0.377909028946925	-0.434239157603708	0.664114780680866	0.734757984054312	1978567	1978821	jgi.p|Ophnu1|1978567	Ophnu1	OphioH327chr_1	58703	60412	-	prediction	57	3	GO:0004396; GO:0005524; GO:0006096	hexokinase activity; ATP binding; glycolysis	molecular_function; biological_process	6	2.7.1.1	Hexokinase.	ATP + D-hexose = ADP + D-hexose 6-phosphate.	\N	Hemolytic anemia due to hexokinase deficiency; MIM:235700.	Erythromycin biosynthesis; Aminosugars metabolism; Starch and sucrose metabolism; Glycolysis / Gluconeogenesis; Fructose and mannose metabolism; Galactose metabolism	Biosynthesis of Secondary Metabolites; Metabolism of Complex Carbohydrates; Carbohydrate Metabolism	METABOLIC	yes	yes
gene_8	interaction_vs_onu	1111.62069404125	-0.270679604221772	0.13228429511623	-2.04619606570789	0.0407370842793854	0.0681789972965062	1978568	1978822	jgi.p|Ophnu1|1978568	Ophnu1	OphioH327chr_1	61487	63500	+	prediction	61	4	GO:0003700; GO:0005634; GO:0006355; GO:0008270	transcription factor activity; nucleus; regulation of transcription, DNA-dependent; zinc ion binding	molecular_function; cellular_component; biological_process	0									yes	no
gene_9	interaction_vs_onu	83.7622432437479	-0.394536688587318	0.262521883315822	-1.50287162199228	0.132872152151278	0.192353394624546	1978569	1978823	jgi.p|Ophnu1|1978569	Ophnu1	OphioH327chr_1	63574	64697	-	prediction	69	3	GO:0004342; GO:0006044; GO:0005975	glucosamine-6-phosphate deaminase activity; N-acetylglucosamine metabolic process; carbohydrate metabolic process	molecular_function; biological_process	1	3.5.99.6	Glucosamine-6-phosphate deaminase.	D-glucosamine 6-phosphate + H(2)O = D-fructose 6-phosphate + NH(3).	\N	\N	Aminosugars metabolism	Metabolism of Complex Carbohydrates	METABOLIC	yes	yes
gene_10	interaction_vs_onu	204.739190306532	-0.449023737576188	0.208848795247384	-2.14999438729974	0.0315556587499172	0.0542184742872924	1978570	1978824	jgi.p|Ophnu1|1978570	Ophnu1	OphioH327chr_1	65474	67209	-	prediction	77	3	GO:0006865; GO:0015171; GO:0016020	amino acid transport; amino acid transmembrane transporter activity; membrane	biological_process; molecular_function; cellular_component	0									yes	no
gene_11	interaction_vs_onu	358.002816578833	-1.39861165864535	0.199455888391968	-7.01213521406206	2.34708202548076e-12	1.73347904556646e-11	1978571	1978825	jgi.p|Ophnu1|1978571	Ophnu1	OphioH327chr_1	68430	70198	+	prediction	87	0				0									no	no
gene_12	interaction_vs_onu	63.3328414562614	-1.32086843839739	0.259619406293915	-5.08771072722519	3.624115945829e-07	1.54879842717405e-06	1978572	1978826	jgi.p|Ophnu1|1978572	Ophnu1	OphioH327chr_1	70917	72295	-	prediction	95	0				0									no	no
gene_13	interaction_vs_onu	246.540786874651	-1.83498876754369	0.213917007441501	-8.57804056578108	9.6502917692923e-18	1.09557689051913e-16	1978573	1978827	jgi.p|Ophnu1|1978573	Ophnu1	OphioH327chr_1	72921	74625	+	prediction	101	6	GO:0005351; GO:0008643; GO:0016020; GO:0005215; GO:0006810; GO:0016021	sugar:hydrogen symporter activity; carbohydrate transport; membrane; transporter activity; transport; integral to membrane	molecular_function; biological_process; cellular_component	0									yes	no
gene_14	interaction_vs_onu	1337.977212241	-1.31827861263875	0.181341602226999	-7.26958732276203	3.60587367885892e-13	2.89824213061337e-12	1978574	1978828	jgi.p|Ophnu1|1978574	Ophnu1	OphioH327chr_1	76905	79722	+	prediction	111	1	GO:0003824	catalytic activity	molecular_function	0									yes	no
gene_15	interaction_vs_onu	125.0330330668	-1.36097212436604	0.231711710138407	-5.87355780833477	4.26540194102797e-09	2.29201761551786e-08	1978575	1978829	jgi.p|Ophnu1|1978575	Ophnu1	OphioH327chr_1	80724	81497	-	prediction	119	0				0									no	no
gene_16	interaction_vs_onu	0.681391273339703	-0.0708156700920225	2.96187479055659	-0.0239090694575631	0.980925139970909	0.987384665822082	1978576	1978830	jgi.p|Ophnu1|1978576	Ophnu1	OphioH327chr_1	82522	82930	+	prediction	123	0				0									no	no
gene_17	interaction_vs_onu	5985.56051556044	0.356839039629808	0.098366878793497	3.62763405738353	0.000286030271296297	0.000788540780127635	1978577	1978831	jgi.p|Ophnu1|1978577	Ophnu1	OphioH327chr_1	83705	84516	+	prediction	129	0				0									no	no
gene_18	interaction_vs_onu	2029.06043751688	0.122850017113127	0.110062976985893	1.11617930458916	0.264345391269365	0.346152141542874	1978578	1978832	jgi.p|Ophnu1|1978578	Ophnu1	OphioH327chr_1	85043	86426	+	prediction	137	4	GO:0003684; GO:0005634; GO:0006289; GO:0000166	damaged DNA binding; nucleus; nucleotide-excision repair; nucleotide binding	molecular_function; cellular_component; biological_process	0									yes	no
gene_19	interaction_vs_onu	2282.18340172218	0.154418492145043	0.0622052481099564	2.48240296175794	0.0130499606340083	0.0246160561981294	1978579	1978833	jgi.p|Ophnu1|1978579	Ophnu1	OphioH327chr_1	87351	89985	+	prediction	145	0				0									no	no
