# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "4" "-p" "--countReadPairs" "-B" "-C" "-s" "1" "-t" "exon" "-g" "gene_id" "-a" "/home/alex/dual-rnaseq-elm-fungi/audit/strandedness/ophiostoma.gtf" "-o" "/home/alex/dual-rnaseq-elm-fungi/results/ophiostoma/gene_counts/ophiostoma_gene_featurecounts.txt" "/home/alex/rnaseq/03_alignment/ophiostoma_alignments/149_ophiostoma.sorted.bam" "/home/alex/rnaseq/03_alignment/ophiostoma_alignments/150_ophiostoma.sorted.bam" "/home/alex/rnaseq/03_alignment/ophiostoma_alignments/151_ophiostoma.sorted.bam" "/home/alex/rnaseq/03_alignment/ophiostoma_alignments/152_ophiostoma.sorted.bam" "/home/alex/rnaseq/03_alignment/ophiostoma_alignments/153_ophiostoma.sorted.bam" "/home/alex/rnaseq/03_alignment/ophiostoma_alignments/154_ophiostoma.sorted.bam" "/home/alex/rnaseq/03_alignment/ophiostoma_alignments/155_ophiostoma.sorted.bam" "/home/alex/rnaseq/03_alignment/ophiostoma_alignments/156_ophiostoma.sorted.bam" "/home/alex/rnaseq/03_alignment/ophiostoma_alignments/157_ophiostoma.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/alex/rnaseq/03_alignment/ophiostoma_alignments/149_ophiostoma.sorted.bam	/home/alex/rnaseq/03_alignment/ophiostoma_alignments/150_ophiostoma.sorted.bam	/home/alex/rnaseq/03_alignment/ophiostoma_alignments/151_ophiostoma.sorted.bam	/home/alex/rnaseq/03_alignment/ophiostoma_alignments/152_ophiostoma.sorted.bam	/home/alex/rnaseq/03_alignment/ophiostoma_alignments/153_ophiostoma.sorted.bam	/home/alex/rnaseq/03_alignment/ophiostoma_alignments/154_ophiostoma.sorted.bam	/home/alex/rnaseq/03_alignment/ophiostoma_alignments/155_ophiostoma.sorted.bam	/home/alex/rnaseq/03_alignment/ophiostoma_alignments/156_ophiostoma.sorted.bam	/home/alex/rnaseq/03_alignment/ophiostoma_alignments/157_ophiostoma.sorted.bam
gene_1	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	43034;43302;44161;44271;44779	43244;44100;44215;44715;44999	-;-;-;-;-	1731	403	361	342	613	491	1363	2888	2530	3518
gene_2	OphioH327chr_1	45408	46946	+	1539	99	107	66	139	87	308	656	438	724
gene_3	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	47942;48706;49327;49796;50282	48640;49266;49746;50217;50354	-;-;-;-;-	2175	320	255	231	320	238	687	1667	1476	2019
gene_4	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	50768;51829;51990;52154;52279	51777;51925;52103;52223;52511	-;-;-;-;-	1524	20	16	23	44	30	147	224	222	266
gene_5	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	53258;53808;54441	53713;54355;54753	+;+;+	1317	44	51	33	57	51	101	307	230	338
gene_6	OphioH327chr_1;OphioH327chr_1	56977;58448	58386;58501	+;+	1464	9403	8220	7481	8904	6976	19876	22445	19357	30444
gene_7	OphioH327chr_1	58703	60412	-	1710	37	45	37	9	6	37	133	100	119
gene_8	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	61487;61657;63241	61604;63180;63500	+;+;+	1902	868	821	713	545	411	1080	2446	2296	3051
gene_9	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	63574;63874;64634	63804;64574;64697	-;-;-	996	63	41	48	53	36	128	164	172	201
gene_10	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	65474;66285;66744;67113	66223;66685;67052;67209	-;-;-;-	1557	168	147	99	89	80	212	468	415	642
gene_11	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	68430;68850;70108	68795;70042;70198	+;+;+	1650	151	147	138	191	146	486	905	864	1374
gene_12	OphioH327chr_1;OphioH327chr_1	70917;71231	71171;72295	-;-	1320	31	26	34	22	21	52	190	176	251
gene_13	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	72921;73082;74126;74367	73019;74060;74306;74625	+;+;+;+	1518	82	89	87	93	92	271	734	710	1069
gene_14	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	76905;77211;77770	76925;77687;79722	+;+;+	2451	599	518	410	828	752	2215	3008	3022	4272
gene_15	OphioH327chr_1	80724	81497	-	774	50	40	49	73	79	195	297	298	368
gene_16	OphioH327chr_1;OphioH327chr_1	82522;82768	82697;82930	+;+	339	0	0	2	0	0	0	0	1	6
gene_17	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	83705;83907;84122	83727;84067;84516	+;+;+	579	5555	4933	4595	3473	2831	6407	9713	9642	12351
gene_18	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	85043;85188;85996	85108;85923;86426	+;+;+	1233	1099	1089	964	2147	1688	4058	2350	2257	3245
gene_19	OphioH327chr_1;OphioH327chr_1	87351;87491	87432;89985	+;+	2577	1850	1915	1677	1376	1080	2194	3534	4268	5562
gene_20	OphioH327chr_1;OphioH327chr_1	91579;92307	91686;92627	+;+	429	3007	2739	2627	2768	2511	5516	8916	9729	12002
gene_21	OphioH327chr_1	93662	94540	-	879	1305	1218	1174	1096	989	1606	3178	4335	4597
gene_22	OphioH327chr_1	97450	99588	+	2139	1584	1486	1360	1709	1425	2944	2956	3199	4989
gene_23	OphioH327chr_1	101431	105315	-	3885	573	536	464	984	744	1873	2587	2874	4287
gene_24	OphioH327chr_1	106472	108103	+	1632	2173	1976	1849	1070	906	1884	3907	4475	5838
gene_25	OphioH327chr_1	108603	109118	-	516	2	2	4	3	1	7	10	23	12
gene_26	OphioH327chr_1	110000	111169	-	1170	3029	2781	2849	1913	1626	2663	5262	6885	7635
gene_27	OphioH327chr_1	111812	115045	-	3234	1763	1624	1617	2612	2094	3571	3532	4762	5928
gene_28	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	118698;118827;119013;119503	118756;118916;119317;119525	+;+;+;+	477	884	815	794	1309	1079	2694	3673	3741	4939
gene_29	OphioH327chr_1	120452	121777	-	1326	0	0	0	0	2	0	1	7	3
gene_30	OphioH327chr_1	123226	126246	-	3021	1964	1897	1603	1449	1194	2567	2933	3181	4921
gene_31	OphioH327chr_1	127181	128815	+	1635	2240	2279	2098	1932	1574	2718	5072	6740	8154
gene_32	OphioH327chr_1;OphioH327chr_1	129409;130534	130451;130639	-;-	1149	66	85	52	148	138	279	441	382	493
gene_33	OphioH327chr_1	131881	133725	+	1845	627	480	448	1575	1278	2948	3129	3182	4112
gene_34	OphioH327chr_1	134707	139140	-	4434	1781	1725	1516	1456	1090	2702	3910	4360	6256
gene_35	OphioH327chr_1	142087	143724	-	1638	17	14	10	3	3	3	9	16	10
gene_36	OphioH327chr_1;OphioH327chr_1	146244;146916	146863;146943	-;-	648	1700	1584	1397	1352	989	2665	4432	3982	5327
gene_37	OphioH327chr_1	147697	148980	+	1284	1059	982	918	1648	1337	2814	3089	3272	4113
gene_38	OphioH327chr_1;OphioH327chr_1	149335;149515	149452;150383	-;-	987	627	519	447	1021	758	2023	2173	2168	2711
gene_39	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	153903;157189;157616	155708;157558;158265	-;-;-	2826	610	581	561	637	517	887	1330	1691	2027
gene_40	OphioH327chr_1	159385	160776	-	1392	590	557	564	520	416	730	1082	1509	1739
gene_41	OphioH327chr_1;OphioH327chr_1	161735;163666	163510;164838	-;-	2949	467	421	387	467	326	792	1073	1124	1513
gene_42	OphioH327chr_1	172896	174641	+	1746	446	465	443	961	679	1563	1487	1621	1999
gene_43	OphioH327chr_1	176545	178038	+	1494	143	116	111	160	112	344	571	489	802
gene_44	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	178979;179120;179210;179696	178995;179155;179444;180964	+;+;+;+	1557	2875	2907	2775	2566	2058	3823	5417	6968	8475
gene_45	OphioH327chr_1	181638	183791	+	2154	963	864	883	955	862	1516	2103	2463	3087
gene_46	OphioH327chr_1;OphioH327chr_1	185058;185226	185151;185389	+;+	258	2699	2290	2573	1403	1284	2133	4898	7159	6404
gene_47	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	186720;188066;188229	187997;188154;189294	+;+;+	2433	545	496	457	384	305	856	1097	977	1534
gene_48	OphioH327chr_1	190040	190747	+	708	932	895	767	761	627	1265	1745	2192	2552
gene_49	OphioH327chr_1	191658	194522	-	2865	2442	2554	2269	1054	918	1513	3120	4270	5646
gene_50	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	201258;206445;206843	206266;206768;207047	-;-;-	5538	2151	1922	1683	1049	972	2091	3232	3546	6366
gene_51	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	213966;215137;215304;216142	215058;215228;216075;216689	-;-;-;-	2505	471	456	442	278	271	555	925	1001	1140
gene_52	OphioH327chr_1	218009	220909	+	2901	283	223	206	200	127	262	622	644	826
gene_53	OphioH327chr_1	221365	228558	-	7194	3851	3674	3252	2176	1863	3739	4763	5935	8862
gene_54	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	229977;230094;230207	230039;230142;230247	-;-;-	153	3766	3063	3007	2260	1662	4060	6519	6988	10208
gene_55	OphioH327chr_1	231150	231824	+	675	311	303	280	279	235	312	473	624	717
gene_56	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	232377;233472;233635	233412;233557;233682	-;-;-	1170	498	497	488	208	192	350	717	849	1180
gene_57	OphioH327chr_1	234433	236385	-	1953	300	318	294	366	298	452	646	844	931
gene_58	OphioH327chr_1	236782	240801	+	4020	261	298	276	366	279	527	705	779	934
gene_59	OphioH327chr_1;OphioH327chr_1	240988;241129	241068;241608	-;-	561	70	57	75	127	93	126	152	250	260
gene_60	OphioH327chr_1	242322	244859	-	2538	232	282	294	297	230	257	390	648	566
gene_61	OphioH327chr_1;OphioH327chr_1;OphioH327chr_1	245437;245578;245728	245460;245661;246411	+;+;+	792	622	671	716	528	412	527	949	1347	1530
gene_62	OphioH327chr_1;OphioH327chr_1	246669;247720	247646;247752	-;-	1011	64	73	62	71	54	70	179	186	174
gene_63	OphioH327chr_1	249343	250023	-	681	166	148	124	25	16	38	106	137	140
gene_64	OphioH327chr_1	255461	256129	-	669	7	0	3	0	1	4	8	8	9
gene_65	OphioH327chr_1;OphioH327chr_1	257694;260712	260657;260714	-;-	2967	2663	2814	2723	2241	2020	3272	4292	4862	6489
gene_66	OphioH327chr_1	276882	279383	+	2502	3190	3222	3268	2546	2072	3453	4645	6062	7959
gene_67	OphioH327chr_1;OphioH327chr_1	283961;284202	284122;284735	+;+	696	13	8	12	4	6	13	24	29	35
gene_68	OphioH327chr_1	285038	285853	-	816	0	0	0	1	0	1	0	0	1
gene_69	OphioH327chr_1;OphioH327chr_1	287210;288171	287976;288399	-;-	996	397	444	416	474	334	500	640	1004	994
gene_70	OphioH327chr_1	288996	290228	-	1233	684	785	712	806	705	1158	976	1369	1391
gene_71	OphioH327chr_1	295615	298107	+	2493	1179	1096	991	633	509	933	1558	1886	2551
gene_72	OphioH327chr_1;OphioH327chr_1	306878;313653	306983;313741	-;-	195	92	79	65	133	101	197	276	269	322
gene_73	OphioH327chr_1;OphioH327chr_1	326046;327034	326604;328277	+;+	1803	6538	6317	5600	3206	2444	5273	6583	7311	10383
gene_74	OphioH327chr_1	332251	334140	-	1890	186	179	177	187	136	199	328	439	575
gene_75	OphioH327chr_1	336963	338675	+	1713	132	104	110	133	123	199	262	361	462
gene_76	OphioH327chr_1;OphioH327chr_1	339298;340046	339902;340136	-;-	696	1149	1050	955	918	715	1441	2628	3007	4478
gene_77	OphioH327chr_1	341273	344770	-	3498	866	873	913	178	181	254	772	919	1300
gene_78	OphioH327chr_1	348424	350706	-	2283	214	221	266	185	199	238	228	430	443
gene_79	OphioH327chr_1	351115	352482	-	1368	221	236	224	278	234	471	495	745	845
