gene_id	protein_id	transcript_id	jgi_name	portal_id	seqid	start	end	strand	source	gff3_line	go_count	go_ids	go_names	go_types	kegg_count	kegg_ecnum	kegg_definition	kegg_catalyticactivity	kegg_cofactors	kegg_associateddiseases	kegg_pathway	kegg_pathway_class	kegg_pathway_type	has_go	has_kegg	signalp_mrna_id	eggnog_annotated	eggnog_seed_ortholog	eggnog_evalue	eggnog_score	eggnog_eggnog_ogs	eggnog_max_annot_lvl	eggnog_cog_category	eggnog_description	eggnog_preferred_name	eggnog_gos	eggnog_ec	eggnog_kegg_ko	eggnog_kegg_pathway	eggnog_kegg_module	eggnog_kegg_reaction	eggnog_kegg_rclass	eggnog_brite	eggnog_kegg_tc	eggnog_cazy	eggnog_bigg_reaction	eggnog_pfams	signalp_prediction	signalp_is_sp	signalp_other_score	signalp_sp_score	signalp_cs_position	dbcan_any_hit	dbcan_high_confidence	dbcan_n_tools	dbcan_ec	dbcan_hmm	dbcan_sub	dbcan_diamond	dbcan_recommended	dbcan_substrate	tested_by_deseq2	interaction_vs_self__baseMean	interaction_vs_self__log2FoldChange	interaction_vs_self__lfcSE	interaction_vs_self__stat	interaction_vs_self__pvalue	interaction_vs_self__padj	interaction_vs_self__de_significant_padj_lt_0.05	interaction_vs_self__de_strong_padj_lt_0.05_abs_log2fc_gt_1	interaction_vs_self__de_direction	interaction_vs_onu__baseMean	interaction_vs_onu__log2FoldChange	interaction_vs_onu__lfcSE	interaction_vs_onu__stat	interaction_vs_onu__pvalue	interaction_vs_onu__padj	interaction_vs_onu__de_significant_padj_lt_0.05	interaction_vs_onu__de_strong_padj_lt_0.05_abs_log2fc_gt_1	interaction_vs_onu__de_direction	onu_vs_self__baseMean	onu_vs_self__log2FoldChange	onu_vs_self__lfcSE	onu_vs_self__stat	onu_vs_self__pvalue	onu_vs_self__padj	onu_vs_self__de_significant_padj_lt_0.05	onu_vs_self__de_strong_padj_lt_0.05_abs_log2fc_gt_1	onu_vs_self__de_direction
gene_1	1978561	1978815	jgi.p|Ophnu1|1978561	Ophnu1	OphioH327chr_1	43034	44999	-	prediction	3	6	GO:0003677; GO:0003700; GO:0005634; GO:0006350; GO:0006355; GO:0008270	DNA binding; nucleus; regulation of transcription, DNA-dependent; transcription; transcription factor activity; zinc ion binding	biological_process; cellular_component; molecular_function	0									yes	no	mRNA_1	TRUE	140110.NechaP88789	2.03e-111	350.0	2BDCC@1|root,2S128@2759|Eukaryota,3A5CM@33154|Opisthokonta,3P4CV@4751|Fungi,3QTVW@4890|Ascomycota,21UXS@147550|Sordariomycetes,3TNUD@5125|Hypocreales,1FUR3@110618|Nectriaceae	4751|Fungi															Cep3,Fungal_trans,Zn_clus	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-	TRUE	1029.21093673536	-0.911002559335106	0.162723191861569	-5.59848014848498	2.16239157863032e-08	8.18667488415548e-08	TRUE	FALSE	down	1029.21093673536	-1.58810071093279	0.160514480828338	-9.89381582731583	4.4281988143067e-23	6.87937964618247e-22	TRUE	TRUE	down	1029.21093673536	0.677098151597683	0.157570464030163	4.29711339472903	1.73036688694026e-05	6.24712802708083e-05	TRUE	FALSE	up
gene_2	1978562	1978816	jgi.p|Ophnu1|1978562	Ophnu1	OphioH327chr_1	45408	46946	+	prediction	15	2	GO:0004040; GO:0016884	amidase activity; carbon-nitrogen ligase activity, with glutamine as amido-N-donor	molecular_function	6	3.5.1.4	Amidase.	A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).	\N	\N	Arginine and proline metabolism; Benzoate degradation via CoA ligation; Cyanoamino acid metabolism; Phenylalanine metabolism; Styrene degradation; Tryptophan metabolism	Amino Acid Metabolism; Biodegradation of Xenobiotics; Metabolism of Other Amino Acids	METABOLIC	yes	yes	mRNA_2	TRUE	37727.XP_002145660.1	3.04e-246	689.0	COG0154@1|root,KOG1211@2759|Eukaryota,3AGKX@33154|Opisthokonta,3PANS@4751|Fungi,3RK31@4890|Ascomycota,20THC@147545|Eurotiomycetes,3SFJF@5042|Eurotiales	4751|Fungi	J	Amidase													Amidase	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-	TRUE	220.107912912225	-0.709141897969102	0.276044252984253	-2.5689428064621	0.0102009291921485	0.018260132556418	TRUE	FALSE	down	220.107912912225	-1.32862764001323	0.270015403206528	-4.92056239842363	8.62958816498752e-07	3.48933749136954e-06	TRUE	TRUE	down	220.107912912225	0.619485742044133	0.263920842453657	2.3472406964331	0.0189130325300376	0.0376939600598653	TRUE	FALSE	up
gene_3	1978563	1978817	jgi.p|Ophnu1|1978563	Ophnu1	OphioH327chr_1	47942	50354	-	prediction	19	6	GO:0003677; GO:0003700; GO:0005634; GO:0006350; GO:0006355; GO:0008270	DNA binding; nucleus; regulation of transcription, DNA-dependent; transcription; transcription factor activity; zinc ion binding	biological_process; cellular_component; molecular_function	0									yes	no	mRNA_3	TRUE	61273.S3C0U7	1.08e-207	602.0	2CXQM@1|root,2RZ2S@2759|Eukaryota,3AHNP@33154|Opisthokonta,3PB9C@4751|Fungi,3R14F@4890|Ascomycota,21KPQ@147550|Sordariomycetes,3UVV7@5151|Ophiostomatales	4751|Fungi	K	Fungal specific transcription factor domain													Fungal_trans,Zn_clus	OTHER	FALSE	1.000000	0.000000		TRUE	FALSE	1	-	-	-	GH43_36+CBM91+GH43_36	-	-	TRUE	596.514151919306	-0.385227406731243	0.178115014452175	-2.16280142309215	0.0305564561113421	0.0499357129272793	TRUE	FALSE	down	596.514151919306	-1.25697929354707	0.173948448359659	-7.22615985023401	4.96842895564765e-13	3.93066098524435e-12	TRUE	TRUE	down	596.514151919306	0.871751886815826	0.17186791774374	5.07221998299668	3.93201469726508e-07	1.78273547714985e-06	TRUE	FALSE	up
gene_4	1978564	1978818	jgi.p|Ophnu1|1978564	Ophnu1	OphioH327chr_1	50768	52511	-	prediction	31	0				0									no	no	mRNA_4	TRUE	61273.S3C312	0.0	884.0	COG0477@1|root,KOG2533@2759|Eukaryota,38FD5@33154|Opisthokonta,3NU7U@4751|Fungi,3QM8V@4890|Ascomycota,214YQ@147550|Sordariomycetes,3UT88@5151|Ophiostomatales	4751|Fungi	G	Major Facilitator Superfamily													MFS_1	OTHER	FALSE	1.000000	0.000008		TRUE	FALSE	1	-	-	-	GT2	-	-	TRUE	78.8179022753935	-1.57663226588487	0.374782972919938	-4.20678734042082	2.59026677430305e-05	6.91168441023508e-05	TRUE	TRUE	down	78.8179022753935	-2.16377424105838	0.363771152760632	-5.9481743525776	2.71149689764853e-09	1.49744602863686e-08	TRUE	TRUE	down	78.8179022753935	0.58714197517351	0.328968037759664	1.78479945702951	0.0742938514661017	0.123630514881382	FALSE	FALSE	up
gene_5	1978565	1978819	jgi.p|Ophnu1|1978565	Ophnu1	OphioH327chr_1	53258	54753	+	prediction	43	1	GO:0016491	oxidoreductase activity	molecular_function	0									yes	no	mRNA_5	TRUE	61273.S3CKZ6	1.66e-305	834.0	COG0665@1|root,KOG2820@2759|Eukaryota,39ZCI@33154|Opisthokonta,3P0XY@4751|Fungi,3QR3N@4890|Ascomycota,215DU@147550|Sordariomycetes	4751|Fungi	E	Fructosyl amino acid			1.5.3.1,1.5.3.7	ko:K00306	ko00260,ko00310,ko01100,ko04146,map00260,map00310,map01100,map04146		R00610,R02204	RC00060,RC00083,RC00557	ko00000,ko00001,ko01000				DAO	OTHER	FALSE	1.000000	0.000008		FALSE	FALSE	0	-	-	-	-	-	-	TRUE	101.080783046542	-0.521420305417318	0.263982092653264	-1.97521089471094	0.0482442200674521	0.0752045481472467	FALSE	FALSE	down	101.080783046542	-1.35624001480652	0.248018838650797	-5.46829435289818	4.54386845476358e-08	2.16929804644597e-07	TRUE	TRUE	down	101.080783046542	0.834819709389201	0.236152607079959	3.53508572152473	0.000407642893927331	0.00116314105733932	TRUE	FALSE	up
gene_6	1978566	1978820	jgi.p|Ophnu1|1978566	Ophnu1	OphioH327chr_1	56977	58501	+	prediction	51	0				0									no	no	mRNA_6	TRUE	61273.S3C0V4	0.0	899.0	28K12@1|root,2QSFH@2759|Eukaryota,38I16@33154|Opisthokonta,3NUBH@4751|Fungi,3RM6Z@4890|Ascomycota,2151D@147550|Sordariomycetes,3UV75@5151|Ophiostomatales	4751|Fungi	S	Transmembrane amino acid transporter protein													Aa_trans	OTHER	FALSE	1.000000	0.000005		TRUE	FALSE	1	-	-	-	CE4	-	-	TRUE	12926.530433202	-0.257961707047966	0.155933854579981	-1.65430212536466	0.098066141373277	0.141079149762996	FALSE	FALSE	down	12926.530433202	-0.0888305294558729	0.155815982191605	-0.570098960366202	0.568610580253302	0.650535494114978	FALSE	FALSE	down	12926.530433202	-0.169131177592093	0.155761363552479	-1.08583524010503	0.277551892296605	0.37613384674704	FALSE	FALSE	down
gene_7	1978567	1978821	jgi.p|Ophnu1|1978567	Ophnu1	OphioH327chr_1	58703	60412	-	prediction	57	3	GO:0004396; GO:0005524; GO:0006096	ATP binding; glycolysis; hexokinase activity	biological_process; molecular_function	6	2.7.1.1	Hexokinase.	ATP + D-hexose = ADP + D-hexose 6-phosphate.	\N	Hemolytic anemia due to hexokinase deficiency; MIM:235700.	Aminosugars metabolism; Erythromycin biosynthesis; Fructose and mannose metabolism; Galactose metabolism; Glycolysis / Gluconeogenesis; Starch and sucrose metabolism	Biosynthesis of Secondary Metabolites; Carbohydrate Metabolism; Metabolism of Complex Carbohydrates	METABOLIC	yes	yes	mRNA_7	TRUE	61273.S3D1N4	1.09e-229	654.0	COG5026@1|root,KOG1369@2759|Eukaryota,39RIV@33154|Opisthokonta,3P0U6@4751|Fungi,3QSXQ@4890|Ascomycota,214S5@147550|Sordariomycetes,3US0K@5151|Ophiostomatales	4751|Fungi	G	Hexokinase			2.7.1.1	ko:K00844	ko00010,ko00051,ko00052,ko00500,ko00520,ko00521,ko00524,ko01100,ko01110,ko01120,ko01130,ko01200,ko04066,ko04910,ko04930,ko04973,ko05230,map00010,map00051,map00052,map00500,map00520,map00521,map00524,map01100,map01110,map01120,map01130,map01200,map04066,map04910,map04930,map04973,map05230	M00001,M00549	R00299,R00760,R00867,R01326,R01600,R01786,R01961,R03920	RC00002,RC00017	ko00000,ko00001,ko00002,ko01000,ko04131				Hexokinase_1,Hexokinase_2	OTHER	FALSE	1.000000	0.000001		FALSE	FALSE	0	-	-	-	-	-	-	TRUE	46.3291310521539	1.50295512222575	0.427403458206108	3.51647861843218	0.00043731188008584	0.000995582365301807	TRUE	TRUE	up	46.3291310521539	-0.164102898380748	0.377909028946925	-0.434239157603708	0.664114780680866	0.734757984054312	FALSE	FALSE	down	46.3291310521539	1.6670580206065	0.413577357449337	4.03082516627066	5.55813771039398e-05	0.000184624209549757	TRUE	TRUE	up
gene_8	1978568	1978822	jgi.p|Ophnu1|1978568	Ophnu1	OphioH327chr_1	61487	63500	+	prediction	61	4	GO:0003700; GO:0005634; GO:0006355; GO:0008270	nucleus; regulation of transcription, DNA-dependent; transcription factor activity; zinc ion binding	biological_process; cellular_component; molecular_function	0									yes	no	mRNA_8	TRUE	61273.S3C5P4	0.0	1099.0	2EDXR@1|root,2SJFT@2759|Eukaryota,39SPG@33154|Opisthokonta,3NYSX@4751|Fungi,3QSFI@4890|Ascomycota,213H5@147550|Sordariomycetes,3URZG@5151|Ophiostomatales	4751|Fungi	S	GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain													Zn_clus	OTHER	FALSE	0.999957	0.000069		FALSE	FALSE	0	-	-	-	-	-	-	TRUE	1111.62069404125	0.466905868082468	0.13550647002866	3.44563523781347	0.000569718812796423	0.00127397937239743	TRUE	FALSE	up	1111.62069404125	-0.270679604221772	0.13228429511623	-2.04619606570789	0.0407370842793854	0.0681789972965062	FALSE	FALSE	down	1111.62069404125	0.737585472304239	0.133281211130955	5.53405439555563	3.12911860775506e-08	1.62531888849413e-07	TRUE	FALSE	up
gene_9	1978569	1978823	jgi.p|Ophnu1|1978569	Ophnu1	OphioH327chr_1	63574	64697	-	prediction	69	3	GO:0004342; GO:0005975; GO:0006044	carbohydrate metabolic process; glucosamine-6-phosphate deaminase activity; N-acetylglucosamine metabolic process	biological_process; molecular_function	1	3.5.99.6	Glucosamine-6-phosphate deaminase.	D-glucosamine 6-phosphate + H(2)O = D-fructose 6-phosphate + NH(3).	\N	\N	Aminosugars metabolism	Metabolism of Complex Carbohydrates	METABOLIC	yes	yes	mRNA_9	TRUE	61273.S3C318	1.68e-202	564.0	COG0363@1|root,KOG3148@2759|Eukaryota,38G53@33154|Opisthokonta,3NVFS@4751|Fungi,3QT28@4890|Ascomycota,21E6I@147550|Sordariomycetes,3UPNQ@5151|Ophiostomatales	4751|Fungi	G	Glucosamine-6-phosphate isomerases/6-phosphogluconolactonase	NAG1	GO:0003674,GO:0003824,GO:0004342,GO:0006040,GO:0006041,GO:0006043,GO:0006044,GO:0006046,GO:0008150,GO:0008152,GO:0009056,GO:0009405,GO:0009607,GO:0016787,GO:0016853,GO:0016860,GO:0016861,GO:0019239,GO:0030447,GO:0036180,GO:0040007,GO:0044182,GO:0044419,GO:0046348,GO:0050896,GO:0051704,GO:0071704,GO:1901071,GO:1901072,GO:1901135,GO:1901136,GO:1901575	3.5.99.6	ko:K02564	ko00520,ko01100,map00520,map01100		R00765	RC00163	ko00000,ko00001,ko01000				Glucosamine_iso	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-	TRUE	83.7622432437479	-0.255597856870212	0.275169007440261	-0.928875890667674	0.352953408779167	0.432087712611997	FALSE	FALSE	down	83.7622432437479	-0.394536688587318	0.262521883315822	-1.50287162199228	0.132872152151278	0.192353394624546	FALSE	FALSE	down	83.7622432437479	0.138938831717106	0.256727210630649	0.54119246407813	0.588374931182327	0.682821232500097	FALSE	FALSE	up
gene_10	1978570	1978824	jgi.p|Ophnu1|1978570	Ophnu1	OphioH327chr_1	65474	67209	-	prediction	77	3	GO:0006865; GO:0015171; GO:0016020	amino acid transmembrane transporter activity; amino acid transport; membrane	biological_process; cellular_component; molecular_function	0									yes	no	mRNA_10	TRUE	61273.S3CL01	0.0	979.0	COG0531@1|root,KOG1289@2759|Eukaryota,38E4P@33154|Opisthokonta,3NVNF@4751|Fungi,3QKK9@4890|Ascomycota,218TW@147550|Sordariomycetes,3UUZW@5151|Ophiostomatales	4751|Fungi	E	Amino acid permease				ko:K19564					ko00000,ko02000	2.A.3.4.1			AA_permease_2	OTHER	FALSE	0.999961	0.000042		TRUE	FALSE	1	-	-	-	GH35	-	-	TRUE	204.739190306532	0.347266879967106	0.219661785984148	1.58091621813621	0.113897195554505	0.161310389468326	FALSE	FALSE	up	204.739190306532	-0.449023737576188	0.208848795247384	-2.14999438729974	0.0315556587499172	0.0542184742872924	FALSE	FALSE	down	204.739190306532	0.796290617543294	0.211142545933475	3.77134136572447	0.000162372367221784	0.000495510682145622	TRUE	FALSE	up
