gene_id	direction	raw_baseMean	raw_log2FoldChange	shrunk_log2FoldChange	raw_padj	display_label	preferred_name	description	pfams	cog	go_terms	kegg_ko	signal_peptide	cazyme	cazy_eggnog	cazy_dbcan	has_readable_annotation
TRINITY_DN5813_c0_g1	Downregulated	399.147476829423	-2.1713987618499	-2.15296912909238	3.71176992327646e-51	TRINITY_DN5813_c0_g1							FALSE	FALSE			FALSE
TRINITY_DN3575_c0_g1	Downregulated	64.7768469339646	-2.0500138345946	-1.95924641562241	1.37370495002693e-10	TRINITY_DN3575_c0_g1							FALSE	FALSE			FALSE
TRINITY_DN3394_c0_g1	Downregulated	363.277397170557	-1.95199224584839	-1.93153628281372	5.92887528806301e-41	Belongs to the short-chain dehydrogenases reductases (SDR) family		Belongs to the short-chain dehydrogenases reductases (SDR) family	adh_short	Q			FALSE	FALSE			TRUE
TRINITY_DN16672_c0_g1	Downregulated	21.375191062326	-2.19968418872539	-1.83375305165247	0.00100320551926642	zinc finger		zinc finger	zf-C2H2	S		ko:K09465	FALSE	FALSE			TRUE
TRINITY_DN4521_c0_g1	Downregulated	22.7195158756734	-2.16295100369989	-1.66813710738615	0.00335293837981196	cellulose-binding family ii		cellulose-binding family ii	CBM_1	S			TRUE	TRUE			TRUE
TRINITY_DN538_c0_g3	Downregulated	573.097066654473	-1.6539861394318	-1.64119311473834	2.80758238984832e-55	WSC domain		WSC domain	WSC	S			FALSE	FALSE			TRUE
TRINITY_DN15127_c0_g1	Downregulated	28.3681540389652	-1.71469902929622	-1.47366528858329	3.845243190963e-4	Luciferase-like monooxygenase		Luciferase-like monooxygenase	Bac_luciferase	E		ko:K04091	FALSE	TRUE			TRUE
TRINITY_DN16336_c0_g1	Downregulated	49.8403423951075	-1.54975279952031	-1.39957161387101	2.0336065477212e-5	integral membrane protein		integral membrane protein		S			FALSE	FALSE			TRUE
TRINITY_DN13124_c0_g1	Downregulated	27.6994655958355	-1.61129116649708	-1.34525552071747	9.7993658763774e-4	TRINITY_DN13124_c0_g1							FALSE	FALSE			FALSE
TRINITY_DN1318_c0_g1	Downregulated	594.770723485254	-1.3236273669838	-1.30983498408176	1.53357165608066e-40	zinc finger		zinc finger	Fungal_trans	S			FALSE	FALSE			TRUE
TRINITY_DN16759_c0_g1	Downregulated	129.653523183328	-1.37508320168605	-1.29723109212958	1.98273176042266e-8	TRINITY_DN16759_c0_g1							TRUE	FALSE			FALSE
TRINITY_DN16564_c0_g1	Downregulated	98.5860326796199	-1.36475921877945	-1.26706460724049	6.74435196372585e-7	TRINITY_DN16564_c0_g1							FALSE	FALSE			FALSE
