organism	gene_id	base_mean	raw_lfc	shrunk_lfc	padj	direction	eggnog_annotated	preferred_name	description	seed_ortholog	ortholog_groups	max_annotation_level	cog_category	pfam	eggnog_go	eggnog_ec	eggnog_kegg_ko	eggnog_kegg_pathway	eggnog_cazy	signal_peptide	dbcan_any_hit	dbcan_high_confidence	dbcan_family	dbcan_substrate	jgi_go_names	jgi_kegg_definition	jgi_kegg_pathway	display_label	annotation_quality	theme	full_annotation	strong
Fusarium	TRINITY_DN3394_c0_g1	363.277397170557	-1.95199224584839	-1.93153628281372	5.92887528806301e-41	Downregulated	TRUE		Belongs to the short-chain dehydrogenases reductases (SDR) family	5507.FOXG_17163P0	COG1028@1|root,KOG4169@2759|Eukaryota,3AI3P@33154|Opisthokonta,3PAYF@4751|Fungi,3QQY2@4890|Ascomycota,218B1@147550|Sordariomycetes,3TUJ8@5125|Hypocreales,1FTFD@110618|Nectriaceae	4751|Fungi	Q	adh_short						FALSE	FALSE	FALSE						Belongs to the short-chain dehydrogenases reductases (SDR) family	Specific description	Regulation/signalling	Belongs to the short-chain dehydrogenases reductases (SDR) family	TRUE
Fusarium	TRINITY_DN4521_c0_g1	22.7195158756734	-2.16295100369989	-1.66813710738615	0.00335293837981196	Downregulated	TRUE		cellulose-binding family ii	5127.CCT73102	2CAP4@1|root,2QQXU@2759|Eukaryota,39KSE@33154|Opisthokonta,3NWM7@4751|Fungi,3QMRM@4890|Ascomycota,214QD@147550|Sordariomycetes,3TVTB@5125|Hypocreales,1FVV7@110618|Nectriaceae	4751|Fungi	S	CBM_1						TRUE	TRUE	FALSE						cellulose-binding family ii	Specific description	Regulation/signalling	cellulose-binding family ii	TRUE
Fusarium	TRINITY_DN1318_c0_g1	594.770723485254	-1.3236273669838	-1.30983498408176	1.53357165608066e-40	Downregulated	TRUE		zinc finger	61459.XP_007781357.1	KOG1721@1|root,KOG1721@2759|Eukaryota,39SZD@33154|Opisthokonta,3NWFS@4751|Fungi,3QQXM@4890|Ascomycota,20BMF@147545|Eurotiomycetes,3MPT3@451870|Chaetothyriomycetidae	4751|Fungi	S	Fungal_trans						FALSE	FALSE	FALSE						zinc finger	Specific description	Regulation/signalling	zinc finger	TRUE
Fusarium	TRINITY_DN14568_c0_g1	822.193304636002	-1.26854616590412	-1.25652254552065	9.64766035414254e-45	Downregulated	TRUE		BCS1 N terminal	655981.L8G132	COG0465@1|root,KOG0743@2759|Eukaryota,39U06@33154|Opisthokonta,3NX6C@4751|Fungi,3QMIC@4890|Ascomycota,20ZCV@147548|Leotiomycetes	4751|Fungi	O	AAA,BCS1_N			ko:K08900			FALSE	FALSE	FALSE						BCS1 N terminal	Domain-supported	Regulation/signalling	BCS1 N terminal	TRUE
Fusarium	TRINITY_DN8269_c1_g2	21.8099874760069	-1.68746462061599	-1.23926011810373	0.00751883212524596	Downregulated	TRUE		Belongs to the cytochrome P450 family	5518.FGSG_11465P0	COG2124@1|root,KOG0157@2759|Eukaryota,3AB04@33154|Opisthokonta,3PDGS@4751|Fungi,3RNED@4890|Ascomycota,21RT3@147550|Sordariomycetes,3TUM8@5125|Hypocreales,1FQ79@110618|Nectriaceae	4751|Fungi	Q	p450						FALSE	FALSE	FALSE						Belongs to the cytochrome P450 family	Specific description	Regulation/signalling	Belongs to the cytochrome P450 family	TRUE
Fusarium	TRINITY_DN2760_c0_g1	401.8436486752	-1.24213957805141	-1.21346525616506	1.24836280098186e-18	Downregulated	TRUE	DAO1	D-amino-acid oxidase; FAD dependent oxidoreductase	5111.M1W507; 73501.XP_006665243.1; 568076.XP_007823230.1	COG0665@1|root,KOG3923@2759|Eukaryota,39SQP@33154|Opisthokonta,3NXYK@4751|Fungi,3QKPT@4890|Ascomycota,2132V@147550|Sordariomycetes,3TFX8@5125|Hypocreales; COG0665@1|root,KOG3923@2759|Eukaryota,39SQP@33154|Opisthokonta,3NXYK@4751|Fungi,3QKPT@4890|Ascomycota,2132V@147550|Sordariomycetes,3TFX8@5125|Hypocreales,3G0MU@34397|Clavicipitaceae	4751|Fungi	E	DAO		1.4.3.1,1.4.3.3	ko:K00272,ko:K00273	ko00250,ko00260,ko00311,ko00330,ko00472,ko01100,ko01130,ko04146,map00250,map00260,map00311,map00330,map00472,map01100,map01130,map04146		FALSE	TRUE	FALSE						DAO1	Named gene	Regulation/signalling	D-amino-acid oxidase; FAD dependent oxidoreductase	TRUE
Fusarium	TRINITY_DN1259_c0_g1	525.490413064163	-1.17546801125944	-1.15571468540637	2.2624344803552e-25	Downregulated	TRUE			5507.FOXG_02290P0	2CYEP@1|root,2S3WG@2759|Eukaryota,3A65W@33154|Opisthokonta,3P5BD@4751|Fungi,3QWSF@4890|Ascomycota,216IK@147550|Sordariomycetes,3TD5J@5125|Hypocreales,1FRT2@110618|Nectriaceae	4751|Fungi		bZIP_2						FALSE	FALSE	FALSE						bZIP_2	Weak/generic	Regulation/signalling	bZIP_2	TRUE
Fusarium	TRINITY_DN12913_c0_g1	57.5698692645145	-1.33791487484525	-1.12980641030667	7.2009012783116e-4	Downregulated	TRUE		FAD binding domain	101028.EKJ76365	COG0654@1|root,KOG2614@2759|Eukaryota,39VWK@33154|Opisthokonta,3NXRU@4751|Fungi,3QRWT@4890|Ascomycota,212C8@147550|Sordariomycetes,3TKNB@5125|Hypocreales,1FU57@110618|Nectriaceae	4751|Fungi	C	FAD_binding_2,FAD_binding_3	GO:0000166,GO:0003674,GO:0003824,GO:0004497,GO:0004502,GO:0005488,GO:0006082,GO:0006139,GO:0006520,GO:0006725,GO:0006732,GO:0006733,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009117,GO:0009987,GO:0016053,GO:0016174,GO:0016491,GO:0016651,GO:0016705,GO:0016709,GO:0018958,GO:0019362,GO:0019438,GO:0019637,GO:0019674,GO:0019748,GO:0019752,GO:0032787,GO:0034641,GO:0036094,GO:0042180,GO:0042181,GO:0042537,GO:0043167,GO:0043168,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044550,GO:0046189,GO:0046394,GO:0046483,GO:0046496,GO:0048037,GO:0050660,GO:0050662,GO:0050664,GO:0051186,GO:0055086,GO:0055114,GO:0070189,GO:0071704,GO:0072330,GO:0072524,GO:0097159,GO:1900813,GO:1900815,GO:1901265,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901576,GO:1901605,GO:1901615,GO:1901617					FALSE	FALSE	FALSE						FAD binding domain	Domain-supported	Regulation/signalling	FAD binding domain	TRUE
Fusarium	TRINITY_DN10331_c0_g1	92.5126066913497	2.38904591886784	2.32436937082911	2.54433333853851e-16	Upregulated	TRUE	avfA	NAD(P)H-binding	61459.XP_007776839.1	2D29M@1|root,2SM0C@2759|Eukaryota,3AJS1@33154|Opisthokonta,3PDHX@4751|Fungi,3QVX0@4890|Ascomycota	4751|Fungi	S	NAD_binding_10						FALSE	FALSE	FALSE						avfA	Named gene	Regulation/signalling	NAD(P)H-binding	TRUE
Fusarium	TRINITY_DN11121_c0_g1	77.0492962184316	2.32440112578307	2.25159533128591	2.4401463719234502e-14	Upregulated	TRUE		Aldo/keto reductase family	5507.FOXG_15734P0	COG0667@1|root,KOG1575@2759|Eukaryota,39V4Y@33154|Opisthokonta,3NY5V@4751|Fungi,3QKTG@4890|Ascomycota,213UI@147550|Sordariomycetes,3TPT5@5125|Hypocreales,1FWVT@110618|Nectriaceae	4751|Fungi	C	Aldo_ket_red						FALSE	FALSE	FALSE						Aldo/keto reductase family	Specific description	Regulation/signalling	Aldo/keto reductase family	TRUE
Fusarium	TRINITY_DN14440_c0_g1	696.758273831736	2.19055983007455	2.17867736936095	1.52639310364565e-78	Upregulated	TRUE		Base excision DNA repair protein	80884.CCF40248	COG0177@1|root,2QRUG@2759|Eukaryota,3989A@33154|Opisthokonta,3NZZC@4751|Fungi,3QR8Q@4890|Ascomycota,217UY@147550|Sordariomycetes,1F2BB@1028384|Glomerellales	4751|Fungi	L	HhH-GPD		4.2.99.18	ko:K10773	ko03410,map03410		FALSE	FALSE	FALSE						Base excision DNA repair protein	Specific description	Regulation/signalling	Base excision DNA repair protein	TRUE
Fusarium	TRINITY_DN8758_c0_g1	453.819847752638	1.42983082050649	1.40810710952287	1.13893934873983e-27	Upregulated	TRUE		Acid phosphatase homologues	5507.FOXG_12279P0	COG0671@1|root,KOG3030@2759|Eukaryota,39E85@33154|Opisthokonta,3NXEH@4751|Fungi,3QMKN@4890|Ascomycota,217V9@147550|Sordariomycetes,3TF22@5125|Hypocreales,1FNK1@110618|Nectriaceae	4751|Fungi	I	PAP2		3.1.3.4,3.1.3.81	ko:K18693	ko00561,ko00564,ko01110,map00561,map00564,map01110		FALSE	FALSE	FALSE						Acid phosphatase homologues	Specific description	Regulation/signalling	Acid phosphatase homologues	TRUE
Fusarium	TRINITY_DN1008_c0_g1	527.402723167333	1.28894034040691	1.27059732687877	1.77446993239958e-29	Upregulated	TRUE		bZIP transcription factor	92637.XP_007815271.1	KOG1414@1|root,KOG1414@2759|Eukaryota,3A9HT@33154|Opisthokonta,3P7HQ@4751|Fungi,3QYS6@4890|Ascomycota,21CGB@147550|Sordariomycetes,3TJIH@5125|Hypocreales,3G6VY@34397|Clavicipitaceae	4751|Fungi	K	bZIP_1,bZIP_2	GO:0000003,GO:0000976,GO:0000977,GO:0000978,GO:0000981,GO:0000982,GO:0000987,GO:0001012,GO:0001067,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003700,GO:0005488,GO:0006355,GO:0006357,GO:0007049,GO:0008150,GO:0009889,GO:0009987,GO:0010468,GO:0010556,GO:0010672,GO:0019219,GO:0019222,GO:0022414,GO:0031323,GO:0031326,GO:0043565,GO:0044212,GO:0050789,GO:0050794,GO:0051037,GO:0051171,GO:0051252,GO:0051321,GO:0060255,GO:0065007,GO:0080090,GO:0097159,GO:0140110,GO:1901363,GO:1903506,GO:1990837,GO:2000112,GO:2001141		ko:K04450,ko:K09047	ko04010,ko04013,ko04022,ko04024,ko04151,ko04152,ko04211,ko04261,ko04624,ko04668,ko04714,ko04725,ko04728,ko04911,ko04915,ko04918,ko04922,ko04925,ko04926,ko04927,ko04931,ko04934,ko04962,ko05016,ko05030,ko05031,ko05034,ko05161,ko05164,ko05165,ko05166,ko05169,ko05203,ko05215,map04010,map04013,map04022,map04024,map04151,map04152,map04211,map04261,map04624,map04668,map04714,map04725,map04728,map04911,map04915,map04918,map04922,map04925,map04926,map04927,map04931,map04934,map04962,map05016,map05030,map05031,map05034,map05161,map05164,map05165,map05166,map05169,map05203,map05215		FALSE	FALSE	FALSE						bZIP transcription factor	Specific description	Regulation/signalling	bZIP transcription factor	TRUE
Fusarium	TRINITY_DN2554_c0_g1	4723.14007443458	1.24340953798187	1.23829952629287	6.489567275709009e-95	Upregulated	TRUE	BGL4	Belongs to the glycosyl hydrolase 3 family	5507.FOXG_02349P0	COG1472@1|root,2QR4D@2759|Eukaryota,38FS1@33154|Opisthokonta,3NVBN@4751|Fungi,3QJHH@4890|Ascomycota,213CP@147550|Sordariomycetes,3TEQH@5125|Hypocreales,1FT77@110618|Nectriaceae	4751|Fungi	G	Fn3-like,Glyco_hydro_3,Glyco_hydro_3_C		3.2.1.21	ko:K05349	ko00460,ko00500,ko00940,ko01100,ko01110,map00460,map00500,map00940,map01100,map01110	GH3	TRUE	TRUE	TRUE	GH3					BGL4	Named gene	Regulation/signalling	Belongs to the glycosyl hydrolase 3 family	TRUE
Fusarium	TRINITY_DN673_c0_g2	4867.51819567125	1.14458390324666	1.13984104432823	1.0395869454496299e-98	Upregulated	TRUE		Amino acid permease	5127.CCT73227	COG0531@1|root,KOG1286@2759|Eukaryota,38DMK@33154|Opisthokonta,3NUN0@4751|Fungi,3QSJD@4890|Ascomycota,214KP@147550|Sordariomycetes,3TG55@5125|Hypocreales,1FKRI@110618|Nectriaceae	4751|Fungi	E	AA_permease			ko:K16261			FALSE	TRUE	FALSE						Amino acid permease	Specific description	Regulation/signalling	Amino acid permease	TRUE
Fusarium	TRINITY_DN16102_c0_g1	227.184543087473	1.11966098933533	1.07195055401259	2.48714926971913e-10	Upregulated	TRUE		Ankyrin repeats (many copies)	5127.CCT72224	COG0666@1|root,KOG4177@2759|Eukaryota,39SUK@33154|Opisthokonta,3P169@4751|Fungi,3QUPC@4890|Ascomycota,219F3@147550|Sordariomycetes,3TVW0@5125|Hypocreales,1FREK@110618|Nectriaceae	4751|Fungi	M	Ank,Ank_2,Ank_3,Ank_4,NACHT						FALSE	FALSE	FALSE						Ankyrin repeats (many copies)	Specific description	Regulation/signalling	Ankyrin repeats (many copies)	TRUE
Ophiostoma	gene_6464	16351.3410330603	-3.12395606302864	-3.1083654034803017	3.39490082278125e-92	Downregulated	TRUE		3-beta hydroxysteroid dehydrogenase/isomerase family	61273.S3BP30	COG0702@1|root,2QQEA@2759|Eukaryota,39VA4@33154|Opisthokonta,3NZCX@4751|Fungi,3RP9T@4890|Ascomycota,21SCB@147550|Sordariomycetes,3UU5D@5151|Ophiostomatales	4751|Fungi	GM	NmrA						FALSE	FALSE	FALSE			regulation of nitrogen utilization; transcription repressor activity			3-beta hydroxysteroid dehydrogenase/isomerase family	Specific description	Regulation/signalling	3-beta hydroxysteroid dehydrogenase/isomerase family	TRUE
Ophiostoma	gene_2401	2098.38591893807	-1.83016741002111	-1.8245711621822345	5.385631681828409e-109	Downregulated	TRUE		AAA domain	61273.S3BTF8	COG3265@1|root,KOG3354@2759|Eukaryota,3A6Z1@33154|Opisthokonta,3P32X@4751|Fungi,3QU88@4890|Ascomycota,217I6@147550|Sordariomycetes,3UTMH@5151|Ophiostomatales	4751|Fungi	F	AAA_33,SKI		2.7.1.12	ko:K00851	ko00030,ko01100,ko01110,ko01120,ko01130,ko01200,map00030,map01100,map01110,map01120,map01130,map01200		FALSE	FALSE	FALSE			ATP binding; carbohydrate metabolic process; gluconokinase activity; kinase activity; shikimate kinase activity	Gluconokinase.	Pentose phosphate pathway	AAA domain	Domain-supported	Regulation/signalling	AAA domain	TRUE
Ophiostoma	gene_518	631.254998612413	-1.64866371590492	-1.6286054520165236	1.38431361596941e-29	Downregulated	TRUE		ACT domain	61273.S3D9D0	29RKX@1|root,2RXBJ@2759|Eukaryota,39T14@33154|Opisthokonta,3NYA3@4751|Fungi,3QPMS@4890|Ascomycota,213VS@147550|Sordariomycetes,3UUU9@5151|Ophiostomatales	4751|Fungi	S	ACT_7						FALSE	FALSE	FALSE						ACT domain	Domain-supported	Regulation/signalling	ACT domain	TRUE
Ophiostoma	gene_5755	99.7270877780354	-1.4822682391284	-1.426727131912777	6.15227189403756e-10	Downregulated	TRUE		7 transmembrane receptor (rhodopsin family)	61273.S3CSR1	2CCI7@1|root,2QTGV@2759|Eukaryota,39KEC@33154|Opisthokonta,3Q4SW@4751|Fungi,3RN31@4890|Ascomycota,21RAD@147550|Sordariomycetes,3UPWZ@5151|Ophiostomatales	4751|Fungi	S	7tm_2,Dicty_CAR						FALSE	FALSE	FALSE						7 transmembrane receptor (rhodopsin family)	Specific description	Regulation/signalling	7 transmembrane receptor (rhodopsin family)	TRUE
Ophiostoma	gene_711	19319.5538197746	-1.44801313270687	-1.4256212425698278	2.55140578776734e-22	Downregulated	TRUE		ABC transporter transmembrane region	61273.S3CE47	COG1132@1|root,KOG0055@2759|Eukaryota,38E88@33154|Opisthokonta,3NU2T@4751|Fungi,3QJNT@4890|Ascomycota,217P9@147550|Sordariomycetes,3UQK4@5151|Ophiostomatales	4751|Fungi	Q	ABC_membrane,ABC_tran	GO:0000322,GO:0000323,GO:0000324,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005773,GO:0005886,GO:0006810,GO:0006855,GO:0008150,GO:0015893,GO:0016020,GO:0042221,GO:0042493,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464,GO:0050896,GO:0051179,GO:0051234,GO:0055085,GO:0071944	3.6.3.44	ko:K05658	ko02010,ko04976,ko05206,ko05226,map02010,map04976,map05206,map05226		FALSE	TRUE	FALSE			ATP binding; ATPase activity; ATPase activity, coupled to transmembrane movement of substances; integral to membrane; nucleoside-triphosphatase activity; nucleotide binding; transport; xenobiotic-transporting ATPase activity	Xenobiotic-transporting ATPase.	\N	ABC transporter transmembrane region	Specific description	Regulation/signalling	ABC transporter transmembrane region	TRUE
