gene_id	contrast	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	shrunk_log2FoldChange	shrunk_lfcSE	mrna_id	eggnog_annotated	eggnog_seed_ortholog	eggnog_evalue	eggnog_score	eggnog_eggnog_ogs	eggnog_max_annot_lvl	eggnog_cog_category	eggnog_description	eggnog_preferred_name	eggnog_gos	eggnog_ec	eggnog_kegg_ko	eggnog_kegg_pathway	eggnog_kegg_module	eggnog_kegg_reaction	eggnog_kegg_rclass	eggnog_brite	eggnog_kegg_tc	eggnog_cazy	eggnog_bigg_reaction	eggnog_pfams	signalp_prediction	signalp_is_sp	signalp_other_score	signalp_sp_score	signalp_cs_position	dbcan_any_hit	dbcan_high_confidence	dbcan_n_tools	dbcan_ec	dbcan_hmm	dbcan_sub	dbcan_diamond	dbcan_recommended	dbcan_substrate	de_significant_padj_lt_0.05	de_significant_raw_lfc1	de_significant_shrunk_lfc1	de_direction	dbcan_any_hit_candidate	high_confidence_cazyme	significant_high_confidence_cazyme	significant_raw_lfc1_high_confidence_cazyme	significant_shrunk_lfc1_high_confidence_cazyme
gene_6516	onu_vs_self	2584.74806427892	-4.33243783322718	0.093308061318695	-46.4315491287476	0	0	-4.32839726639039	0.09328214573839175	mRNA_6516	TRUE	61273.S3BP84	1.11e-240	672.0	KOG2966@1|root,KOG2966@2759|Eukaryota,39QZZ@33154|Opisthokonta,3NU8G@4751|Fungi,3QQNM@4890|Ascomycota,21618@147550|Sordariomycetes,3UV2X@5151|Ophiostomatales	4751|Fungi	U	Mitochondrial calcium uniporter				ko:K20858	ko04020,ko04218,ko04621,map04020,map04218,map04621				ko00000,ko00001,ko02000	1.A.77.1			MCU	OTHER	FALSE	1.000000	0.000000		TRUE	FALSE	1	-	-	-	GT76	-	-	TRUE	TRUE	TRUE	down	TRUE	FALSE	FALSE	FALSE	FALSE
gene_5107	onu_vs_self	1726.66403373498	-3.17084339281502	0.0832508890431452	-38.0878021755625	0	0	-3.166374266349316	0.08326148869105303	mRNA_5107	TRUE	61273.S3D181	0.0	2032.0	COG0474@1|root,KOG0202@2759|Eukaryota,38FIJ@33154|Opisthokonta,3NU1M@4751|Fungi,3QMM2@4890|Ascomycota,217KB@147550|Sordariomycetes,3UUIC@5151|Ophiostomatales	4751|Fungi	P	Cation transporter/ATPase, N-terminus	cta3	GO:0000322,GO:0000323,GO:0000324,GO:0003674,GO:0003824,GO:0005215,GO:0005388,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005773,GO:0005886,GO:0006810,GO:0006811,GO:0006812,GO:0006813,GO:0006816,GO:0006873,GO:0006874,GO:0006875,GO:0008150,GO:0008324,GO:0008556,GO:0009987,GO:0015075,GO:0015077,GO:0015079,GO:0015085,GO:0015318,GO:0015399,GO:0015405,GO:0015662,GO:0015672,GO:0016020,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0019725,GO:0019829,GO:0022804,GO:0022853,GO:0022857,GO:0022890,GO:0030001,GO:0030003,GO:0034220,GO:0042592,GO:0042623,GO:0042625,GO:0042626,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043492,GO:0044424,GO:0044444,GO:0044464,GO:0046873,GO:0048878,GO:0050801,GO:0051179,GO:0051208,GO:0051234,GO:0051235,GO:0055065,GO:0055074,GO:0055080,GO:0055082,GO:0055085,GO:0065007,GO:0065008,GO:0070588,GO:0070838,GO:0071435,GO:0071804,GO:0071805,GO:0071944,GO:0072503,GO:0072507,GO:0072511,GO:0090662,GO:0097623,GO:0098655,GO:0098660,GO:0098662,GO:0098771,GO:0099131,GO:0099132,GO:0140115	3.6.3.7	ko:K01536					ko00000,ko01000				Cation_ATPase,Cation_ATPase_C,Cation_ATPase_N,E1-E2_ATPase,Hydrolase	OTHER	FALSE	0.999815	0.000200		TRUE	FALSE	1	-	-	-	GH128	-	-	TRUE	TRUE	TRUE	down	TRUE	FALSE	FALSE	FALSE	FALSE
gene_6065	onu_vs_self	6105.48892061455	-2.14737369604215	0.0493419200635193	-43.5202702545375	0	0	-2.1451270326125993	0.04935471921946786	mRNA_6065	TRUE	61273.S3CS62	0.0	1003.0	COG0531@1|root,KOG1289@2759|Eukaryota,38BSD@33154|Opisthokonta,3NWJI@4751|Fungi,3QK42@4890|Ascomycota,215FS@147550|Sordariomycetes,3UUXU@5151|Ophiostomatales	4751|Fungi	E	Amino acid permease													AA_permease_2	OTHER	FALSE	0.999767	0.000253		TRUE	FALSE	1	-	-	-	GT2	-	-	TRUE	TRUE	TRUE	down	TRUE	FALSE	FALSE	FALSE	FALSE
gene_1502	onu_vs_self	11217.3948536144	-2.22907868830641	0.0642531810857754	-34.6921140811796	1.03598931631049e-263	5.2165109103633995e-261	-2.226006724639167	0.06431334983480705	mRNA_1502	TRUE	61273.S3CD71	0.0	1733.0	COG1502@1|root,KOG1329@2759|Eukaryota,38G6H@33154|Opisthokonta,3NX5P@4751|Fungi,3QQG6@4890|Ascomycota,213WS@147550|Sordariomycetes,3USF1@5151|Ophiostomatales	4751|Fungi	I	Phospholipase D Active site motif			3.1.4.4	ko:K01115	ko00564,ko00565,ko01100,ko01110,ko04014,ko04024,ko04071,ko04072,ko04144,ko04666,ko04724,ko04912,ko05231,map00564,map00565,map01100,map01110,map04014,map04024,map04071,map04072,map04144,map04666,map04724,map04912,map05231		R01310,R02051,R07385	RC00017,RC00425	ko00000,ko00001,ko01000,ko04131				PLDc,PLDc_2	OTHER	FALSE	1.000000	0.000000		TRUE	FALSE	1	-	-	-	GH43_6+GH43_6	-	-	TRUE	TRUE	TRUE	down	TRUE	FALSE	FALSE	FALSE	FALSE
gene_4555	onu_vs_self	8694.63141393915	-4.50877246265548	0.14530959201169	-31.028732516796	2.2091169507811797e-211	6.30334703289562e-209	-4.499145454159855	0.14540794321136166	mRNA_4555	TRUE	61273.S3CMN5	0.0	2230.0	COG5038@1|root,KOG1012@2759|Eukaryota,38BJ6@33154|Opisthokonta,3NZ4W@4751|Fungi,3QPC9@4890|Ascomycota,212IG@147550|Sordariomycetes,3URMX@5151|Ophiostomatales	4751|Fungi	U	Protein kinase C conserved region 2 (CalB)													C2	OTHER	FALSE	1.000000	0.000000		TRUE	FALSE	1	-	-	-	CE9	-	-	TRUE	TRUE	TRUE	down	TRUE	FALSE	FALSE	FALSE	FALSE
gene_7725	onu_vs_self	938.303152049709	4.61296992642967	0.152044563070879	30.3395914543766	3.4468324282359997e-202	8.19580155158339e-200	4.603780882247344	0.15180440904734002	mRNA_7725	TRUE	61273.S3C290	2.23e-198	559.0	28K5W@1|root,2QSKG@2759|Eukaryota,39GXX@33154|Opisthokonta,3NUA9@4751|Fungi,3QQQ8@4890|Ascomycota,212I8@147550|Sordariomycetes	4751|Fungi	S	WGS project CABT00000000 data, contig													Methyltransf_23	OTHER	FALSE	0.998951	0.001082		TRUE	FALSE	1	-	-	-	AA1	-	-	TRUE	TRUE	TRUE	up	TRUE	FALSE	FALSE	FALSE	FALSE
gene_5656	onu_vs_self	16738.0260201908	-3.13012147033061	0.110644661077228	-28.2898554693555	4.60653004634626e-176	7.886379439344799e-174	-3.1213004286599966	0.11074320439857906	mRNA_5656	TRUE	61273.S3CUN2	0.0	1067.0	KOG0255@1|root,KOG0255@2759|Eukaryota,38C4U@33154|Opisthokonta,3NYEZ@4751|Fungi,3QN9P@4890|Ascomycota,216JS@147550|Sordariomycetes,3UV8X@5151|Ophiostomatales	4751|Fungi	S	Major Facilitator Superfamily													MFS_1	OTHER	FALSE	0.999909	0.000135		TRUE	FALSE	1	-	-	-	GH27	-	-	TRUE	TRUE	TRUE	down	TRUE	FALSE	FALSE	FALSE	FALSE
gene_7824	onu_vs_self	1611.20578382321	-2.56024639910731	0.0939539682988653	-27.2500081206068	1.6614845610564597e-163	2.7350592005083297e-161	-2.553687804743385	0.0940944396954794	mRNA_7824	TRUE	61273.S3BWJ8	1.58e-240	661.0	COG5597@1|root,KOG1950@2759|Eukaryota,39TYB@33154|Opisthokonta,3NVI2@4751|Fungi,3QNBA@4890|Ascomycota,215M2@147550|Sordariomycetes,3UVHP@5151|Ophiostomatales	4751|Fungi	G	glycosyl transferase family													Glyco_transf_8	OTHER	FALSE	1.000000	0.000000		TRUE	TRUE	3	-	GT8(8-290)	GT8_e176(11-289)	GT8	GT8_e176	-	TRUE	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE	TRUE
gene_928	onu_vs_self	875.034415699132	-2.52562326318011	0.095075232572164	-26.5644710494199	1.7477866927203398e-155	2.7201916526701894e-153	-2.518707716768547	0.09511478472380966	mRNA_928	TRUE	61273.S3CAW0	0.0	1450.0	COG3669@1|root,KOG3340@2759|Eukaryota,38H5D@33154|Opisthokonta,3NWGI@4751|Fungi,3QQFF@4890|Ascomycota,212AB@147550|Sordariomycetes,3UV8W@5151|Ophiostomatales	4751|Fungi	G	Alpha-L-fucosidase													Alpha_L_fucos	SP	TRUE	0.000237	0.999737	CS pos: 21-22. Pr: 0.7114	TRUE	TRUE	3	-	GH29(334-701)	GH29_e66(334-702)	GH29	GH29_e66	host glycan	TRUE	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE	TRUE
gene_7398	onu_vs_self	2102.57215498242	1.89390480995967	0.0725344277725618	26.11042601588	2.7759778641003e-150	4.243280449410459e-148	1.8888309802472445	0.07259528415526112	mRNA_7398	TRUE	61273.S3CHU6	0.0	1121.0	KOG0255@1|root,KOG0255@2759|Eukaryota,38D5E@33154|Opisthokonta,3NTW3@4751|Fungi,3QP7I@4890|Ascomycota,214T4@147550|Sordariomycetes,3USKA@5151|Ophiostomatales	4751|Fungi	S	Major Facilitator Superfamily	NAG4												MFS_1	OTHER	FALSE	1.000000	0.000002		TRUE	FALSE	1	-	-	-	PL7_4+PL7_4	-	-	TRUE	TRUE	TRUE	up	TRUE	FALSE	FALSE	FALSE	FALSE
