gene_id	pathway
TRINITY_DN10097_c0_g1	map00010
TRINITY_DN10931_c0_g1	map00010
TRINITY_DN1115_c0_g1	map00010
TRINITY_DN12502_c0_g1	map00010
TRINITY_DN127_c0_g1	map00010
TRINITY_DN1296_c0_g1	map00010
TRINITY_DN13175_c0_g1	map00010
TRINITY_DN14106_c0_g1	map00010
TRINITY_DN14373_c0_g1	map00010
TRINITY_DN14873_c0_g1	map00010
TRINITY_DN14_c1_g1	map00010
TRINITY_DN15783_c0_g1	map00010
TRINITY_DN15838_c0_g1	map00010
TRINITY_DN15980_c0_g1	map00010
TRINITY_DN1685_c0_g1	map00010
TRINITY_DN1735_c0_g1	map00010
TRINITY_DN17962_c7_g1	map00010
TRINITY_DN17985_c0_g1	map00010
TRINITY_DN183_c0_g1	map00010
TRINITY_DN1989_c0_g1	map00010
TRINITY_DN2266_c0_g1	map00010
TRINITY_DN227_c0_g1	map00010
TRINITY_DN2349_c0_g1	map00010
TRINITY_DN2413_c0_g1	map00010
TRINITY_DN2770_c0_g1	map00010
TRINITY_DN2794_c0_g1	map00010
TRINITY_DN2809_c1_g1	map00010
TRINITY_DN2931_c0_g1	map00010
TRINITY_DN305_c0_g1	map00010
TRINITY_DN3101_c0_g1	map00010
TRINITY_DN3391_c0_g1	map00010
TRINITY_DN352_c0_g1	map00010
TRINITY_DN4009_c0_g1	map00010
TRINITY_DN4024_c0_g1	map00010
TRINITY_DN402_c0_g1	map00010
TRINITY_DN4118_c0_g1	map00010
TRINITY_DN4287_c0_g1	map00010
TRINITY_DN4369_c0_g1	map00010
TRINITY_DN4380_c0_g1	map00010
TRINITY_DN4474_c0_g1	map00010
TRINITY_DN4632_c0_g1	map00010
TRINITY_DN4691_c0_g1	map00010
TRINITY_DN4839_c0_g1	map00010
TRINITY_DN4854_c0_g1	map00010
TRINITY_DN4938_c0_g1	map00010
TRINITY_DN4960_c0_g1	map00010
TRINITY_DN5019_c0_g1	map00010
TRINITY_DN5057_c0_g1	map00010
TRINITY_DN5163_c0_g1	map00010
TRINITY_DN5176_c0_g1	map00010
TRINITY_DN5563_c0_g1	map00010
TRINITY_DN5762_c0_g1	map00010
TRINITY_DN5830_c0_g1	map00010
TRINITY_DN6645_c0_g1	map00010
TRINITY_DN6741_c1_g1	map00010
TRINITY_DN674_c0_g1	map00010
TRINITY_DN693_c0_g1	map00010
TRINITY_DN8475_c0_g1	map00010
TRINITY_DN8765_c0_g1	map00010
TRINITY_DN9_c0_g2	map00010
TRINITY_DN1001_c0_g1	map00020
TRINITY_DN1110_c0_g1	map00020
TRINITY_DN12915_c0_g1	map00020
TRINITY_DN1567_c0_g1	map00020
TRINITY_DN1577_c0_g1	map00020
TRINITY_DN1613_c0_g1	map00020
TRINITY_DN1615_c0_g1	map00020
TRINITY_DN1685_c0_g1	map00020
TRINITY_DN18445_c0_g1	map00020
TRINITY_DN1961_c0_g1	map00020
TRINITY_DN2526_c0_g1	map00020
TRINITY_DN2526_c0_g2	map00020
TRINITY_DN2526_c1_g1	map00020
TRINITY_DN3050_c0_g1	map00020
TRINITY_DN3101_c0_g1	map00020
TRINITY_DN3709_c0_g1	map00020
TRINITY_DN3823_c0_g1	map00020
TRINITY_DN4118_c0_g1	map00020
TRINITY_DN4369_c0_g1	map00020
TRINITY_DN4405_c0_g1	map00020
TRINITY_DN4474_c0_g1	map00020
TRINITY_DN4550_c0_g1	map00020
TRINITY_DN4603_c0_g1	map00020
TRINITY_DN465_c0_g1	map00020
TRINITY_DN4691_c0_g1	map00020
TRINITY_DN4997_c0_g1	map00020
TRINITY_DN8457_c0_g1	map00020
TRINITY_DN8475_c0_g1	map00020
TRINITY_DN855_c0_g1	map00020
TRINITY_DN8817_c0_g1	map00020
TRINITY_DN8_c0_g1	map00020
TRINITY_DN943_c0_g1	map00020
TRINITY_DN948_c0_g1	map00020
TRINITY_DN968_c0_g1	map00020
TRINITY_DN12712_c0_g1	map00030
TRINITY_DN12773_c0_g1	map00030
TRINITY_DN1296_c0_g1	map00030
TRINITY_DN1301_c0_g2	map00030
TRINITY_DN137_c0_g1	map00030
TRINITY_DN14484_c0_g1	map00030
TRINITY_DN1597_c0_g1	map00030
TRINITY_DN16298_c0_g1	map00030
TRINITY_DN17854_c0_g1	map00030
TRINITY_DN178_c0_g1	map00030
TRINITY_DN2266_c0_g1	map00030
TRINITY_DN227_c0_g1	map00030
TRINITY_DN23_c0_g1	map00030
TRINITY_DN2420_c0_g1	map00030
TRINITY_DN3079_c0_g1	map00030
TRINITY_DN3309_c0_g1	map00030
TRINITY_DN3470_c0_g1	map00030
TRINITY_DN3622_c0_g1	map00030
TRINITY_DN3804_c0_g1	map00030
TRINITY_DN3892_c1_g1	map00030
TRINITY_DN5107_c0_g1	map00030
TRINITY_DN568_c0_g1	map00030
TRINITY_DN5830_c0_g1	map00030
TRINITY_DN674_c0_g1	map00030
TRINITY_DN6773_c0_g1	map00030
TRINITY_DN7886_c0_g1	map00030
TRINITY_DN8876_c0_g1	map00030
TRINITY_DN1050_c0_g1	map00040
TRINITY_DN10843_c0_g1	map00040
TRINITY_DN1134_c0_g1	map00040
TRINITY_DN12609_c0_g1	map00040
TRINITY_DN13524_c0_g1	map00040
TRINITY_DN137_c0_g1	map00040
TRINITY_DN14374_c0_g1	map00040
TRINITY_DN14873_c0_g1	map00040
TRINITY_DN1559_c0_g1	map00040
TRINITY_DN15980_c0_g1	map00040
TRINITY_DN16128_c0_g1	map00040
TRINITY_DN17080_c0_g1	map00040
TRINITY_DN18222_c0_g1	map00040
TRINITY_DN2182_c0_g1	map00040
TRINITY_DN2652_c0_g1	map00040
TRINITY_DN2671_c0_g1	map00040
TRINITY_DN2728_c0_g1	map00040
TRINITY_DN314_c0_g1	map00040
TRINITY_DN3391_c0_g1	map00040
TRINITY_DN3396_c0_g1	map00040
TRINITY_DN3485_c0_g1	map00040
TRINITY_DN3555_c0_g1	map00040
TRINITY_DN3657_c0_g1	map00040
TRINITY_DN3853_c0_g1	map00040
TRINITY_DN402_c0_g1	map00040
TRINITY_DN4037_c0_g1	map00040
TRINITY_DN4187_c0_g1	map00040
TRINITY_DN4380_c0_g1	map00040
TRINITY_DN4680_c0_g1	map00040
TRINITY_DN4979_c0_g1	map00040
TRINITY_DN5171_c0_g1	map00040
TRINITY_DN5765_c0_g1	map00040
TRINITY_DN635_c0_g1	map00040
TRINITY_DN72_c0_g1	map00040
TRINITY_DN72_c1_g1	map00040
TRINITY_DN73_c0_g1	map00040
TRINITY_DN8765_c0_g1	map00040
TRINITY_DN8807_c0_g1	map00040
TRINITY_DN9048_c0_g1	map00040
TRINITY_DN9213_c0_g1	map00040
TRINITY_DN9408_c0_g1	map00040
TRINITY_DN1050_c0_g1	map00051
TRINITY_DN1063_c0_g1	map00051
TRINITY_DN10843_c0_g1	map00051
TRINITY_DN11058_c0_g1	map00051
TRINITY_DN11324_c1_g1	map00051
TRINITY_DN1134_c0_g1	map00051
TRINITY_DN1222_c0_g1	map00051
TRINITY_DN12318_c2_g1	map00051
TRINITY_DN12398_c0_g1	map00051
TRINITY_DN12433_c0_g1	map00051
TRINITY_DN1296_c0_g1	map00051
TRINITY_DN14184_c0_g1	map00051
TRINITY_DN14309_c0_g1	map00051
TRINITY_DN14762_c0_g1	map00051
TRINITY_DN14772_c0_g1	map00051
TRINITY_DN16128_c0_g1	map00051
TRINITY_DN17765_c0_g1	map00051
TRINITY_DN18346_c0_g1	map00051
TRINITY_DN2271_c0_g1	map00051
TRINITY_DN227_c0_g1	map00051
TRINITY_DN2349_c0_g1	map00051
TRINITY_DN2413_c0_g1	map00051
TRINITY_DN2671_c0_g1	map00051
TRINITY_DN3012_c0_g1	map00051
TRINITY_DN314_c0_g1	map00051
TRINITY_DN3226_c0_g1	map00051
TRINITY_DN3485_c0_g1	map00051
TRINITY_DN352_c0_g1	map00051
TRINITY_DN3771_c0_g1	map00051
TRINITY_DN3984_c0_g1	map00051
TRINITY_DN4436_c0_g1	map00051
TRINITY_DN4488_c0_g1	map00051
TRINITY_DN4675_c0_g1	map00051
TRINITY_DN5491_c0_g1	map00051
TRINITY_DN5563_c0_g1	map00051
TRINITY_DN573_c0_g1	map00051
TRINITY_DN5787_c0_g1	map00051
TRINITY_DN6003_c0_g1	map00051
TRINITY_DN674_c0_g1	map00051
TRINITY_DN8729_c0_g1	map00051
TRINITY_DN9_c0_g2	map00051
TRINITY_DN1024_c0_g1	map00052
TRINITY_DN10605_c0_g1	map00052
TRINITY_DN10720_c0_g1	map00052
TRINITY_DN10987_c0_g1	map00052
TRINITY_DN11113_c0_g1	map00052
TRINITY_DN1137_c0_g1	map00052
TRINITY_DN11443_c0_g1	map00052
TRINITY_DN12337_c1_g1	map00052
