gene_id	protein_id	direction	baseMean	log2FoldChange	padj	functional_label	annotation_class	signal_peptide	cazyme	kegg_definition_label	kegg_activity_label	kegg_pathway_label	go_label	dbcan_family	dbcan_substrate_label
gene_5481	1984041	Downregulated	36.3267443406487	-6.37270028743512	6.98196291975737e-7	Benzoate 4-monooxygenase.	KEGG definition	FALSE	FALSE	Benzoate 4-monooxygenase.	Benzoate + NADPH + O(2) = 4-hydroxybenzoate + NADP(+) + H(2)O.	Benzoate degradation via CoA ligation	monooxygenase activity; iron ion binding; electron transport; heme binding; benzoate 4-monooxygenase activity	-	-
gene_3999	1982559	Downregulated	7.83183855397731	-6.35181868438762	5.00160608471461e-6	-	CAZyme family	FALSE	FALSE					-	-
gene_3954	1982514	Downregulated	13.259707790991	-6.29603373765604	2.15146100246578e-6	-	CAZyme family	FALSE	FALSE					-	-
gene_1466	1980026	Downregulated	12.5355654726706	-6.22279732735446	7.10415776703421e-6	-	CAZyme family	TRUE	FALSE				transporter activity; transport; integral to membrane	-	-
gene_8586	1987146	Downregulated	26.8945382862663	-6.20821316224561	1.28191694869048e-6	Acting on the CH-OH group of donors.	KEGG definition	FALSE	FALSE	Acting on the CH-OH group of donors.	\N	Benzoate degradation via CoA ligation; Ethylbenzene degradation	metabolic process; oxidoreductase activity; glucose dehydrogenase activity; pinocarveol dehydrogenase activity; chloral hydrate dehydrogenase activity; hydroxymethylmethylsilanediol oxidase activity; 1-phenylethanol dehydrogenase activity; myrtenol dehydrogenase activity; versicolorin reductase activity; ketoreductase activity	-	-
gene_5520	1984080	Downregulated	89.2307198085034	-5.63988654826577	1.2832467216001001e-22	-	CAZyme family	FALSE	FALSE					-	-
gene_596	1979156	Downregulated	742.668705013353	-5.56594079445806	2.03151371341977e-105	-	CAZyme family	FALSE	TRUE				sugar:hydrogen symporter activity; carbohydrate transport; membrane; transporter activity; transport; integral to membrane	-	-
gene_1284	1979844	Downregulated	220.222602477215	-5.23482280467871	7.503488452816591e-52	-	CAZyme family	FALSE	FALSE				sugar:hydrogen symporter activity; carbohydrate transport; membrane; transporter activity; transport; integral to membrane	-	-
gene_5881	1984441	Downregulated	35.2351443792254	-5.14223213948682	2.401329786257e-8	-	CAZyme family	FALSE	FALSE				transporter activity; transport; integral to membrane; membrane	-	-
gene_8391	1986951	Downregulated	1505.09387311416	-4.94680677720546	0	-	CAZyme family	FALSE	TRUE					-	-
