gene_id	protein_id	direction	baseMean	log2FoldChange	padj	display_label	jgi_label	go_label	kegg_label	kegg_pathway_label	signal_peptide	cazyme	dbcan_label	dbcan_substrate	has_readable_annotation
gene_5481	1984041	Downregulated	36.3267443406487	-6.37270028743512	6.98196291975737e-7	jgi.p|Ophnu1|1984041	jgi.p|Ophnu1|1984041	monooxygenase activity; iron ion binding; electron transport; heme binding; benzoate 4-monooxygenase activity	Benzoate 4-monooxygenase.	Benzoate degradation via CoA ligation	FALSE	FALSE		-	TRUE
gene_3999	1982559	Downregulated	7.83183855397731	-6.35181868438762	5.00160608471461e-6	jgi.p|Ophnu1|1982559	jgi.p|Ophnu1|1982559				FALSE	FALSE		-	TRUE
gene_3954	1982514	Downregulated	13.259707790991	-6.29603373765604	2.15146100246578e-6	jgi.p|Ophnu1|1982514	jgi.p|Ophnu1|1982514				FALSE	FALSE		-	TRUE
gene_1466	1980026	Downregulated	12.5355654726706	-6.22279732735446	7.10415776703421e-6	jgi.p|Ophnu1|1980026	jgi.p|Ophnu1|1980026	transporter activity; transport; integral to membrane			TRUE	FALSE		-	TRUE
gene_8586	1987146	Downregulated	26.8945382862663	-6.20821316224561	1.28191694869048e-6	jgi.p|Ophnu1|1987146	jgi.p|Ophnu1|1987146	metabolic process; oxidoreductase activity; glucose dehydrogenase activity; pinocarveol dehydrogenase activity; chloral hydrate dehydrogenase activity; hydroxymethylmethylsilanediol oxidase activity; 1-phenylethanol dehydrogenase activity; myrtenol dehydrogenase activity; versicolorin reductase activity; ketoreductase activity	Acting on the CH-OH group of donors.	Benzoate degradation via CoA ligation; Ethylbenzene degradation	FALSE	FALSE		-	TRUE
gene_5520	1984080	Downregulated	89.2307198085034	-5.63988654826577	1.2832467216001001e-22	jgi.p|Ophnu1|1984080	jgi.p|Ophnu1|1984080				FALSE	FALSE		-	TRUE
gene_596	1979156	Downregulated	742.668705013353	-5.56594079445806	2.03151371341977e-105	jgi.p|Ophnu1|1979156	jgi.p|Ophnu1|1979156	sugar:hydrogen symporter activity; carbohydrate transport; membrane; transporter activity; transport; integral to membrane			FALSE	TRUE		-	TRUE
gene_1284	1979844	Downregulated	220.222602477215	-5.23482280467871	7.503488452816591e-52	jgi.p|Ophnu1|1979844	jgi.p|Ophnu1|1979844	sugar:hydrogen symporter activity; carbohydrate transport; membrane; transporter activity; transport; integral to membrane			FALSE	FALSE		-	TRUE
gene_5881	1984441	Downregulated	35.2351443792254	-5.14223213948682	2.401329786257e-8	jgi.p|Ophnu1|1984441	jgi.p|Ophnu1|1984441	transporter activity; transport; integral to membrane; membrane			FALSE	FALSE		-	TRUE
gene_8391	1986951	Downregulated	1505.09387311416	-4.94680677720546	0	jgi.p|Ophnu1|1986951	jgi.p|Ophnu1|1986951				FALSE	TRUE		-	TRUE
