gene_id	in_deseq2_dataset	padj_available	deseq2_status	regulation	significant_padj_lt_0.05	significant_raw_abs_lfc_gt_1	significant_shrunk_abs_lfc_gt_1	raw_baseMean	raw_log2FoldChange	raw_lfcSE	raw_stat	raw_pvalue	raw_padj	shrunk_log2FoldChange	shrunk_lfcSE	mapped_transcript_count	transcript_ids	protein_coding_transcript_count	protein_coding_transcript_ids	has_predicted_protein	predicted_protein_count	protein_ids	eggnog_annotated_protein_count	eggnog_annotated	signalp_raw_positive_protein_count	signalp_raw_positive	signalp_confident_positive_protein_count	signalp_confident_positive	signalp_ambiguous_protein_count	dbcan_any_hit_protein_count	dbcan_any_hit	dbcan_high_confidence_protein_count	dbcan_high_confidence	dbcan_max_n_tools	eggnog_seed_ortholog	eggnog_evalue	eggnog_score	eggnog_eggnog_ogs	eggnog_max_annot_lvl	eggnog_cog_category	eggnog_description	eggnog_preferred_name	eggnog_gos	eggnog_ec	eggnog_kegg_ko	eggnog_kegg_pathway	eggnog_kegg_module	eggnog_kegg_reaction	eggnog_kegg_rclass	eggnog_brite	eggnog_kegg_tc	eggnog_cazy	eggnog_bigg_reaction	eggnog_pfams	dbcan_ec	dbcan_hmm	dbcan_sub	dbcan_diamond	dbcan_recommended	dbcan_substrate	secretome_primary_confident	secretome_secondary_raw	significant_confident_secretome	strong_raw_lfc_confident_secretome	strong_shrunk_lfc_confident_secretome	signalp_ambiguous_gene
TRINITY_DN9348_c0_g1	TRUE	TRUE	significant	upregulated	TRUE	TRUE	TRUE	6892.12635201819	1.4152997102147	0.0448053488878009	31.5877399762876	5.44074944812537e-219	9.79334900662566e-216	1.41275375222318	0.0448417569759977	1	TRINITY_DN9348_c0_g1_i1	1	TRINITY_DN9348_c0_g1_i1	TRUE	1	TRINITY_DN9348_c0_g1_i1|m.65071	1	TRUE	1	TRUE	1	TRUE	0	0	FALSE	0	FALSE	0	5518.FGSG_03211P0	3.38e-69	211.0	29BXM@1|root,2RJ11@2759|Eukaryota,38NQI@33154|Opisthokonta,3PQKE@4751|Fungi,3RA2Y@4890|Ascomycota,21GSI@147550|Sordariomycetes,3TNXK@5125|Hypocreales,1FV36@110618|Nectriaceae	4751|Fungi																						TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
TRINITY_DN4740_c0_g1	TRUE	TRUE	significant	upregulated	TRUE	TRUE	TRUE	9415.45800961898	1.19144863906382	0.0449636968773541	26.4980133264775	1.0217010249452e-154	1.0217010249452e-151	1.18833216937575	0.0450259997828031	2	TRINITY_DN4740_c0_g1_i1; TRINITY_DN4740_c0_g1_i2	2	TRINITY_DN4740_c0_g1_i1; TRINITY_DN4740_c0_g1_i2	TRUE	3	TRINITY_DN4740_c0_g1_i1|m.16773; TRINITY_DN4740_c0_g1_i1|m.16774; TRINITY_DN4740_c0_g1_i2|m.16775	3	TRUE	2	TRUE	2	TRUE	0	0	FALSE	0	FALSE	0	101028.EKJ70709; 140110.NechaP92861	0.0; 1.31e-240; 6.88e-73	238.0; 677.0; 1261.0	COG0753@1|root,KOG0047@2759|Eukaryota,38BMC@33154|Opisthokonta,3NUEX@4751|Fungi,3QJPH@4890|Ascomycota,215GB@147550|Sordariomycetes,3TFBI@5125|Hypocreales,1FWW3@110618|Nectriaceae	4751|Fungi	Q	Occurs in almost all aerobically respiring organisms and serves to protect cells from the toxic effects of hydrogen peroxide		GO:0000302,GO:0003674,GO:0003824,GO:0004096,GO:0004601,GO:0005488,GO:0005575,GO:0005576,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006873,GO:0006875,GO:0006879,GO:0006950,GO:0006979,GO:0007154,GO:0008150,GO:0008152,GO:0009056,GO:0009267,GO:0009605,GO:0009636,GO:0009986,GO:0009987,GO:0009991,GO:0010035,GO:0010106,GO:0016209,GO:0016491,GO:0016684,GO:0016999,GO:0017001,GO:0017144,GO:0019725,GO:0020037,GO:0030003,GO:0031667,GO:0031668,GO:0031669,GO:0033554,GO:0034599,GO:0034614,GO:0035690,GO:0042221,GO:0042493,GO:0042542,GO:0042592,GO:0042594,GO:0042737,GO:0042743,GO:0042744,GO:0044237,GO:0044248,GO:0044424,GO:0044444,GO:0044464,GO:0046677,GO:0046906,GO:0046916,GO:0048037,GO:0048878,GO:0050801,GO:0050896,GO:0051186,GO:0051187,GO:0051716,GO:0055065,GO:0055072,GO:0055076,GO:0055080,GO:0055082,GO:0055114,GO:0065007,GO:0065008,GO:0070301,GO:0070887,GO:0071236,GO:0071496,GO:0072593,GO:0097159,GO:0097237,GO:0098754,GO:0098771,GO:0098869,GO:1901363,GO:1901700,GO:1901701,GO:1990748	1.11.1.6	ko:K03781	ko00380,ko00630,ko01110,ko01130,ko01200,ko04011,ko04016,ko04068,ko04146,ko04211,ko04212,ko04213,ko05014,map00380,map00630,map01110,map01130,map01200,map04011,map04016,map04068,map04146,map04211,map04212,map04213,map05014	M00532	R00009,R00602,R02670	RC00034,RC00767,RC02141,RC02755	ko00000,ko00001,ko00002,ko01000				Catalase,Catalase-rel							TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
TRINITY_DN17675_c0_g1	TRUE	TRUE	significant	upregulated	TRUE	TRUE	TRUE	7660.36499536735	1.11343590106225	0.0486302845854644	22.8959363605094	5.10015285050145e-116	4.17285233222845e-113	1.10949508217817	0.0487296810153531	1	TRINITY_DN17675_c0_g1_i1	1	TRINITY_DN17675_c0_g1_i1	TRUE	1	TRINITY_DN17675_c0_g1_i1|m.63910	1	TRUE	1	TRUE	1	TRUE	0	0	FALSE	0	FALSE	0	117187.FVEG_12539T0	5.79e-271	748.0	2CUYI@1|root,2RPSG@2759|Eukaryota,39KQJ@33154|Opisthokonta,3NZH8@4751|Fungi,3QP13@4890|Ascomycota,217YY@147550|Sordariomycetes,3TKUP@5125|Hypocreales,1FNXS@110618|Nectriaceae	4751|Fungi	I	Serine aminopeptidase, S33													Abhydrolase_6,Hydrolase_4							TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
TRINITY_DN2554_c0_g1	TRUE	TRUE	significant	upregulated	TRUE	TRUE	TRUE	4723.14007443458	1.24340953798187	0.0593158126395673	20.9625306077732	1.44212606126867e-97	6.48956727570901e-95	1.23829952629287	0.0594672424936307	2	TRINITY_DN2554_c0_g1_i1; TRINITY_DN2554_c0_g1_i2	2	TRINITY_DN2554_c0_g1_i1; TRINITY_DN2554_c0_g1_i2	TRUE	2	TRINITY_DN2554_c0_g1_i1|m.61821; TRINITY_DN2554_c0_g1_i2|m.61826	2	TRUE	2	TRUE	2	TRUE	0	2	TRUE	2	TRUE	2	5507.FOXG_02349P0	0.0	1569.0; 1600.0	COG1472@1|root,2QR4D@2759|Eukaryota,38FS1@33154|Opisthokonta,3NVBN@4751|Fungi,3QJHH@4890|Ascomycota,213CP@147550|Sordariomycetes,3TEQH@5125|Hypocreales,1FT77@110618|Nectriaceae	4751|Fungi	G	Belongs to the glycosyl hydrolase 3 family	BGL4		3.2.1.21	ko:K05349	ko00460,ko00500,ko00940,ko01100,ko01110,map00460,map00500,map00940,map01100,map01110		R00026,R02558,R02887,R02985,R03527,R04949,R04998,R10035,R10039,R10040	RC00049,RC00059,RC00171,RC00262,RC00397,RC00451,RC00714,RC00746,RC01248	ko00000,ko00001,ko01000		GH3		Fn3-like,Glyco_hydro_3,Glyco_hydro_3_C		GH3(92-313); GH3(100-321)		GH3	GH3		TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
TRINITY_DN6033_c0_g2	TRUE	TRUE	significant	upregulated	TRUE	TRUE	TRUE	927.29084952813	1.73730020573296	0.0870110579076095	19.966430101076	1.07894757382066e-88	4.22196876712432e-86	1.72884630879576	0.0871079091558181	1	TRINITY_DN6033_c0_g2_i1	1	TRINITY_DN6033_c0_g2_i1	TRUE	1	TRINITY_DN6033_c0_g2_i1|m.65006	1	TRUE	1	TRUE	1	TRUE	0	1	TRUE	1	TRUE	2	101028.EKJ73597	0.0	1269.0	COG1626@1|root,KOG0602@2759|Eukaryota,38CKH@33154|Opisthokonta,3NTZ8@4751|Fungi,3QSJX@4890|Ascomycota,217XW@147550|Sordariomycetes,3TGVM@5125|Hypocreales,1FRY4@110618|Nectriaceae	4751|Fungi	G	to trehalase precursor			3.2.1.28	ko:K01194	ko00500,ko01100,map00500,map01100		R00010	RC00049	ko00000,ko00001,ko00537,ko01000		GH37		Trehalase		GH37(51-625)		GH37	GH37		TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
TRINITY_DN538_c0_g2	TRUE	TRUE	significant	downregulated	TRUE	TRUE	TRUE	3018.64713338566	-1.01970840008026	0.0592337684254233	-17.2149844115372	2.05002938609475e-66	5.27150413567221e-64	-1.01315642853346	0.0594468000721398	1	TRINITY_DN538_c0_g2_i3	1	TRINITY_DN538_c0_g2_i3	TRUE	3	TRINITY_DN538_c0_g2_i3|m.15132; TRINITY_DN538_c0_g2_i3|m.15133; TRINITY_DN538_c0_g2_i3|m.15134	1	TRUE	1	TRUE	1	TRUE	0	0	FALSE	0	FALSE	0	5507.FOXG_02983P0	1.34e-123	377.0	2CMI8@1|root,2QQEE@2759|Eukaryota,39KDJ@33154|Opisthokonta,3Q4S3@4751|Fungi,3RN1Z@4890|Ascomycota,21R95@147550|Sordariomycetes,3TUG0@5125|Hypocreales,1FUCK@110618|Nectriaceae	4751|Fungi	S	WSC domain													WSC							TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
TRINITY_DN101_c0_g1	TRUE	TRUE	significant	upregulated	TRUE	TRUE	TRUE	787.899718417596	1.38881631052035	0.0968523411400364	14.3395223509599	1.23905282264966e-46	1.85857923397449e-44	1.37568665816658	0.0975593239235353	2	TRINITY_DN101_c0_g1_i1; TRINITY_DN101_c0_g1_i2	2	TRINITY_DN101_c0_g1_i1; TRINITY_DN101_c0_g1_i2	TRUE	2	TRINITY_DN101_c0_g1_i1|m.43296; TRINITY_DN101_c0_g1_i2|m.43297	2	TRUE	2	TRUE	2	TRUE	0	0	FALSE	0	FALSE	0	5518.FGSG_10631P0	1.54e-86	270.0	COG0277@1|root,KOG1231@2759|Eukaryota,38FTW@33154|Opisthokonta,3NZDT@4751|Fungi,3QNW4@4890|Ascomycota,2148Z@147550|Sordariomycetes,3TIBV@5125|Hypocreales,1FQWA@110618|Nectriaceae	4751|Fungi	C	FAD binding domain													FAD_binding_4							TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
TRINITY_DN4099_c0_g1	TRUE	TRUE	significant	upregulated	TRUE	TRUE	TRUE	276.680269088892	1.3520969629952	0.146054267027628	9.25749716534766	2.09280175883496e-20	8.26105957434853e-19	1.32112480111688	0.147881572974258	2	TRINITY_DN4099_c0_g1_i1; TRINITY_DN4099_c0_g1_i2	2	TRINITY_DN4099_c0_g1_i1; TRINITY_DN4099_c0_g1_i2	TRUE	2	TRINITY_DN4099_c0_g1_i1|m.15410; TRINITY_DN4099_c0_g1_i2|m.15415	2	TRUE	2	TRUE	2	TRUE	0	0	FALSE	0	FALSE	0	5507.FOXG_13418P0	2.23e-88; 3.93e-88	322.0	2E0JD@1|root,2S7ZK@2759|Eukaryota,39KCR@33154|Opisthokonta,3Q4RC@4751|Fungi,3RN11@4890|Ascomycota,216UB@147550|Sordariomycetes,3THQX@5125|Hypocreales,1FQMY@110618|Nectriaceae	4751|Fungi																						TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
TRINITY_DN16180_c0_g1	TRUE	TRUE	significant	upregulated	TRUE	TRUE	TRUE	192.85050715787	1.60886302675053	0.180795448568856	8.8988027048579	5.64523409299013e-19	2.04044605770728e-17	1.56881608816384	0.182119966553417	1	TRINITY_DN16180_c0_g1_i1	1	TRINITY_DN16180_c0_g1_i1	TRUE	1	TRINITY_DN16180_c0_g1_i1|m.77670	1	TRUE	1	TRUE	1	TRUE	0	0	FALSE	0	FALSE	0	5507.FOXG_11745P0	8.05e-116	333.0	2E1C8@1|root,2S8PP@2759|Eukaryota,3A7JI@33154|Opisthokonta,3P3QQ@4751|Fungi,3QUVU@4890|Ascomycota,219TA@147550|Sordariomycetes,3TIH0@5125|Hypocreales,1FNJ9@110618|Nectriaceae	4751|Fungi	S	Prokaryotic phospholipase A2													Phospholip_A2_3							TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
TRINITY_DN10551_c0_g1	TRUE	TRUE	significant	upregulated	TRUE	TRUE	FALSE	389.096520312211	1.02615545104607	0.131118118444396	7.82619109563596	5.02872784670317e-15	1.3429836979326e-13	0.994069232434978	0.132904111524181	1	TRINITY_DN10551_c0_g1_i1	1	TRINITY_DN10551_c0_g1_i1	TRUE	1	TRINITY_DN10551_c0_g1_i1|m.45366	1	TRUE	1	TRUE	1	TRUE	0	0	FALSE	0	FALSE	0	5507.FOXG_12276P0	1.81e-87	260.0	2D3C9@1|root,2SR1T@2759|Eukaryota,3A7FR@33154|Opisthokonta,3P5C4@4751|Fungi,3QXPM@4890|Ascomycota,21B8E@147550|Sordariomycetes,3TJ0G@5125|Hypocreales,1FUZY@110618|Nectriaceae	4751|Fungi	S	Hydrophobic surface binding protein A													HsbA							TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
