Subfam Name	Subfam Composition	Subfam EC	Substrate	HMM Length	Target Name	Target Length	i-Evalue	HMM From	HMM To	Target From	Target To	Coverage	HMM File Name
GT35_e0	GT35:17065;GH77:18;GH13_39:1	2.4.1.1:158	-	712	mRNA_1004	892	6.7372339276e-314	1	711	160	877	0.9985955056179776	dbCAN-sub
CBM67_e28	CBM67:192;GH78:190;CBM0:1;CBM66:1	3.2.1.40:1	rhamnose	186	mRNA_1054	928	9.150786452233862e-54	9	179	126	306	0.9193548387096774	dbCAN-sub
GH78_e80	GH78:1278;CBM67:96;GH3:3;GH0:2;GH18:2;CBM0:1	3.1.1.73:2;3.2.1.40:8	-;alpha-rhamnoside	510	mRNA_1054	928	7.349641623170895e-195	2	508	332	887	0.9941176470588236	dbCAN-sub
GH43_e141	GH43_6:51;CBM1:1	3.2.1.99:9	arabinan	291	mRNA_1063	322	8.625245238331616e-112	2	290	31	320	0.993127147766323	dbCAN-sub
GT1_e69	GT1:24	2.4.1.-:6	-	407	mRNA_1064	697	3.260093900829062e-70	88	375	263	602	0.7076167076167076	dbCAN-sub
CBM21_e9	CBM21:61	-	alpha-glucan	108	mRNA_1075	849	1.0252560431592439e-47	1	108	378	485	1.0	dbCAN-sub
CE1_e39	CE1:209;CBM2:144;CBM13:19;GH10:6;CBM1:6;CBM10:3;CBM3:2;GH62:1;CBM60:1;CE15:1	-	-	195	mRNA_1079	292	2.9499027276698783e-77	2	185	37	226	0.9435897435897436	dbCAN-sub
GH31_e82	GH31:83	3.2.1.20:20	alpha-glucan	550	mRNA_1109	1041	5.232561112472927e-286	1	550	350	911	1.0	dbCAN-sub
GT1_e153	GT1:468;PL1_1:1;GH18:1;GH29:1	2.4.1.173:23;2.4.1.-:3	-;-	414	mRNA_1125	1371	2.12502475864627e-168	2	411	403	838	0.9903381642512076	dbCAN-sub
AA2_e1	AA2:59	-	lignin	252	mRNA_1129	362	1.656261763501424e-138	1	252	95	347	1.0	dbCAN-sub
GT62_e5	GT62:414	-	-	264	mRNA_1150	573	1.3887227628823712e-144	1	264	98	361	1.0	dbCAN-sub
GH125_e2	GH125:180	-	alpha-mannan	423	mRNA_1165	541	3.6760593535623284e-197	1	423	84	523	1.0	dbCAN-sub
GT2	-	-	-	276	mRNA_1184	1372	1.493771933274613e-88	1	171	690	852	0.6195652173913043	dbCAN-sub
GT2	-	-	-	276	mRNA_1184	1372	2.5297554764224715e-37	41	270	880	1129	0.8333333333333334	dbCAN-sub
AA1_e26	AA1_2:421;AA1:7	1.10.3.2:1	lignin	394	mRNA_1211	622	2.1599108182802075e-166	2	394	40	500	0.9974619289340102	dbCAN-sub
GH76_e8	GH76:104	3.2.1.101:1	alpha-mannan	373	mRNA_1213	476	3.944352048335065e-173	2	366	28	392	0.9785522788203752	dbCAN-sub
AA4_e0	AA4:39	1.1.3.38:1	lignin	535	mRNA_1260	599	1.337992995375815e-262	2	535	49	582	0.9981308411214952	dbCAN-sub
AA11_e7	AA11:75	1.14.99.53:1	chitin	198	mRNA_127	424	8.837317673091167e-84	1	194	18	211	0.9797979797979798	dbCAN-sub
GH43_e58	GH43_21:7;GH43:2	-	-	230	mRNA_1307	352	8.208457437060608e-104	2	229	79	317	0.991304347826087	dbCAN-sub
GH55_e8	GH55:191;CBM50:9;CBM66:1	3.2.1.58:16	beta-glucan	748	mRNA_1388	785	0.0	3	746	39	780	0.9946524064171124	dbCAN-sub
CBM67_e14	CBM67:7;GH78:7	-	rhamnose	186	mRNA_14	816	1.3049018752791954e-35	1	161	16	173	0.8655913978494624	dbCAN-sub
GH78_e23	GH78:35;CBM67:1;GH79:1	-	-	518	mRNA_14	816	2.1658446581107557e-231	2	512	258	779	0.9864864864864864	dbCAN-sub
AA1_e26	AA1_2:421;AA1:7	1.10.3.2:1	lignin	394	mRNA_1403	567	2.1068859042282347e-139	2	393	40	485	0.9949238578680204	dbCAN-sub
GH3_e16	GH3:401	3.2.1.21:43;3.2.1.-:1	beta-glucan;xyloglucan	222	mRNA_1439	875	1.6615784082464923e-127	1	222	91	312	1.0	dbCAN-sub
GH28_e38	GH28:26	-	pectin	256	mRNA_1481	489	1.103488663219307e-156	1	256	146	401	1.0	dbCAN-sub
PL26_e0	PL26:692	4.2.2.24:1	pectin	860	mRNA_1483	918	0.0	1	857	14	912	0.9965116279069768	dbCAN-sub
AA11_e7	AA11:75	1.14.99.53:1	chitin	198	mRNA_1487	399	2.6682150522969506e-61	1	195	1	201	0.9848484848484848	dbCAN-sub
AA4_e0	AA4:39	1.1.3.38:1	lignin	535	mRNA_1492	641	1.2387619893782104e-222	3	535	53	621	0.9962616822429906	dbCAN-sub
AA9_e7	AA9:29;CBM1:1	1.14.99.54:5;1.14.99.56:1	cellulose;cellulose	209	mRNA_1504	114	4.80616635843516e-29	88	161	27	100	0.354066985645933	dbCAN-sub
