gene_id	contrast	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	shrunk_log2FoldChange	shrunk_lfcSE	mrna_id	eggnog_annotated	eggnog_seed_ortholog	eggnog_evalue	eggnog_score	eggnog_eggnog_ogs	eggnog_max_annot_lvl	eggnog_cog_category	eggnog_description	eggnog_preferred_name	eggnog_gos	eggnog_ec	eggnog_kegg_ko	eggnog_kegg_pathway	eggnog_kegg_module	eggnog_kegg_reaction	eggnog_kegg_rclass	eggnog_brite	eggnog_kegg_tc	eggnog_cazy	eggnog_bigg_reaction	eggnog_pfams	signalp_prediction	signalp_is_sp	signalp_other_score	signalp_sp_score	signalp_cs_position	dbcan_any_hit	dbcan_high_confidence	dbcan_n_tools	dbcan_ec	dbcan_hmm	dbcan_sub	dbcan_diamond	dbcan_recommended	dbcan_substrate	de_significant_padj_lt_0.05	de_significant_raw_lfc1	de_significant_shrunk_lfc1	de_direction	dbcan_any_hit_candidate	high_confidence_cazyme	significant_high_confidence_cazyme	significant_raw_lfc1_high_confidence_cazyme	significant_shrunk_lfc1_high_confidence_cazyme
gene_1322	interaction_vs_self	12434.5333763648	9.6747617639983	0.164948650022777	58.653173352206	0	0	9.67318006986221	0.16490928497821492	mRNA_1322	TRUE	61273.S3CCB5	8.59e-140	402.0	COG1028@1|root,KOG0725@2759|Eukaryota,3A2ME@33154|Opisthokonta,3P33Z@4751|Fungi,3QUY4@4890|Ascomycota,216XZ@147550|Sordariomycetes	4751|Fungi	Q	Belongs to the short-chain dehydrogenases reductases (SDR) family													adh_short,adh_short_C2	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	TRUE	up	FALSE	FALSE	FALSE	FALSE	FALSE
gene_3809	interaction_vs_self	11257.1832101299	5.28800962784066	0.0820541363722832	64.4453754756339	0	0	5.285568982592621	0.08205493736174586	mRNA_3809	TRUE	61273.S3C349	1.01e-18	89.4	29DV7@1|root,2RKZK@2759|Eukaryota,38QNG@33154|Opisthokonta,3PSFS@4751|Fungi,3RBWV@4890|Ascomycota,21I2V@147550|Sordariomycetes,3UW0W@5151|Ophiostomatales	4751|Fungi																SP	TRUE	0.000280	0.999686	CS pos: 26-27. Pr: 0.9674	FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	TRUE	up	FALSE	FALSE	FALSE	FALSE	FALSE
gene_8391	interaction_vs_self	1505.09387311416	-4.94680712878658	0.128245662917689	-38.572899981511	0	0	-4.940259780562302	0.12818111455640555	mRNA_8391	TRUE	61273.S3BMC0	0.0	939.0	COG0477@1|root,KOG2533@2759|Eukaryota,39K3V@33154|Opisthokonta,3NWTF@4751|Fungi,3QJVB@4890|Ascomycota,21654@147550|Sordariomycetes,3UT72@5151|Ophiostomatales	4751|Fungi	G	Major Facilitator Superfamily													MFS_1	OTHER	FALSE	1.000000	0.000025		TRUE	FALSE	1	-	-	-	GH154	-	-	TRUE	TRUE	TRUE	down	TRUE	FALSE	FALSE	FALSE	FALSE
gene_4925	interaction_vs_self	6720.10727881526	-3.98669049034517	0.0833450191668786	-47.8335781813521	0	0	-3.983294307782807	0.0833709499682493	mRNA_4925	TRUE	226899.F0XBC6	0.0	971.0	KOG0254@1|root,KOG0254@2759|Eukaryota,38F5R@33154|Opisthokonta,3NX4D@4751|Fungi,3QPF4@4890|Ascomycota,2134V@147550|Sordariomycetes,3UV6Y@5151|Ophiostomatales	4751|Fungi	P	Sugar (and other) transporter													Sugar_tr	OTHER	FALSE	0.915309	0.084706		FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	TRUE	down	FALSE	FALSE	FALSE	FALSE	FALSE
gene_6950	interaction_vs_self	26829.7452189817	-2.35835159994586	0.0440615488493177	-53.5240285812689	0	0	-2.356138025438902	0.04407805138537443	mRNA_6950	TRUE	61273.S3BVJ5	0.0	1436.0	KOG4091@1|root,KOG4091@2759|Eukaryota,38EMI@33154|Opisthokonta,3NX1W@4751|Fungi,3QPRF@4890|Ascomycota,215QK@147550|Sordariomycetes,3URFV@5151|Ophiostomatales	4751|Fungi	K	CP2 transcription factor													CP2	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	TRUE	down	FALSE	FALSE	FALSE	FALSE	FALSE
gene_4899	interaction_vs_self	11339.2835033494	2.21287219869617	0.0534401177036056	41.408445448593604	0	0	2.210582801213389	0.05345980192158187	mRNA_4899	TRUE	61273.S3C2H9	1.46e-40	166.0	29FGR@1|root,2RNNE@2759|Eukaryota,38SBY@33154|Opisthokonta,3PU36@4751|Fungi,3RDEH@4890|Ascomycota,21J8B@147550|Sordariomycetes,3UUA3@5151|Ophiostomatales	4751|Fungi																SP	TRUE	0.000503	0.999470	CS pos: 18-19. Pr: 0.9737	FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	TRUE	up	FALSE	FALSE	FALSE	FALSE	FALSE
gene_2352	interaction_vs_self	5973.03635894417	2.9301298966644	0.0809179961709491	36.2111030341649	4.0715016604558996e-287	4.97886488764321e-284	2.926128879458891	0.08091117693103357	mRNA_2352	TRUE	61273.S3C7U3	0.0	1106.0	2D2V9@1|root,2SP5N@2759|Eukaryota,39YG7@33154|Opisthokonta,3P44J@4751|Fungi,3QPCA@4890|Ascomycota,213IA@147550|Sordariomycetes,3UPYP@5151|Ophiostomatales	4751|Fungi	S	GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain													Fungal_trans_2,Zn_clus	OTHER	FALSE	1.000000	0.000002		FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	TRUE	up	FALSE	FALSE	FALSE	FALSE	FALSE
gene_3064	interaction_vs_self	5260.92854873376	2.32880211645788	0.0644061092421422	36.1580934458015	2.77602542679593e-286	2.97034720667165e-283	2.3255746448297945	0.06439887374224373	mRNA_3064	TRUE	61273.S3CB08	8.15e-240	664.0	KOG1339@1|root,KOG1339@2759|Eukaryota,39W9B@33154|Opisthokonta,3NWTX@4751|Fungi,3QUAF@4890|Ascomycota,216VU@147550|Sordariomycetes,3UUNW@5151|Ophiostomatales	4751|Fungi	O	Eukaryotic aspartyl protease			3.4.23.25	ko:K01381	ko04138,map04138				ko00000,ko00001,ko01000,ko01002				Asp	SP	TRUE	0.325740	0.674224	CS pos: 30-31. Pr: 0.2090	FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	TRUE	up	FALSE	FALSE	FALSE	FALSE	FALSE
gene_4146	interaction_vs_self	5245.56773993899	-3.27865177833536	0.0909406407313853	-36.052657557358	1.2530343948017899e-284	1.19177493550037e-281	-3.273996186871244	0.09097656325006909	mRNA_4146	TRUE	61273.S3C1V8	0.0	1740.0	KOG2262@1|root,KOG2262@2759|Eukaryota,38D6E@33154|Opisthokonta,3NUA6@4751|Fungi,3QJQX@4890|Ascomycota,21223@147550|Sordariomycetes,3UUW8@5151|Ophiostomatales	4751|Fungi	T	OPT oligopeptide transporter protein	OPT6	GO:0000138,GO:0000322,GO:0000323,GO:0000324,GO:0001558,GO:0003674,GO:0005215,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005773,GO:0005777,GO:0005794,GO:0005795,GO:0005886,GO:0005887,GO:0006810,GO:0006857,GO:0006996,GO:0007033,GO:0008150,GO:0009987,GO:0012505,GO:0015833,GO:0016020,GO:0016021,GO:0016043,GO:0019725,GO:0022603,GO:0022604,GO:0022857,GO:0030307,GO:0031224,GO:0031226,GO:0031984,GO:0031985,GO:0032368,GO:0032879,GO:0033043,GO:0035672,GO:0035673,GO:0040008,GO:0042144,GO:0042579,GO:0042592,GO:0042886,GO:0042887,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043269,GO:0044070,GO:0044088,GO:0044422,GO:0044424,GO:0044425,GO:0044431,GO:0044444,GO:0044446,GO:0044459,GO:0044464,GO:0045454,GO:0045927,GO:0048284,GO:0048518,GO:0048522,GO:0048638,GO:0048639,GO:0050789,GO:0050793,GO:0050794,GO:0051049,GO:0051094,GO:0051128,GO:0051130,GO:0051179,GO:0051234,GO:0051510,GO:0051512,GO:0051513,GO:0051515,GO:0055085,GO:0061024,GO:0061025,GO:0061091,GO:0065007,GO:0065008,GO:0071702,GO:0071705,GO:0071840,GO:0071944,GO:0097035,GO:0097576,GO:0098791,GO:1904680,GO:1905952,GO:2001138											OPT	OTHER	FALSE	1.000000	0.000008		FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	TRUE	down	FALSE	FALSE	FALSE	FALSE	FALSE
gene_2419	interaction_vs_self	10359.0184742219	2.24928494622911	0.0635038623340106	35.4196558061079	8.508265299892929e-275	7.28307509670835e-272	2.246229909230619	0.06352346495761174	mRNA_2419	TRUE	61273.S3BTH1	0.0	1110.0	2ANWM@1|root,2RZFD@2759|Eukaryota,3A1YN@33154|Opisthokonta,3P2SX@4751|Fungi,3QNRN@4890|Ascomycota,214Y1@147550|Sordariomycetes,3UR09@5151|Ophiostomatales	4751|Fungi																OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	TRUE	up	FALSE	FALSE	FALSE	FALSE	FALSE
