gene_id	contrast	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	mrna_id	signalp_prediction	signalp_is_sp	signalp_other_score	signalp_sp_score	signalp_cs_position	dbcan_any_hit	dbcan_high_confidence	dbcan_n_tools	dbcan_ec	dbcan_hmm	dbcan_sub	dbcan_diamond	dbcan_recommended	dbcan_substrate	de_significant_padj_lt_0.05	de_strong_padj_lt_0.05_abs_log2fc_gt_1	de_direction	dbcan_any_hit_candidate	high_confidence_cazyme	significant_high_confidence_cazyme	strong_high_confidence_cazyme
gene_7824	onu_vs_self	1611.20578382321	-2.56024617250812	0.0939679646149834	-27.2459468819854	1.85618016943103e-163	3.05555812506339e-161	mRNA_7824	OTHER	FALSE	1.000000	0.000000		TRUE	TRUE	3	-	GT8(8-290)	GT8_e176(11-289)	GT8	GT8_e176	-	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_928	onu_vs_self	875.034415699132	-2.5256247952948	0.0950962596027538	-26.5586134075631	2.04246651226041e-155	3.17882060817257e-153	mRNA_928	SP	TRUE	0.000237	0.999737	CS pos: 21-22. Pr: 0.7114	TRUE	TRUE	3	-	GH29(334-701)	GH29_e66(334-702)	GH29	GH29_e66	host glycan	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_4913	onu_vs_self	6577.71996839485	-2.88848164760188	0.12120108607474	-23.8321432682596	1.551202901388e-125	1.77043957811751e-123	mRNA_4913	OTHER	FALSE	1.000000	0.000017		TRUE	TRUE	3	-	AA3_2(13-543)	AA3_e4(14-543)	AA3_2+AA3_2	AA3_2	-	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_1575	onu_vs_self	935.456501955207	3.15249843018125	0.13926821110871	22.6361666103435	1.90944695273363e-113	1.85737112674998e-111	mRNA_1575	SP	TRUE	0.000258	0.999676	CS pos: 17-18. Pr: 0.9798	TRUE	TRUE	3	3.2.1.15:80	GH28(54-373)	GH28_e75(56-372)	GH28	GH28_e75	pectin	TRUE	TRUE	up	TRUE	TRUE	TRUE	TRUE
gene_7449	onu_vs_self	5936.90701764868	-2.00587576803014	0.0998341312022665	-20.0920841787684	8.65516105903748e-90	6.79708061150099e-88	mRNA_7449	OTHER	FALSE	1.000000	0.000027		TRUE	TRUE	3	-	GT1(227-456)	GT1_e555(19-455)	GT1	GT1_e555	-	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_5443	onu_vs_self	2337.22131810027	1.4333841927162	0.0748840117538582	19.1413915887372	1.14179453718431e-81	7.94614734820948e-80	mRNA_5443	SP	TRUE	0.000312	0.999658	CS pos: 18-19. Pr: 0.9788	TRUE	TRUE	3	3.2.1.4:38	GH5_5(49-327)	GH5_e137(50-327)	GH5_5+GH5_5	GH5_5	beta-glucan	TRUE	TRUE	up	TRUE	TRUE	TRUE	TRUE
gene_636	onu_vs_self	578.912871531249	2.48067258322893	0.131100651344378	18.92189365797	7.52998370908214e-80	4.92035576715596e-78	mRNA_636	SP	TRUE	0.000721	0.999233	CS pos: 15-16. Pr: 0.9376	TRUE	TRUE	3	3.1.1.-:1	CE12(18-235)	CE12_e43(19-235)	CE12	CE12_e43	xylan	TRUE	TRUE	up	TRUE	TRUE	TRUE	TRUE
gene_5169	onu_vs_self	5197.8786493525	-2.4744939036573	0.135124170505527	-18.3127407509679	6.54889733627793e-75	3.83962747935199e-73	mRNA_5169	SP	TRUE	0.000210	0.999781	CS pos: 19-20. Pr: 0.9781	TRUE	TRUE	3	-	GH125(73-523)	GH125_e2(74-524)	GH125	GH125_e2	alpha-mannan	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_8046	onu_vs_self	5837.15455788318	-1.44151268696442	0.0819418367840919	-17.5919010793309	2.84181819965295e-69	1.5593566531429e-67	mRNA_8046	OTHER	FALSE	1.000000	0.000004		TRUE	TRUE	3	2.4.1.25:2;3.2.1.33:2|2.4.1.25:22;3.2.1.33:21	GH13_25(183-329)+GH13_25(514-732)+GH133(1097-1552)	GH13_e153(182-320)+GH133_e0(1099-1553)	GH13_25+GH133+GH13_25	GH13_25|GH13_25|GH133_e0	alpha-glucan	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_5066	onu_vs_self	497.094405599061	-1.87788039781709	0.109613186168413	-17.1318840685084	8.58296161752882e-66	4.42591273771366e-64	mRNA_5066	SP	TRUE	0.000616	0.999349	CS pos: 24-25. Pr: 0.8808	TRUE	TRUE	3	-	GH76(33-415)	GH76_e9(36-405)	GH76	GH76_e9	-	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_5065	onu_vs_self	1701.16694549723	1.09890555752862	0.0654628025092612	16.7867172715857	3.05269694784936e-63	1.51924917869713e-61	mRNA_5065	SP	TRUE	0.000248	0.999746	CS pos: 24-25. Pr: 0.9343	TRUE	TRUE	3	1.10.3.2:1	AA1(73-249)+AA1(335-626)	AA1_e8(74-626)	AA1	AA1_e8	lignin	TRUE	TRUE	up	TRUE	TRUE	TRUE	TRUE
gene_4724	onu_vs_self	454.526733539346	2.07908374790066	0.125179241716335	16.6088539872451	6.01309912674189e-62	2.95816830602934e-60	mRNA_4724	SP	TRUE	0.000220	0.999748	CS pos: 20-21. Pr: 0.9742	TRUE	TRUE	3	3.2.1.55:10	GH51_2(201-629)	GH51_e35(200-628)	GH51_2+GH51_2	GH51_2	arabinan	TRUE	TRUE	up	TRUE	TRUE	TRUE	TRUE
gene_3262	onu_vs_self	2532.54010022028	1.05660086413424	0.0661431290811043	15.974461426502	1.92509948688432e-57	8.53826508172529e-56	mRNA_3262	SP	TRUE	0.000422	0.999563	CS pos: 18-19. Pr: 0.9745	TRUE	TRUE	3	-	GH17(22-300)	GH17_e53(24-300)	GH17	GH17_e53	-	TRUE	TRUE	up	TRUE	TRUE	TRUE	TRUE
gene_1572	onu_vs_self	683.292807035003	1.468332214584	0.0947245733382855	15.5010697101819	3.4116438225619e-54	1.43155250593774e-52	mRNA_1572	SP	TRUE	0.000415	0.999559	CS pos: 19-20. Pr: 0.9776	TRUE	TRUE	3	-	AA3_2(48-675)	AA3_e44(49-674)	AA3	AA3_2	-	TRUE	TRUE	up	TRUE	TRUE	TRUE	TRUE
gene_3724	onu_vs_self	301.912564723342	1.98209628641632	0.12893340175821	15.3730240526296	2.48303724537035e-53	1.00733643698437e-51	mRNA_3724	OTHER	FALSE	1.000000	0.000000		TRUE	TRUE	3	3.2.1.39:7	GH16_4(175-500)	GH16_e102(176-501)	GH16_4+GH16_4	GH16_4	beta-glucan	TRUE	TRUE	up	TRUE	TRUE	TRUE	TRUE
gene_5612	onu_vs_self	282.538013450813	3.90320557583383	0.258226804973493	15.1154159857049	1.28159204199791e-51	5.0323063667441e-50	mRNA_5612	SP	TRUE	0.000355	0.999612	CS pos: 18-19. Pr: 0.9617	TRUE	TRUE	3	3.2.1.171:11	GH28(63-374)	GH28_e27(65-374)	GH28	GH28_e27	pectin	TRUE	TRUE	up	TRUE	TRUE	TRUE	TRUE
gene_7391	onu_vs_self	435.661625386206	-1.68846505014496	0.117210765685047	-14.4053751400444	4.78711499692884e-47	1.70740434890462e-45	mRNA_7391	SP	TRUE	0.000410	0.999587	CS pos: 22-23. Pr: 0.9751	TRUE	TRUE	2	3.2.1.96:4	-	GH18_e82(66-277)	GH18	GH18_e82	host glycan	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_648	onu_vs_self	134.216300760858	-2.68102436819974	0.195773114873919	-13.6945482525849	1.09438867236929e-42	3.43148975658648e-41	mRNA_648	SP	TRUE	0.000210	0.999765	CS pos: 17-18. Pr: 0.9719	TRUE	TRUE	3	3.2.1.4:2;3.2.1.132:6;3.2.1.176:83	GH7(19-452)	GH7_e0(20-452)	GH7	GH7_e0	cellulose;chitosan	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_7976	onu_vs_self	7621.68050997381	1.93640655491008	0.146096241866134	13.2543214676554	4.25952005072278e-40	1.19545874210449e-38	mRNA_7976	OTHER	FALSE	1.000000	0.000000		TRUE	TRUE	3	3.2.1.39:7	GH16_4(177-503)	GH16_e102(178-504)	GH16_4+GH16_4	GH16_4	beta-glucan	TRUE	TRUE	up	TRUE	TRUE	TRUE	TRUE
gene_8563	onu_vs_self	3365.94265863664	-1.57897925533228	0.121498399099273	-12.99588527123	1.29105108125675e-38	3.46438785440684e-37	mRNA_8563	OTHER	FALSE	0.998909	0.001134		TRUE	TRUE	3	3.2.1.26:2	GH32(62-410)	GH32_e120(63-412)	GH32	GH32_e120	fructan	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_3030	onu_vs_self	1802.43760007641	-1.24113355111894	0.101447301797252	-12.2342687201224	2.03933212682495e-34	4.82228812309987e-33	mRNA_3030	OTHER	FALSE	1.000000	0.000005		TRUE	TRUE	3	3.2.1.39:20	GH81(34-729)	GH81_e0(40-730)	GH81	GH81_e0	beta-glucan	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_7144	onu_vs_self	129.184435296324	-2.21407650628739	0.22948471618948	-9.64803470597701	5.01067681582354e-22	7.44642249018221e-21	mRNA_7144	OTHER	FALSE	1.000000	0.000000		TRUE	TRUE	3	-	GH64(2-249)	GH64_e2(1-250)	GH64	GH64_e2	beta-glucan	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_6194	onu_vs_self	7026.27317674428	1.05722482190159	0.110181932245624	9.59526485290495	8.37018507701691e-22	1.22896713995308e-20	mRNA_6194	OTHER	FALSE	0.999952	0.000064		TRUE	TRUE	3	-	GT2(69-307)	GT2(70-308)	GT2	GT2	-	TRUE	TRUE	up	TRUE	TRUE	TRUE	TRUE
gene_7977	onu_vs_self	4849.69656192265	1.45038323779906	0.155886986484336	9.3040687392132	1.35171648999105e-20	1.85427774909029e-19	mRNA_7977	OTHER	FALSE	0.998870	0.001174		TRUE	TRUE	3	-	GH128(6-179)	GH128_e8(2-186)	GH128	GH128_e8	beta-glucan	TRUE	TRUE	up	TRUE	TRUE	TRUE	TRUE
gene_6609	onu_vs_self	2355.63047204195	-1.61056227399441	0.175073571924481	-9.19934548824497	3.60136633663182e-20	4.81682747524506e-19	mRNA_6609	OTHER	FALSE	1.000000	0.000000		TRUE	TRUE	2	-	CE1(23-291)	CE1_e38(27-248)	-	CE1_e38	-	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_3958	onu_vs_self	319.730503704071	-1.03597163309483	0.120037786629634	-8.63037933456092	6.11488321801887e-18	7.17032881455364e-17	mRNA_3958	SP	TRUE	0.000322	0.999657	CS pos: 22-23. Pr: 0.7603	TRUE	TRUE	3	3.2.1.101:1	GH76(30-400)	GH76_e8(32-402)	GH76	GH76_e8	alpha-mannan	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_3725	onu_vs_self	111.034533380154	1.94530422129129	0.225979215315987	8.60833249009722	7.4130982387671e-18	8.6452480822679e-17	mRNA_3725	OTHER	FALSE	1.000000	0.000000		TRUE	TRUE	2	-	GT2(531-736)	-	GT0	GT2	-	TRUE	TRUE	up	TRUE	TRUE	TRUE	TRUE
gene_4069	onu_vs_self	196.793354204685	-1.29041702703419	0.160259784486086	-8.05203271158913	8.14301347258333e-16	8.32786085129191e-15	mRNA_4069	OTHER	FALSE	0.999615	0.000395		TRUE	TRUE	3	-	GT69(150-426)	GT69_e6(151-426)	GT69	GT69_e6	-	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_2751	onu_vs_self	272.937434103413	1.0491548300808	0.131147977076382	7.99977897844172	1.24642741210481e-15	1.25227918399263e-14	mRNA_2751	SP	TRUE	0.000242	0.999747	CS pos: 22-23. Pr: 0.9788	TRUE	TRUE	3	-	GH16_3(55-328)	GH16_e177(56-328)	GH16_3+GH16_3	GH16_3	-	TRUE	TRUE	up	TRUE	TRUE	TRUE	TRUE
gene_5659	onu_vs_self	2849.55633332275	-1.04926998406777	0.132362613245397	-7.92723835183318	2.24072964792683e-15	2.21741569783279e-14	mRNA_5659	SP	TRUE	0.000320	0.999622	CS pos: 21-22. Pr: 0.9787	TRUE	TRUE	3	3.2.1.21:10;3.2.1.37:4	GH3(89-302)	GH3_e32(89-303)	GH3	GH3_e32	beta-glucan;xylan	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
