gene_id	in_deseq2_dataset	padj_available	deseq2_status	regulation	significant_padj_lt_0.05	significant_raw_abs_lfc_gt_1	significant_shrunk_abs_lfc_gt_1	raw_baseMean	raw_log2FoldChange	raw_lfcSE	raw_stat	raw_pvalue	raw_padj	shrunk_log2FoldChange	shrunk_lfcSE	mapped_transcript_count	transcript_ids	protein_coding_transcript_count	protein_coding_transcript_ids	has_predicted_protein	predicted_protein_count	protein_ids	eggnog_annotated_protein_count	eggnog_annotated	signalp_raw_positive_protein_count	signalp_raw_positive	signalp_confident_positive_protein_count	signalp_confident_positive	signalp_ambiguous_protein_count	dbcan_any_hit_protein_count	dbcan_any_hit	dbcan_high_confidence_protein_count	dbcan_high_confidence	dbcan_max_n_tools	eggnog_seed_ortholog	eggnog_evalue	eggnog_score	eggnog_eggnog_ogs	eggnog_max_annot_lvl	eggnog_cog_category	eggnog_description	eggnog_preferred_name	eggnog_gos	eggnog_ec	eggnog_kegg_ko	eggnog_kegg_pathway	eggnog_kegg_module	eggnog_kegg_reaction	eggnog_kegg_rclass	eggnog_brite	eggnog_kegg_tc	eggnog_cazy	eggnog_bigg_reaction	eggnog_pfams	dbcan_ec	dbcan_hmm	dbcan_sub	dbcan_diamond	dbcan_recommended	dbcan_substrate
TRINITY_DN101_c0_g1	TRUE	TRUE	significant	upregulated	TRUE	TRUE	TRUE	787.899718417596	1.38881631052035	0.0968523411400364	14.3395223509599	1.23905282264966e-46	1.85857923397449e-44	1.37568665816658	0.0975593239235353	2	TRINITY_DN101_c0_g1_i1; TRINITY_DN101_c0_g1_i2	2	TRINITY_DN101_c0_g1_i1; TRINITY_DN101_c0_g1_i2	TRUE	2	TRINITY_DN101_c0_g1_i1|m.43296; TRINITY_DN101_c0_g1_i2|m.43297	2	TRUE	2	TRUE	2	TRUE	0	0	FALSE	0	FALSE	0	5518.FGSG_10631P0	1.54e-86	270.0	COG0277@1|root,KOG1231@2759|Eukaryota,38FTW@33154|Opisthokonta,3NZDT@4751|Fungi,3QNW4@4890|Ascomycota,2148Z@147550|Sordariomycetes,3TIBV@5125|Hypocreales,1FQWA@110618|Nectriaceae	4751|Fungi	C	FAD binding domain													FAD_binding_4						
TRINITY_DN210_c0_g2	TRUE	TRUE	significant	upregulated	TRUE	TRUE	TRUE	18566.1819988709	1.2693512127094	0.348044740042879	3.64709207371735	0.000265224904804864	0.00144931641969871	1.08092055143191	0.382527687795888	1	TRINITY_DN210_c0_g2_i1	0		FALSE	0		0	FALSE	0	FALSE	0	FALSE	0	0	FALSE	0	FALSE	0																										
TRINITY_DN538_c0_g2	TRUE	TRUE	significant	downregulated	TRUE	TRUE	TRUE	3018.64713338566	-1.01970840008026	0.0592337684254233	-17.2149844115372	2.05002938609475e-66	5.27150413567221e-64	-1.01315642853346	0.0594468000721398	1	TRINITY_DN538_c0_g2_i3	1	TRINITY_DN538_c0_g2_i3	TRUE	3	TRINITY_DN538_c0_g2_i3|m.15132; TRINITY_DN538_c0_g2_i3|m.15133; TRINITY_DN538_c0_g2_i3|m.15134	1	TRUE	1	TRUE	1	TRUE	0	0	FALSE	0	FALSE	0	5507.FOXG_02983P0	1.34e-123	377.0	2CMI8@1|root,2QQEE@2759|Eukaryota,39KDJ@33154|Opisthokonta,3Q4S3@4751|Fungi,3RN1Z@4890|Ascomycota,21R95@147550|Sordariomycetes,3TUG0@5125|Hypocreales,1FUCK@110618|Nectriaceae	4751|Fungi	S	WSC domain													WSC						
TRINITY_DN538_c0_g3	TRUE	TRUE	significant	downregulated	TRUE	TRUE	TRUE	573.097066654473	-1.6539861394318	0.103384224439927	-15.9984383342051	1.31020511526255e-57	2.80758238984832e-55	-1.64119311473834	0.10378672933889	5	TRINITY_DN538_c0_g3_i1; TRINITY_DN538_c0_g3_i2; TRINITY_DN538_c0_g3_i3; TRINITY_DN538_c0_g3_i5; TRINITY_DN538_c0_g3_i7	5	TRINITY_DN538_c0_g3_i1; TRINITY_DN538_c0_g3_i2; TRINITY_DN538_c0_g3_i3; TRINITY_DN538_c0_g3_i5; TRINITY_DN538_c0_g3_i7	TRUE	10	TRINITY_DN538_c0_g3_i1|m.15137; TRINITY_DN538_c0_g3_i1|m.15138; TRINITY_DN538_c0_g3_i2|m.15141; TRINITY_DN538_c0_g3_i2|m.15142; TRINITY_DN538_c0_g3_i3|m.15146; TRINITY_DN538_c0_g3_i3|m.15147; TRINITY_DN538_c0_g3_i5|m.15150; TRINITY_DN538_c0_g3_i5|m.15151; TRINITY_DN538_c0_g3_i7|m.15154; TRINITY_DN538_c0_g3_i7|m.15155	5	TRUE	0	FALSE	0	FALSE	0	0	FALSE	0	FALSE	0	101028.EKJ73167	1.84e-127; 2.24e-127; 2.72e-127; 3.3e-127; 4e-127	388.0	2CMI8@1|root,2QQEE@2759|Eukaryota,39KDJ@33154|Opisthokonta,3Q4S3@4751|Fungi,3RN1Z@4890|Ascomycota,21R95@147550|Sordariomycetes,3TUG0@5125|Hypocreales,1FUCK@110618|Nectriaceae	4751|Fungi	S	WSC domain													WSC						
TRINITY_DN673_c0_g2	TRUE	TRUE	significant	upregulated	TRUE	TRUE	TRUE	4867.51819567125	1.14458390324666	0.0535230792581139	21.3848664746459	1.84815456968823e-101	1.03958694544963e-98	1.13984104432823	0.053677842826344	1	TRINITY_DN673_c0_g2_i1	1	TRINITY_DN673_c0_g2_i1	TRUE	1	TRINITY_DN673_c0_g2_i1|m.46459	1	TRUE	0	FALSE	0	FALSE	0	1	TRUE	0	FALSE	1	5127.CCT73227	0.0	1056.0	COG0531@1|root,KOG1286@2759|Eukaryota,38DMK@33154|Opisthokonta,3NUN0@4751|Fungi,3QSJD@4890|Ascomycota,214KP@147550|Sordariomycetes,3TG55@5125|Hypocreales,1FKRI@110618|Nectriaceae	4751|Fungi	E	Amino acid permease				ko:K16261					ko00000,ko02000	2.A.3.10			AA_permease				GH47		
TRINITY_DN738_c0_g1	TRUE	TRUE	significant	upregulated	TRUE	TRUE	TRUE	1198.998608705	1.42977036350157	0.246652563326185	5.79669776879948	6.76334167475054e-09	8.70816524645993e-08	1.34292705340436	0.254720293567062	3	TRINITY_DN738_c0_g1_i1; TRINITY_DN738_c0_g1_i2; TRINITY_DN738_c0_g1_i3	3	TRINITY_DN738_c0_g1_i1; TRINITY_DN738_c0_g1_i2; TRINITY_DN738_c0_g1_i3	TRUE	3	TRINITY_DN738_c0_g1_i1|m.30926; TRINITY_DN738_c0_g1_i2|m.30927; TRINITY_DN738_c0_g1_i3|m.30928	3	TRUE	0	FALSE	0	FALSE	0	0	FALSE	0	FALSE	0	5127.CCT61639; 101028.EKJ68457	2.05e-20; 2.82e-28; 8.93e-19	83.6; 87.8; 114.0	2C9C5@1|root,2SF70@2759|Eukaryota,3A9DP@33154|Opisthokonta,3P1Y9@4751|Fungi,3QY1Y@4890|Ascomycota,21BDW@147550|Sordariomycetes,3TN9K@5125|Hypocreales,1FV04@110618|Nectriaceae	4751|Fungi																					
TRINITY_DN1008_c0_g1	TRUE	TRUE	significant	upregulated	TRUE	TRUE	TRUE	527.402723167333	1.28894034040691	0.11067684207972	11.645980461554	2.40539257503054e-31	1.77446993239958e-29	1.27059732687877	0.111334058477587	2	TRINITY_DN1008_c0_g1_i1; TRINITY_DN1008_c0_g1_i2	1	TRINITY_DN1008_c0_g1_i1	TRUE	1	TRINITY_DN1008_c0_g1_i1|m.74504	1	TRUE	0	FALSE	0	FALSE	0	0	FALSE	0	FALSE	0	92637.XP_007815271.1	3.75e-09	63.5	KOG1414@1|root,KOG1414@2759|Eukaryota,3A9HT@33154|Opisthokonta,3P7HQ@4751|Fungi,3QYS6@4890|Ascomycota,21CGB@147550|Sordariomycetes,3TJIH@5125|Hypocreales,3G6VY@34397|Clavicipitaceae	4751|Fungi	K	bZIP transcription factor		GO:0000003,GO:0000976,GO:0000977,GO:0000978,GO:0000981,GO:0000982,GO:0000987,GO:0001012,GO:0001067,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003700,GO:0005488,GO:0006355,GO:0006357,GO:0007049,GO:0008150,GO:0009889,GO:0009987,GO:0010468,GO:0010556,GO:0010672,GO:0019219,GO:0019222,GO:0022414,GO:0031323,GO:0031326,GO:0043565,GO:0044212,GO:0050789,GO:0050794,GO:0051037,GO:0051171,GO:0051252,GO:0051321,GO:0060255,GO:0065007,GO:0080090,GO:0097159,GO:0140110,GO:1901363,GO:1903506,GO:1990837,GO:2000112,GO:2001141		ko:K04450,ko:K09047	ko04010,ko04013,ko04022,ko04024,ko04151,ko04152,ko04211,ko04261,ko04624,ko04668,ko04714,ko04725,ko04728,ko04911,ko04915,ko04918,ko04922,ko04925,ko04926,ko04927,ko04931,ko04934,ko04962,ko05016,ko05030,ko05031,ko05034,ko05161,ko05164,ko05165,ko05166,ko05169,ko05203,ko05215,map04010,map04013,map04022,map04024,map04151,map04152,map04211,map04261,map04624,map04668,map04714,map04725,map04728,map04911,map04915,map04918,map04922,map04925,map04926,map04927,map04931,map04934,map04962,map05016,map05030,map05031,map05034,map05161,map05164,map05165,map05166,map05169,map05203,map05215				ko00000,ko00001,ko03000				bZIP_1,bZIP_2						
TRINITY_DN1248_c0_g1	TRUE	TRUE	significant	upregulated	TRUE	TRUE	TRUE	13320.6351126226	1.30901681411175	0.0444313032070132	29.4615894567127	8.94503468854946e-191	1.15007588852779e-187	1.30657944740082	0.0444938475176672	5	TRINITY_DN1248_c0_g1_i1; TRINITY_DN1248_c0_g1_i6; TRINITY_DN1248_c0_g1_i7; TRINITY_DN1248_c0_g1_i10; TRINITY_DN1248_c0_g1_i11	5	TRINITY_DN1248_c0_g1_i1; TRINITY_DN1248_c0_g1_i6; TRINITY_DN1248_c0_g1_i7; TRINITY_DN1248_c0_g1_i10; TRINITY_DN1248_c0_g1_i11	TRUE	6	TRINITY_DN1248_c0_g1_i1|m.48330; TRINITY_DN1248_c0_g1_i6|m.48345; TRINITY_DN1248_c0_g1_i6|m.48349; TRINITY_DN1248_c0_g1_i7|m.48350; TRINITY_DN1248_c0_g1_i10|m.48335; TRINITY_DN1248_c0_g1_i11|m.48340	6	TRUE	0	FALSE	0	FALSE	0	5	TRUE	0	FALSE	1	5507.FOXG_15707P0	0.0; 2.77e-281; 3.47e-64; 3.91e-302; 5e-285	211.0; 778.0; 786.0; 831.0; 1064.0	COG2072@1|root,KOG1399@2759|Eukaryota,38D94@33154|Opisthokonta,3NZ5U@4751|Fungi,3QK71@4890|Ascomycota,211Y1@147550|Sordariomycetes,3TDHR@5125|Hypocreales,1FT8A@110618|Nectriaceae	4751|Fungi	Q	L-lysine 6-monooxygenase (NADPH-requiring)													FMO-like,Pyr_redox_2				GH53		
TRINITY_DN1259_c0_g1	TRUE	TRUE	significant	downregulated	TRUE	TRUE	TRUE	525.490413064163	-1.17546801125944	0.108954545599061	-10.7886091837325	3.89641493838951e-27	2.2624344803552e-25	-1.15571468540637	0.109870947979616	3	TRINITY_DN1259_c0_g1_i1; TRINITY_DN1259_c0_g1_i2; TRINITY_DN1259_c0_g1_i3	3	TRINITY_DN1259_c0_g1_i1; TRINITY_DN1259_c0_g1_i2; TRINITY_DN1259_c0_g1_i3	TRUE	3	TRINITY_DN1259_c0_g1_i1|m.48529; TRINITY_DN1259_c0_g1_i2|m.48532; TRINITY_DN1259_c0_g1_i3|m.48535	3	TRUE	0	FALSE	0	FALSE	0	0	FALSE	0	FALSE	0	5507.FOXG_02290P0	1.11e-97	306.0	2CYEP@1|root,2S3WG@2759|Eukaryota,3A65W@33154|Opisthokonta,3P5BD@4751|Fungi,3QWSF@4890|Ascomycota,216IK@147550|Sordariomycetes,3TD5J@5125|Hypocreales,1FRT2@110618|Nectriaceae	4751|Fungi															bZIP_2						
TRINITY_DN1317_c0_g1	TRUE	TRUE	significant	upregulated	TRUE	TRUE	TRUE	2231.97127258892	1.04860194227971	0.0780020510573902	13.4432611458922	3.37240298899553e-41	3.79395336261997e-39	1.03764450349482	0.0784006664873929	4	TRINITY_DN1317_c0_g1_i1; TRINITY_DN1317_c0_g1_i2; TRINITY_DN1317_c0_g1_i4; TRINITY_DN1317_c0_g1_i5	4	TRINITY_DN1317_c0_g1_i1; TRINITY_DN1317_c0_g1_i2; TRINITY_DN1317_c0_g1_i4; TRINITY_DN1317_c0_g1_i5	TRUE	8	TRINITY_DN1317_c0_g1_i1|m.25768; TRINITY_DN1317_c0_g1_i1|m.25769; TRINITY_DN1317_c0_g1_i2|m.25770; TRINITY_DN1317_c0_g1_i2|m.25771; TRINITY_DN1317_c0_g1_i4|m.25772; TRINITY_DN1317_c0_g1_i5|m.25773; TRINITY_DN1317_c0_g1_i5|m.25774; TRINITY_DN1317_c0_g1_i5|m.25775	4	TRUE	0	FALSE	0	FALSE	0	0	FALSE	0	FALSE	0	5127.CCT70220; 101028.EKJ68252; 117187.FVEG_02005T0	1.62e-160; 1.64e-307; 6.04e-93	288.0; 462.0; 847.0	KOG2662@1|root,KOG2662@2759|Eukaryota,38EKJ@33154|Opisthokonta,3NWQA@4751|Fungi,3QJBT@4890|Ascomycota,21504@147550|Sordariomycetes,3THMH@5125|Hypocreales,1FPBV@110618|Nectriaceae	4751|Fungi	P	Inner membrane magnesium transporter MRS2	MRS2	GO:0003674,GO:0005215,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0006810,GO:0006811,GO:0006812,GO:0006839,GO:0008150,GO:0008324,GO:0015075,GO:0015095,GO:0015318,GO:0015693,GO:0016020,GO:0016021,GO:0019866,GO:0022857,GO:0022890,GO:0030001,GO:0031090,GO:0031224,GO:0031966,GO:0031967,GO:0031975,GO:0034220,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0045016,GO:0046873,GO:0051179,GO:0051234,GO:0055085,GO:0070838,GO:0072511,GO:0098655,GO:0098660,GO:0098662,GO:1903830,GO:1990542		ko:K16075					ko00000,ko02000	1.A.35.5			CorA						
