gene_id	contrast	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	mrna_id	signalp_prediction	signalp_is_sp	signalp_other_score	signalp_sp_score	signalp_cs_position	dbcan_any_hit	dbcan_high_confidence	dbcan_n_tools	dbcan_ec	dbcan_hmm	dbcan_sub	dbcan_diamond	dbcan_recommended	dbcan_substrate	de_significant_padj_lt_0.05	de_strong_padj_lt_0.05_abs_log2fc_gt_1	de_direction	signalp_positive_candidate	significant_signalp_candidate	strong_signalp_candidate
gene_3809	onu_vs_self	11257.1832101299	4.29456354574599	0.0820004420658637	52.3724438253217	0	0	mRNA_3809	SP	TRUE	0.000280	0.999686	CS pos: 26-27. Pr: 0.9674	FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	up	TRUE	TRUE	TRUE
gene_6610	onu_vs_self	3143.83033228001	-2.400887155948	0.0716636579359644	-33.5021575104822	4.48331971034178e-246	1.82748651050122e-243	mRNA_6610	SP	TRUE	0.000224	0.999758	CS pos: 21-22. Pr: 0.9656	FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	down	TRUE	TRUE	TRUE
gene_4768	onu_vs_self	2385.86425596015	-2.94392436866326	0.0921362900435449	-31.9518440266253	5.09313783258779e-224	1.74389039387806e-221	mRNA_4768	SP	TRUE	0.000214	0.999769	CS pos: 19-20. Pr: 0.9348	FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	down	TRUE	TRUE	TRUE
gene_3064	onu_vs_self	5260.92854873376	1.95450224925416	0.0639382478342363	30.5685925945503	3.20171209495134e-205	8.06078103905397e-203	mRNA_3064	SP	TRUE	0.325740	0.674224	CS pos: 30-31. Pr: 0.2090	FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	up	TRUE	TRUE	TRUE
gene_3680	onu_vs_self	1077.78914789656	-3.69479231847346	0.136592424581589	-27.0497601151117	3.84436053521953e-161	6.20900493990173e-159	mRNA_3680	SP	TRUE	0.000198	0.999776	CS pos: 17-18. Pr: 0.9705	FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	down	TRUE	TRUE	TRUE
gene_928	onu_vs_self	875.034415699132	-2.5256247952948	0.0950962596027538	-26.5586134075631	2.04246651226041e-155	3.17882060817257e-153	mRNA_928	SP	TRUE	0.000237	0.999737	CS pos: 21-22. Pr: 0.7114	TRUE	TRUE	3	-	GH29(334-701)	GH29_e66(334-702)	GH29	GH29_e66	host glycan	TRUE	TRUE	down	TRUE	TRUE	TRUE
gene_6970	onu_vs_self	1367.77174959765	2.52843696685651	0.103644699295964	24.3952366501291	1.92131340348661e-131	2.41859451968315e-129	mRNA_6970	SP	TRUE	0.000289	0.999688	CS pos: 18-19. Pr: 0.9644	FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	up	TRUE	TRUE	TRUE
gene_1514	onu_vs_self	1870.32807449344	1.78713223829056	0.0788230929578395	22.6726987133892	8.33262317669533e-114	8.19853498764506e-112	mRNA_1514	SP	TRUE	0.168104	0.831881	CS pos: 36-37. Pr: 0.6060	TRUE	FALSE	1	-	-	-	CBM1+AA9	-	-	TRUE	TRUE	up	TRUE	TRUE	TRUE
gene_1575	onu_vs_self	935.456501955207	3.15249843018125	0.13926821110871	22.6361666103435	1.90944695273363e-113	1.85737112674998e-111	mRNA_1575	SP	TRUE	0.000258	0.999676	CS pos: 17-18. Pr: 0.9798	TRUE	TRUE	3	3.2.1.15:80	GH28(54-373)	GH28_e75(56-372)	GH28	GH28_e75	pectin	TRUE	TRUE	up	TRUE	TRUE	TRUE
gene_6022	onu_vs_self	964.993399145179	-2.1728091105196	0.108871597864973	-19.9575385420025	1.28907186730547e-88	1.0031322894668e-86	mRNA_6022	SP	TRUE	0.000262	0.999720	CS pos: 20-21. Pr: 0.9743	FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	down	TRUE	TRUE	TRUE
