gene_id	contrast	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	protein_id	transcript_id	jgi_name	portal_id	seqid	start	end	strand	source	gff3_line	go_count	go_ids	go_names	go_types	kegg_count	kegg_ecnum	kegg_definition	kegg_catalyticactivity	kegg_cofactors	kegg_associateddiseases	kegg_pathway	kegg_pathway_class	kegg_pathway_type	has_go	has_kegg
gene_1	interaction_vs_self	1029.21093673536	-0.911002559335106	0.162723191861569	-5.59848014848498	2.16239157863032e-08	8.18667488415548e-08	1978561	1978815	jgi.p|Ophnu1|1978561	Ophnu1	OphioH327chr_1	43034	44999	-	prediction	3	6	GO:0003677; GO:0003700; GO:0005634; GO:0006350; GO:0006355; GO:0008270	DNA binding; nucleus; regulation of transcription, DNA-dependent; transcription; transcription factor activity; zinc ion binding	biological_process; cellular_component; molecular_function	0									yes	no
gene_2	interaction_vs_self	220.107912912225	-0.709141897969102	0.276044252984253	-2.5689428064621	0.0102009291921485	0.018260132556418	1978562	1978816	jgi.p|Ophnu1|1978562	Ophnu1	OphioH327chr_1	45408	46946	+	prediction	15	2	GO:0004040; GO:0016884	amidase activity; carbon-nitrogen ligase activity, with glutamine as amido-N-donor	molecular_function	6	3.5.1.4	Amidase.	A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).	\N	\N	Arginine and proline metabolism; Benzoate degradation via CoA ligation; Cyanoamino acid metabolism; Phenylalanine metabolism; Styrene degradation; Tryptophan metabolism	Amino Acid Metabolism; Biodegradation of Xenobiotics; Metabolism of Other Amino Acids	METABOLIC	yes	yes
gene_3	interaction_vs_self	596.514151919306	-0.385227406731243	0.178115014452175	-2.16280142309215	0.0305564561113421	0.0499357129272793	1978563	1978817	jgi.p|Ophnu1|1978563	Ophnu1	OphioH327chr_1	47942	50354	-	prediction	19	6	GO:0003677; GO:0003700; GO:0005634; GO:0006350; GO:0006355; GO:0008270	DNA binding; nucleus; regulation of transcription, DNA-dependent; transcription; transcription factor activity; zinc ion binding	biological_process; cellular_component; molecular_function	0									yes	no
gene_4	interaction_vs_self	78.8179022753935	-1.57663226588487	0.374782972919938	-4.20678734042082	2.59026677430305e-05	6.91168441023508e-05	1978564	1978818	jgi.p|Ophnu1|1978564	Ophnu1	OphioH327chr_1	50768	52511	-	prediction	31	0				0									no	no
gene_5	interaction_vs_self	101.080783046542	-0.521420305417318	0.263982092653264	-1.97521089471094	0.0482442200674521	0.0752045481472467	1978565	1978819	jgi.p|Ophnu1|1978565	Ophnu1	OphioH327chr_1	53258	54753	+	prediction	43	1	GO:0016491	oxidoreductase activity	molecular_function	0									yes	no
gene_6	interaction_vs_self	12926.530433202	-0.257961707047966	0.155933854579981	-1.65430212536466	0.098066141373277	0.141079149762996	1978566	1978820	jgi.p|Ophnu1|1978566	Ophnu1	OphioH327chr_1	56977	58501	+	prediction	51	0				0									no	no
gene_7	interaction_vs_self	46.3291310521539	1.50295512222575	0.427403458206108	3.51647861843218	0.00043731188008584	0.000995582365301807	1978567	1978821	jgi.p|Ophnu1|1978567	Ophnu1	OphioH327chr_1	58703	60412	-	prediction	57	3	GO:0004396; GO:0005524; GO:0006096	ATP binding; glycolysis; hexokinase activity	biological_process; molecular_function	6	2.7.1.1	Hexokinase.	ATP + D-hexose = ADP + D-hexose 6-phosphate.	\N	Hemolytic anemia due to hexokinase deficiency; MIM:235700.	Aminosugars metabolism; Erythromycin biosynthesis; Fructose and mannose metabolism; Galactose metabolism; Glycolysis / Gluconeogenesis; Starch and sucrose metabolism	Biosynthesis of Secondary Metabolites; Carbohydrate Metabolism; Metabolism of Complex Carbohydrates	METABOLIC	yes	yes
gene_8	interaction_vs_self	1111.62069404125	0.466905868082468	0.13550647002866	3.44563523781347	0.000569718812796423	0.00127397937239743	1978568	1978822	jgi.p|Ophnu1|1978568	Ophnu1	OphioH327chr_1	61487	63500	+	prediction	61	4	GO:0003700; GO:0005634; GO:0006355; GO:0008270	nucleus; regulation of transcription, DNA-dependent; transcription factor activity; zinc ion binding	biological_process; cellular_component; molecular_function	0									yes	no
gene_9	interaction_vs_self	83.7622432437479	-0.255597856870212	0.275169007440261	-0.928875890667674	0.352953408779167	0.432087712611997	1978569	1978823	jgi.p|Ophnu1|1978569	Ophnu1	OphioH327chr_1	63574	64697	-	prediction	69	3	GO:0004342; GO:0005975; GO:0006044	carbohydrate metabolic process; glucosamine-6-phosphate deaminase activity; N-acetylglucosamine metabolic process	biological_process; molecular_function	1	3.5.99.6	Glucosamine-6-phosphate deaminase.	D-glucosamine 6-phosphate + H(2)O = D-fructose 6-phosphate + NH(3).	\N	\N	Aminosugars metabolism	Metabolism of Complex Carbohydrates	METABOLIC	yes	yes
gene_10	interaction_vs_self	204.739190306532	0.347266879967106	0.219661785984148	1.58091621813621	0.113897195554505	0.161310389468326	1978570	1978824	jgi.p|Ophnu1|1978570	Ophnu1	OphioH327chr_1	65474	67209	-	prediction	77	3	GO:0006865; GO:0015171; GO:0016020	amino acid transmembrane transporter activity; amino acid transport; membrane	biological_process; cellular_component; molecular_function	0									yes	no
gene_11	interaction_vs_self	358.002816578833	-0.643695109926258	0.204899724736373	-3.14151280951912	0.00168077456264129	0.00347019543082717	1978571	1978825	jgi.p|Ophnu1|1978571	Ophnu1	OphioH327chr_1	68430	70198	+	prediction	87	0				0									no	no
gene_12	interaction_vs_self	63.3328414562614	0.154116196082722	0.295356629311855	0.521796976224282	0.601811695234959	0.671997299324687	1978572	1978826	jgi.p|Ophnu1|1978572	Ophnu1	OphioH327chr_1	70917	72295	-	prediction	95	0				0									no	no
gene_13	interaction_vs_self	246.540786874651	-0.557816262948601	0.223706960601799	-2.49351321679043	0.0126485875211467	0.0222598497493864	1978573	1978827	jgi.p|Ophnu1|1978573	Ophnu1	OphioH327chr_1	72921	74625	+	prediction	101	6	GO:0005215; GO:0005351; GO:0006810; GO:0008643; GO:0016020; GO:0016021	carbohydrate transport; integral to membrane; membrane; sugar:hydrogen symporter activity; transport; transporter activity	biological_process; cellular_component; molecular_function	0									yes	no
gene_14	interaction_vs_self	1337.977212241	-1.04988331039282	0.18250107808465	-5.75275127912311	8.78026188693701e-09	3.46834525852242e-08	1978574	1978828	jgi.p|Ophnu1|1978574	Ophnu1	OphioH327chr_1	76905	79722	+	prediction	111	1	GO:0003824	catalytic activity	molecular_function	0									yes	no
gene_15	interaction_vs_self	125.0330330668	-1.08457938315747	0.241031844173023	-4.4997348249923	6.80382828645089e-06	1.95570081034317e-05	1978575	1978829	jgi.p|Ophnu1|1978575	Ophnu1	OphioH327chr_1	80724	81497	-	prediction	119	0				0									no	no
gene_16	interaction_vs_self	0.681391273339703	2.05276755750369	3.13127012210648	0.655570256622493	0.512100668183551	0.590142934794183	1978576	1978830	jgi.p|Ophnu1|1978576	Ophnu1	OphioH327chr_1	82522	82930	+	prediction	123	0				0									no	no
gene_17	interaction_vs_self	5985.56051556044	0.455550285821505	0.0989420062168367	4.60421516846083	4.14024234757502e-06	1.21914256949577e-05	1978577	1978831	jgi.p|Ophnu1|1978577	Ophnu1	OphioH327chr_1	83705	84516	+	prediction	129	0				0									no	no
