gene_id	contrast	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	mrna_id	signalp_prediction	signalp_is_sp	signalp_other_score	signalp_sp_score	signalp_cs_position	dbcan_any_hit	dbcan_high_confidence	dbcan_n_tools	dbcan_ec	dbcan_hmm	dbcan_sub	dbcan_diamond	dbcan_recommended	dbcan_substrate	de_significant_padj_lt_0.05	de_strong_padj_lt_0.05_abs_log2fc_gt_1	de_direction	dbcan_any_hit_candidate	high_confidence_cazyme	significant_high_confidence_cazyme	strong_high_confidence_cazyme
gene_1109	interaction_vs_self	27494.895952857	-3.05514787792985	0.0909583652042198	-33.5884211536831	2.4759966283837e-247	1.11550163889286e-244	mRNA_1109	SP	TRUE	0.000358	0.999610	CS pos: 18-19. Pr: 0.9816	TRUE	TRUE	3	3.2.1.20:20	GH31_1(349-910)	GH31_e82(350-911)	GH31_1+GH31_1	GH31_1	alpha-glucan	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_2947	interaction_vs_self	1030.53678945043	-3.77128107430271	0.124303367070502	-30.3393316141126	3.47414231307444e-202	9.01171460603551e-200	mRNA_2947	SP	TRUE	0.000223	0.999760	CS pos: 18-19. Pr: 0.9771	TRUE	TRUE	3	3.2.1.1:16|1.14.99.55:4	GH13_1(57-361)+CBM20(527-617)	GH13_e19(58-362)+CBM20_e25(529-618)	GH13_1+CBM20+GH13_1	GH13_1|CBM20_e25	alpha-glucan	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_6247	interaction_vs_self	13971.3211844893	3.02957146212477	0.103163019073415	29.3668359973917	1.45679783956766e-189	3.28162881755241e-187	mRNA_6247	OTHER	FALSE	0.999797	0.000204		TRUE	TRUE	3	2.4.1.231:3	GT4(454-621)	GT4_e3141(454-622)	GT4	GT4_e3141	-	TRUE	TRUE	up	TRUE	TRUE	TRUE	TRUE
gene_636	interaction_vs_self	578.912871531249	3.75871880186856	0.131394552809294	28.6063517969727	5.60128892469097e-180	1.14159602846083e-177	mRNA_636	SP	TRUE	0.000721	0.999233	CS pos: 15-16. Pr: 0.9376	TRUE	TRUE	3	3.1.1.-:1	CE12(18-235)	CE12_e43(19-235)	CE12	CE12_e43	xylan	TRUE	TRUE	up	TRUE	TRUE	TRUE	TRUE
gene_2318	interaction_vs_self	7986.01594693916	1.90896163125336	0.0726663161089394	26.2702409241648	4.19747477804077e-152	6.19489381034982e-150	mRNA_2318	SP	TRUE	0.000205	0.999738	CS pos: 20-21. Pr: 0.9784	TRUE	TRUE	3	-	GH17(72-302)	GH17_e7(72-313)	GH17	GH17_e7	-	TRUE	TRUE	up	TRUE	TRUE	TRUE	TRUE
gene_5065	interaction_vs_self	1701.16694549723	1.72246919456232	0.0666711099694472	25.835316006463	3.55802533071261e-147	4.99290111981966e-145	mRNA_5065	SP	TRUE	0.000248	0.999746	CS pos: 24-25. Pr: 0.9343	TRUE	TRUE	3	1.10.3.2:1	AA1(73-249)+AA1(335-626)	AA1_e8(74-626)	AA1	AA1_e8	lignin	TRUE	TRUE	up	TRUE	TRUE	TRUE	TRUE
gene_5659	interaction_vs_self	2849.55633332275	-3.50981822053998	0.139464272259695	-25.1664326904054	9.3406018922101e-140	1.19336645070625e-137	mRNA_5659	SP	TRUE	0.000320	0.999622	CS pos: 21-22. Pr: 0.9787	TRUE	TRUE	3	3.2.1.21:10;3.2.1.37:4	GH3(89-302)	GH3_e32(89-303)	GH3	GH3_e32	beta-glucan;xylan	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_6562	interaction_vs_self	4750.87279296434	1.65236638933785	0.070084143952078	23.5768933764491	6.65365510193274e-123	7.59403835633923e-121	mRNA_6562	SP	TRUE	0.000783	0.999193	CS pos: 33-34. Pr: 0.4477	TRUE	TRUE	3	2.4.1.-:26	GH72(35-334)	GH72_e0(38-334)	GH72	GH72_e0	beta-glucan	TRUE	TRUE	up	TRUE	TRUE	TRUE	TRUE
gene_4071	interaction_vs_self	914.255153302194	-3.35455799410358	0.142400105447661	-23.5572718401992	1.05742131936122e-122	1.1755229212639e-120	mRNA_4071	OTHER	FALSE	1.000000	0.000040		TRUE	TRUE	3	-	GH35(21-222)	GH35_e11(22-206)	GH35	GH35_e11	-	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_5169	interaction_vs_self	5197.8786493525	-3.15579275246409	0.137179158594454	-23.0048994672261	4.1635865546388e-117	4.00452819187731e-115	mRNA_5169	SP	TRUE	0.000210	0.999781	CS pos: 19-20. Pr: 0.9781	TRUE	TRUE	3	-	GH125(73-523)	GH125_e2(74-524)	GH125	GH125_e2	alpha-mannan	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
