organism	gene_id	base_mean	raw_lfc	plot_lfc	padj	preferred_name	description	pfam	display_label	informative	direction	eggnog_annotated	signal_peptide	cazyme
Ophiostoma	gene_6464	16351.3410330603	-3.12395606302864	-3.1083654034803017	3.39490082278125e-92		3-beta hydroxysteroid dehydrogenase/isomerase family	NmrA	3-beta hydroxysteroid dehydrogenase/isomerase family	TRUE	Downregulated	TRUE	FALSE	FALSE
Ophiostoma	gene_2401	2098.38591893807	-1.83016741002111	-1.8245711621822345	5.385631681828409e-109		AAA domain	AAA_33,SKI	AAA domain	TRUE	Downregulated	TRUE	FALSE	FALSE
Ophiostoma	gene_518	631.254998612413	-1.64866371590492	-1.6286054520165236	1.38431361596941e-29		ACT domain	ACT_7	ACT domain	TRUE	Downregulated	TRUE	FALSE	FALSE
Ophiostoma	gene_5755	99.7270877780354	-1.4822682391284	-1.426727131912777	6.15227189403756e-10		7 transmembrane receptor (rhodopsin family)	7tm_2,Dicty_CAR	7 transmembrane receptor (rhodopsin family)	TRUE	Downregulated	TRUE	FALSE	FALSE
Ophiostoma	gene_711	19319.5538197746	-1.44801313270687	-1.4256212425698278	2.55140578776734e-22		ABC transporter transmembrane region	ABC_membrane,ABC_tran	ABC transporter transmembrane region	TRUE	Downregulated	TRUE	FALSE	TRUE
Ophiostoma	gene_2271	987.038177618895	-1.33543633357295	-1.3176506580476914	3.98802849632105e-24		Fungal specific transcription factor domain	2OG-FeII_Oxy_3,Fungal_trans,Zn_clus	2OG-FeII_Oxy_3,Fungal_trans,Zn_clus	TRUE	Downregulated	TRUE	FALSE	FALSE
Ophiostoma	gene_6656	562.454937125449	-1.19661453507898	-1.1816039323474137	4.18766250922914e-24		A Receptor for Ubiquitination Targets	F-box,F-box-like	A Receptor for Ubiquitination Targets	TRUE	Downregulated	TRUE	FALSE	FALSE
Ophiostoma	gene_323	784.120690665039	-1.14172553536191	-1.1273794051583244	1.7595926733406698e-23		AMP-binding enzyme	ACAS_N,AMP-binding	AMP-binding enzyme	TRUE	Downregulated	TRUE	FALSE	TRUE
Ophiostoma	gene_4703	245.50227832816	2.40750574885838	2.383717859943683	2.4636642491475e-40		5-oxoprolinase	Hydant_A_N,Hydantoinase_A,Hydantoinase_B	5-oxoprolinase	TRUE	Upregulated	TRUE	FALSE	TRUE
Ophiostoma	gene_4502	5745.67120592443	1.6549745938299	1.6340406907862144	3.7134255611736397e-28		ABC transporter transmembrane region	ABC_membrane,ABC_tran	ABC transporter transmembrane region	TRUE	Upregulated	TRUE	FALSE	TRUE
Ophiostoma	gene_7423	2924.55140258213	1.47811814050737	1.4652062283253908	3.77389996773753e-38	ACC1	Acetyl-CoA carboxylase, central region	ACC_central,Biotin_carb_C,Biotin_carb_N,Biotin_lipoyl,CPSase_L_D2,Carboxyl_trans	ACC1	TRUE	Upregulated	TRUE	FALSE	TRUE
Ophiostoma	gene_5434	4525.36021009048	1.41092692224311	1.4102270054870008	9.334306914492551e-46		A Receptor for Ubiquitination Targets	F-box-like	A Receptor for Ubiquitination Targets	TRUE	Upregulated	TRUE	FALSE	FALSE
Ophiostoma	gene_6501	5932.51881073091	1.37792737066631	1.3656401177635462	1.3014402891588e-34	AAT1	Aminotransferase class I and II	Aminotran_1_2	AAT1	TRUE	Upregulated	TRUE	FALSE	FALSE
Ophiostoma	gene_4212	4351.10554718159	1.294961966683	1.2735939774960592	7.059254910439769e-19		ABC-2 family transporter protein	ABC2_membrane_3,ABC_tran	ABC-2 family transporter protein	TRUE	Upregulated	TRUE	FALSE	FALSE
Ophiostoma	gene_4610	567.50907892034	1.19286496184009	1.1819181432273504	2.5399957456794296e-31		2OG-Fe(II) oxygenase superfamily	2OG-FeII_Oxy,DIOX_N	2OG-Fe(II) oxygenase superfamily	TRUE	Upregulated	TRUE	FALSE	FALSE
Ophiostoma	gene_7465	3306.38365503551	1.16058700312151	1.155712925014398	3.28894014681937e-65		ABC-type nitrate sulfonate bicarbonate transport systems periplasmic components-like protein	NMT1,Phosphonate-bd	ABC-type nitrate sulfonate bicarbonate transport systems …	TRUE	Upregulated	TRUE	FALSE	FALSE
