gene_id	contrast	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	shrunk_log2FoldChange	shrunk_lfcSE	mrna_id	eggnog_annotated	eggnog_seed_ortholog	eggnog_evalue	eggnog_score	eggnog_eggnog_ogs	eggnog_max_annot_lvl	eggnog_cog_category	eggnog_description	eggnog_preferred_name	eggnog_gos	eggnog_ec	eggnog_kegg_ko	eggnog_kegg_pathway	eggnog_kegg_module	eggnog_kegg_reaction	eggnog_kegg_rclass	eggnog_brite	eggnog_kegg_tc	eggnog_cazy	eggnog_bigg_reaction	eggnog_pfams	signalp_prediction	signalp_is_sp	signalp_other_score	signalp_sp_score	signalp_cs_position	dbcan_any_hit	dbcan_high_confidence	dbcan_n_tools	dbcan_ec	dbcan_hmm	dbcan_sub	dbcan_diamond	dbcan_recommended	dbcan_substrate	de_significant_padj_lt_0.05	de_significant_raw_lfc1	de_significant_shrunk_lfc1	de_direction	dbcan_any_hit_candidate	high_confidence_cazyme	significant_high_confidence_cazyme	significant_raw_lfc1_high_confidence_cazyme	significant_shrunk_lfc1_high_confidence_cazyme
gene_1575	onu_vs_self	935.456501955207	3.15250037236952	0.139260191789434	22.6374840639039	1.85323489846695e-113	1.8026921285087602e-111	3.1408379990469424	0.13981777092282804	mRNA_1575	TRUE	61273.S3BLS4	1.69e-220	614.0	COG5434@1|root,2SHAF@2759|Eukaryota,39705@33154|Opisthokonta,3NXXU@4751|Fungi,3R2AQ@4890|Ascomycota,21S4K@147550|Sordariomycetes,3UUK6@5151|Ophiostomatales	4751|Fungi	G	Glycosyl hydrolases family 28		GO:0000272,GO:0003674,GO:0003824,GO:0004553,GO:0004650,GO:0005575,GO:0005576,GO:0005975,GO:0005976,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009987,GO:0010393,GO:0016052,GO:0016787,GO:0016798,GO:0017144,GO:0042737,GO:0043170,GO:0044237,GO:0044238,GO:0044248,GO:0045488,GO:0045490,GO:0071704,GO:1901575	3.2.1.15	ko:K01184	ko00040,ko01100,map00040,map01100	M00081	R01982,R02360	RC00049	ko00000,ko00001,ko00002,ko01000				Glyco_hydro_28	SP	TRUE	0.000258	0.999676	CS pos: 17-18. Pr: 0.9798	TRUE	TRUE	3	3.2.1.15:80	GH28(54-373)	GH28_e75(56-372)	GH28	GH28_e75	pectin	TRUE	TRUE	TRUE	up	TRUE	TRUE	TRUE	TRUE	TRUE
gene_5443	onu_vs_self	2337.22131810027	1.43338543357046	0.0748634395361146	19.1466681527368	1.03180772921788e-81	7.18071070089843e-80	1.4268450260704657	0.07498670704768381	mRNA_5443	TRUE	61273.S3C0Z0	2.19e-211	588.0	COG2730@1|root,2QXN4@2759|Eukaryota,39RYK@33154|Opisthokonta,3NX55@4751|Fungi,3QJQH@4890|Ascomycota,212W5@147550|Sordariomycetes,3UR1I@5151|Ophiostomatales	4751|Fungi	G	Cellulase (glycosyl hydrolase family 5)			3.2.1.4	ko:K01179	ko00500,ko01100,map00500,map01100		R06200,R11307,R11308		ko00000,ko00001,ko01000		GH5,GH9		CBM_1,Cellulase	SP	TRUE	0.000312	0.999658	CS pos: 18-19. Pr: 0.9788	TRUE	TRUE	3	3.2.1.4:38	GH5_5(49-327)	GH5_e137(50-327)	GH5_5+GH5_5	GH5_5	beta-glucan	TRUE	TRUE	TRUE	up	TRUE	TRUE	TRUE	TRUE	TRUE
gene_636	onu_vs_self	578.912871531249	2.48067479608821	0.131079665377435	18.9249399511761	7.10704473979065e-80	4.64399259332885e-78	2.467906910064926	0.13125670448659224	mRNA_636	TRUE	61273.S3CBX0	3.08e-161	455.0	COG2755@1|root,2RY37@2759|Eukaryota,3A02V@33154|Opisthokonta,3P1TC@4751|Fungi,3QP4G@4890|Ascomycota,217RG@147550|Sordariomycetes,3UUUW@5151|Ophiostomatales	4751|Fungi	G	GDSL-like Lipase/Acylhydrolase family		GO:0000272,GO:0003674,GO:0003824,GO:0005975,GO:0005976,GO:0008126,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009987,GO:0010393,GO:0016052,GO:0016787,GO:0016788,GO:0017144,GO:0034338,GO:0042737,GO:0043170,GO:0044237,GO:0044238,GO:0044248,GO:0045488,GO:0045490,GO:0046575,GO:0052689,GO:0071704,GO:1901575	3.1.1.86	ko:K15530					ko00000,ko01000				Lipase_GDSL_2	SP	TRUE	0.000721	0.999233	CS pos: 15-16. Pr: 0.9376	TRUE	TRUE	3	3.1.1.-:1	CE12(18-235)	CE12_e43(19-235)	CE12	CE12_e43	xylan	TRUE	TRUE	TRUE	up	TRUE	TRUE	TRUE	TRUE	TRUE
gene_5065	onu_vs_self	1701.16694549723	1.09890654556579	0.0654339780791402	16.7941271159871	2.69439258246593e-63	1.3409302619714201e-61	1.093372933935052	0.06551821486032554	mRNA_5065	TRUE	61273.S3CJC5	0.0	1156.0	COG2132@1|root,KOG1263@2759|Eukaryota,39Y4Z@33154|Opisthokonta,3NYZG@4751|Fungi,3RJIT@4890|Ascomycota,2124V@147550|Sordariomycetes	4751|Fungi	Q	Belongs to the multicopper oxidase family													Cu-oxidase,Cu-oxidase_2,Cu-oxidase_3	SP	TRUE	0.000248	0.999746	CS pos: 24-25. Pr: 0.9343	TRUE	TRUE	3	1.10.3.2:1	AA1(73-249)+AA1(335-626)	AA1_e8(74-626)	AA1	AA1_e8	lignin	TRUE	TRUE	TRUE	up	TRUE	TRUE	TRUE	TRUE	TRUE
gene_4724	onu_vs_self	454.526733539346	2.07908378169122	0.125159466723874	16.6114784291794	5.755701815673569e-62	2.8315406633428596e-60	2.065581613513264	0.1254440644909981	mRNA_4724	TRUE	61273.S3BZZ2	0.0	1129.0	COG3534@1|root,2QQEX@2759|Eukaryota,38HNC@33154|Opisthokonta,3NV11@4751|Fungi,3QMNT@4890|Ascomycota,211TT@147550|Sordariomycetes,3UVG0@5151|Ophiostomatales	4751|Fungi	O	Alpha-L-arabinofuranosidase C-terminus		GO:0003674,GO:0003824,GO:0004553,GO:0005575,GO:0005576,GO:0005975,GO:0005996,GO:0008150,GO:0008152,GO:0016787,GO:0016798,GO:0019321,GO:0019566,GO:0044238,GO:0044281,GO:0046556,GO:0071704	3.2.1.55	ko:K01209	ko00520,map00520		R01762		ko00000,ko00001,ko01000		GH51		Alpha-L-AF_C,CBM_4_9	SP	TRUE	0.000220	0.999748	CS pos: 20-21. Pr: 0.9742	TRUE	TRUE	3	3.2.1.55:10	GH51_2(201-629)	GH51_e35(200-628)	GH51_2+GH51_2	GH51_2	arabinan	TRUE	TRUE	TRUE	up	TRUE	TRUE	TRUE	TRUE	TRUE
gene_3262	onu_vs_self	2532.54010022028	1.0566026051126	0.0661175557197912	15.9806664600628	1.74272669524279e-57	7.72939922864158e-56	1.0509571067894175	0.06620546926628876	mRNA_3262	TRUE	61273.S3BYH8	1.92e-207	574.0	COG5309@1|root,2QQE6@2759|Eukaryota,38HGU@33154|Opisthokonta,3NW21@4751|Fungi,3QNSF@4890|Ascomycota,218T7@147550|Sordariomycetes	4751|Fungi	G	Belongs to the glycosyl hydrolase 17 family	BGL2	GO:0000322,GO:0000323,GO:0000324,GO:0003674,GO:0003824,GO:0004338,GO:0004553,GO:0005575,GO:0005576,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005773,GO:0005975,GO:0005976,GO:0006073,GO:0008150,GO:0008152,GO:0008422,GO:0009272,GO:0009277,GO:0009405,GO:0009986,GO:0009987,GO:0010383,GO:0015926,GO:0016043,GO:0016740,GO:0016787,GO:0016798,GO:0022610,GO:0030312,GO:0030445,GO:0031505,GO:0034406,GO:0040007,GO:0042123,GO:0042124,GO:0042546,GO:0042710,GO:0042973,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044010,GO:0044011,GO:0044036,GO:0044042,GO:0044085,GO:0044110,GO:0044116,GO:0044117,GO:0044237,GO:0044238,GO:0044260,GO:0044262,GO:0044264,GO:0044403,GO:0044406,GO:0044407,GO:0044419,GO:0044424,GO:0044444,GO:0044464,GO:0044764,GO:0045229,GO:0051273,GO:0051703,GO:0051704,GO:0070879,GO:0071554,GO:0071555,GO:0071704,GO:0071840,GO:0071852,GO:0071944,GO:0071966,GO:0090605,GO:0090609	3.2.1.58	ko:K01210	ko00500,map00500		R00308,R03115	RC00467	ko00000,ko00001,ko01000				Glyco_hydro_17	SP	TRUE	0.000422	0.999563	CS pos: 18-19. Pr: 0.9745	TRUE	TRUE	3	-	GH17(22-300)	GH17_e53(24-300)	GH17	GH17_e53	-	TRUE	TRUE	TRUE	up	TRUE	TRUE	TRUE	TRUE	TRUE
gene_1572	onu_vs_self	683.292807035003	1.46833213433811	0.0946987237706544	15.5053001336553	3.1942060122472696e-54	1.34031389533513e-52	1.458204787878672	0.09483376016843502	mRNA_1572	TRUE	710243.XP_007602558.1	0.0	1004.0	COG2303@1|root,KOG1238@2759|Eukaryota,39T59@33154|Opisthokonta,3NWR9@4751|Fungi,3QNXB@4890|Ascomycota,213UQ@147550|Sordariomycetes,1EZU0@1028384|Glomerellales	4751|Fungi	E	Choline dehydrogenase			1.1.99.1	ko:K00108	ko00260,ko01100,map00260,map01100	M00555	R01025	RC00087	ko00000,ko00001,ko00002,ko01000				GMC_oxred_C,GMC_oxred_N,NAD_binding_8	SP	TRUE	0.000415	0.999559	CS pos: 19-20. Pr: 0.9776	TRUE	TRUE	3	-	AA3_2(48-675)	AA3_e44(49-674)	AA3	AA3_2	-	TRUE	TRUE	TRUE	up	TRUE	TRUE	TRUE	TRUE	TRUE
gene_3724	onu_vs_self	301.912564723342	1.98209619206318	0.128904685675449	15.3764479675597	2.35518637972359e-53	9.55468976797815e-52	1.9672252159762846	0.1291551821763864	mRNA_3724	TRUE	61273.S3C5L9	0.0	898.0	COG2273@1|root,2QRX5@2759|Eukaryota,38FWG@33154|Opisthokonta,3NW22@4751|Fungi,3QM6T@4890|Ascomycota,2120M@147550|Sordariomycetes,3UPU1@5151|Ophiostomatales	4751|Fungi	G	Glycosyl hydrolases family 16													Glyco_hydro_16	OTHER	FALSE	1.000000	0.000000		TRUE	TRUE	3	3.2.1.39:7	GH16_4(175-500)	GH16_e102(176-501)	GH16_4+GH16_4	GH16_4	beta-glucan	TRUE	TRUE	TRUE	up	TRUE	TRUE	TRUE	TRUE	TRUE
gene_5612	onu_vs_self	282.538013450813	3.90320800468376	0.258214781677879	15.1161292135204	1.26779011558787e-51	4.97811164652853e-50	3.8711574776524906	0.25776237676763825	mRNA_5612	TRUE	61273.S3CKK9	3.31e-300	821.0	2BXAW@1|root,2R2FT@2759|Eukaryota,39REP@33154|Opisthokonta,3NYXW@4751|Fungi,3QQRD@4890|Ascomycota,216JM@147550|Sordariomycetes,3UUW2@5151|Ophiostomatales	4751|Fungi	G	Glycosyl hydrolases family 28			3.2.1.171	ko:K18580					ko00000,ko01000		GH28		CBM_1,Glyco_hydro_28	SP	TRUE	0.000355	0.999612	CS pos: 18-19. Pr: 0.9617	TRUE	TRUE	3	3.2.1.171:11	GH28(63-374)	GH28_e27(65-374)	GH28	GH28_e27	pectin	TRUE	TRUE	TRUE	up	TRUE	TRUE	TRUE	TRUE	TRUE
gene_7976	onu_vs_self	7621.68050997381	1.93640674805463	0.146106581221054	13.2533848364087	4.31302860011975e-40	1.21047622350902e-38	1.9168675163335993	0.1466569584431034	mRNA_7976	TRUE	61273.S3CGD3	5.39e-273	759.0	COG2273@1|root,2QRX5@2759|Eukaryota,38FWG@33154|Opisthokonta,3NW22@4751|Fungi,3QM6T@4890|Ascomycota,2120M@147550|Sordariomycetes,3UPU1@5151|Ophiostomatales	4751|Fungi	G	Glycosyl hydrolases family 16													Glyco_hydro_16	OTHER	FALSE	1.000000	0.000000		TRUE	TRUE	3	3.2.1.39:7	GH16_4(177-503)	GH16_e102(178-504)	GH16_4+GH16_4	GH16_4	beta-glucan	TRUE	TRUE	TRUE	up	TRUE	TRUE	TRUE	TRUE	TRUE
