gene_id	in_deseq2_dataset	padj_available	deseq2_status	regulation	significant_padj_lt_0.05	significant_raw_abs_lfc_gt_1	significant_shrunk_abs_lfc_gt_1	raw_baseMean	raw_log2FoldChange	raw_lfcSE	raw_stat	raw_pvalue	raw_padj	shrunk_log2FoldChange	shrunk_lfcSE	mapped_transcript_count	transcript_ids	protein_coding_transcript_count	protein_coding_transcript_ids	has_predicted_protein	predicted_protein_count	protein_ids	eggnog_annotated_protein_count	eggnog_annotated	signalp_raw_positive_protein_count	signalp_raw_positive	signalp_confident_positive_protein_count	signalp_confident_positive	signalp_ambiguous_protein_count	dbcan_any_hit_protein_count	dbcan_any_hit	dbcan_high_confidence_protein_count	dbcan_high_confidence	dbcan_max_n_tools	eggnog_seed_ortholog	eggnog_evalue	eggnog_score	eggnog_eggnog_ogs	eggnog_max_annot_lvl	eggnog_cog_category	eggnog_description	eggnog_preferred_name	eggnog_gos	eggnog_ec	eggnog_kegg_ko	eggnog_kegg_pathway	eggnog_kegg_module	eggnog_kegg_reaction	eggnog_kegg_rclass	eggnog_brite	eggnog_kegg_tc	eggnog_cazy	eggnog_bigg_reaction	eggnog_pfams	dbcan_ec	dbcan_hmm	dbcan_sub	dbcan_diamond	dbcan_recommended	dbcan_substrate
TRINITY_DN12002_c0_g1	FALSE	FALSE	not_in_deseq2_dataset	not_tested	FALSE	FALSE	FALSE									1	TRINITY_DN12002_c0_g1_i1	1	TRINITY_DN12002_c0_g1_i1	TRUE	1	TRINITY_DN12002_c0_g1_i1|m.67309	1	TRUE	0	FALSE	0	FALSE	0	1	TRUE	1	TRUE	2	5507.FOXG_12312P0	3.25e-102	305.0	28KDY@1|root,2QSUT@2759|Eukaryota,38FTA@33154|Opisthokonta,3NZBR@4751|Fungi,3QKR5@4890|Ascomycota,217JA@147550|Sordariomycetes,3TVF1@5125|Hypocreales,1FMIA@110618|Nectriaceae	4751|Fungi	O	to pectate lyase													Beta_helix,CBM_1,Chondroitinas_B		PL9_3(1-158)		PL9_3+PL9_3	PL9_3	
TRINITY_DN12398_c0_g1	FALSE	FALSE	not_in_deseq2_dataset	not_tested	FALSE	FALSE	FALSE									1	TRINITY_DN12398_c0_g1_i1	1	TRINITY_DN12398_c0_g1_i1	TRUE	1	TRINITY_DN12398_c0_g1_i1|m.27779	1	TRUE	0	FALSE	0	FALSE	0	1	TRUE	1	TRUE	2	148304.MAPG_01335T0	1.38e-102	308.0	COG3934@1|root,2QS4Q@2759|Eukaryota,38R6S@33154|Opisthokonta,3NZHB@4751|Fungi,3QN5B@4890|Ascomycota,214BV@147550|Sordariomycetes,41HYZ@639021|Magnaporthales	4751|Fungi	G	Belongs to the glycosyl hydrolase 5 (cellulase A) family			3.2.1.78	ko:K19355	ko00051,map00051		R01332	RC00467	ko00000,ko00001,ko01000				CBM_1,Cellulase		GH5_7(2-153)		CEI67653.1+GH5_7	GH5_7	
TRINITY_DN12911_c0_g1	FALSE	FALSE	not_in_deseq2_dataset	not_tested	FALSE	FALSE	FALSE									1	TRINITY_DN12911_c0_g1_i1	1	TRINITY_DN12911_c0_g1_i1	TRUE	1	TRINITY_DN12911_c0_g1_i1|m.62243	1	TRUE	0	FALSE	0	FALSE	0	1	TRUE	1	TRUE	2	1051613.XP_003008318.1	1.51e-202	577.0	COG3537@1|root,2QR5Q@2759|Eukaryota,38FMM@33154|Opisthokonta,3NWHY@4751|Fungi,3RJMZ@4890|Ascomycota,2144N@147550|Sordariomycetes,1EYG8@1028384|Glomerellales	4751|Fungi	G	Glycosyl hydrolase													Glyco_hydro_92		GH92(2-335)		GH92	GH92	
TRINITY_DN13561_c0_g1	FALSE	FALSE	not_in_deseq2_dataset	not_tested	FALSE	FALSE	FALSE									1	TRINITY_DN13561_c0_g1_i1	1	TRINITY_DN13561_c0_g1_i1	TRUE	1	TRINITY_DN13561_c0_g1_i1|m.15252	1	TRUE	0	FALSE	0	FALSE	0	1	TRUE	1	TRUE	2	117187.FVEG_06833T0	3.11e-98	301.0	COG2303@1|root,KOG1238@2759|Eukaryota,38UEK@33154|Opisthokonta,3NUFD@4751|Fungi,3QKEH@4890|Ascomycota,216FB@147550|Sordariomycetes,3TNU7@5125|Hypocreales,1FUQ8@110618|Nectriaceae	4751|Fungi	E	GMC oxidoreductase													GMC_oxred_C,GMC_oxred_N		AA3_2(7-221)		AA3_2+AA3_2	AA3_2	
TRINITY_DN14717_c0_g1	FALSE	FALSE	not_in_deseq2_dataset	not_tested	FALSE	FALSE	FALSE									1	TRINITY_DN14717_c0_g1_i1	1	TRINITY_DN14717_c0_g1_i1	TRUE	1	TRINITY_DN14717_c0_g1_i1|m.52503	1	TRUE	1	TRUE	1	TRUE	0	1	TRUE	1	TRUE	2	393283.XP_007833436.1	8.62e-64	214.0	2CN2W@1|root,2QTKY@2759|Eukaryota,39V17@33154|Opisthokonta,3NYB8@4751|Fungi,3QNIG@4890|Ascomycota,2154F@147550|Sordariomycetes	4751|Fungi	G	Belongs to the polysaccharide lyase 4 family			4.2.2.23	ko:K18195					ko00000,ko01000		PL4		CBM-like,RhgB_N,fn3_3		PL4_1(28-226)		PL4_1	PL4_1	
TRINITY_DN14762_c0_g1	FALSE	FALSE	not_in_deseq2_dataset	not_tested	FALSE	FALSE	FALSE									1	TRINITY_DN14762_c0_g1_i1	1	TRINITY_DN14762_c0_g1_i1	TRUE	1	TRINITY_DN14762_c0_g1_i1|m.25221	1	TRUE	0	FALSE	0	FALSE	0	1	TRUE	1	TRUE	2	140110.NechaP106281	2.22e-82	255.0	COG3934@1|root,2QS4Q@2759|Eukaryota,38R6S@33154|Opisthokonta,3NZHB@4751|Fungi,3QN5B@4890|Ascomycota,214BV@147550|Sordariomycetes,3TSSH@5125|Hypocreales,1FKZM@110618|Nectriaceae	4751|Fungi	G	Belongs to the glycosyl hydrolase 5 (cellulase A) family			3.2.1.78	ko:K19355	ko00051,map00051		R01332	RC00467	ko00000,ko00001,ko01000				Cellulase		GH5_7(2-152)		CEI67653.1+GH5_7	GH5_7	
TRINITY_DN14960_c0_g1	FALSE	FALSE	not_in_deseq2_dataset	not_tested	FALSE	FALSE	FALSE									1	TRINITY_DN14960_c0_g1_i1	1	TRINITY_DN14960_c0_g1_i1	TRUE	1	TRINITY_DN14960_c0_g1_i1|m.67093	1	TRUE	0	FALSE	0	FALSE	0	1	TRUE	1	TRUE	2	5518.FGSG_10683P0	3.28e-135	406.0	28P2Z@1|root,2QVPG@2759|Eukaryota,38BY2@33154|Opisthokonta,3NZYU@4751|Fungi,3QJF7@4890|Ascomycota,2152Q@147550|Sordariomycetes,3TVHR@5125|Hypocreales,1FNB4@110618|Nectriaceae	4751|Fungi	S	Rhamnosidase B													Bac_rhamnosid6H		GH78(8-227)		CEF76149.1+GH78	GH78	
TRINITY_DN15299_c0_g1	FALSE	FALSE	not_in_deseq2_dataset	not_tested	FALSE	FALSE	FALSE									1	TRINITY_DN15299_c0_g1_i1	1	TRINITY_DN15299_c0_g1_i1	TRUE	1	TRINITY_DN15299_c0_g1_i1|m.68851	1	TRUE	0	FALSE	0	FALSE	0	1	TRUE	1	TRUE	2	5127.CCT64478	3.47e-181	524.0	2CNC5@1|root,2QV54@2759|Eukaryota,39S8X@33154|Opisthokonta,3NZKK@4751|Fungi,3QRQ4@4890|Ascomycota,214Z4@147550|Sordariomycetes,3TUCQ@5125|Hypocreales,1FMYG@110618|Nectriaceae	4751|Fungi	O	Pectate lyase superfamily protein			3.2.1.58	ko:K01210	ko00500,map00500		R00308,R03115	RC00467	ko00000,ko00001,ko01000				Pectate_lyase_3		GH55_2(14-291)		GH55_2+GH55_2	GH55_2	
TRINITY_DN18166_c0_g1	FALSE	FALSE	not_in_deseq2_dataset	not_tested	FALSE	FALSE	FALSE									1	TRINITY_DN18166_c0_g1_i1	1	TRINITY_DN18166_c0_g1_i1	TRUE	1	TRINITY_DN18166_c0_g1_i1|m.59619	1	TRUE	1	TRUE	1	TRUE	0	1	TRUE	1	TRUE	2	140110.NechaP87724	1.08e-121	362.0	2C3KP@1|root,2SHWK@2759|Eukaryota,39T1S@33154|Opisthokonta,3NY2E@4751|Fungi,3QPUI@4890|Ascomycota,2184J@147550|Sordariomycetes,3TMD1@5125|Hypocreales,1FPYG@110618|Nectriaceae	4751|Fungi	G	Belongs to the glycosyl hydrolase 43 family													CBM_1,CBM_6,Glyco_hydro_43		GH43_29(33-220)		GH43_29	GH43_29	
TRINITY_DN18255_c0_g1	FALSE	FALSE	not_in_deseq2_dataset	not_tested	FALSE	FALSE	FALSE									1	TRINITY_DN18255_c0_g1_i1	1	TRINITY_DN18255_c0_g1_i1	TRUE	1	TRINITY_DN18255_c0_g1_i1|m.59532	1	TRUE	1	TRUE	1	TRUE	0	1	TRUE	1	TRUE	2	117187.FVEG_13262T0	3.13e-122	357.0	28PG6@1|root,2QW46@2759|Eukaryota,39RKY@33154|Opisthokonta,3P0BE@4751|Fungi,3QRJ6@4890|Ascomycota,212TN@147550|Sordariomycetes,3TK2Z@5125|Hypocreales,1FX1J@110618|Nectriaceae	4751|Fungi	O	bnr asp-box repeat													BNR		GH93(56-192)		GH93	GH93	
