gene_id	contrast	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	shrunk_log2FoldChange	shrunk_lfcSE	mrna_id	eggnog_annotated	eggnog_seed_ortholog	eggnog_evalue	eggnog_score	eggnog_eggnog_ogs	eggnog_max_annot_lvl	eggnog_cog_category	eggnog_description	eggnog_preferred_name	eggnog_gos	eggnog_ec	eggnog_kegg_ko	eggnog_kegg_pathway	eggnog_kegg_module	eggnog_kegg_reaction	eggnog_kegg_rclass	eggnog_brite	eggnog_kegg_tc	eggnog_cazy	eggnog_bigg_reaction	eggnog_pfams	signalp_prediction	signalp_is_sp	signalp_other_score	signalp_sp_score	signalp_cs_position	dbcan_any_hit	dbcan_high_confidence	dbcan_n_tools	dbcan_ec	dbcan_hmm	dbcan_sub	dbcan_diamond	dbcan_recommended	dbcan_substrate	de_significant_padj_lt_0.05	de_significant_raw_lfc1	de_significant_shrunk_lfc1	de_direction	dbcan_any_hit_candidate	high_confidence_cazyme	significant_high_confidence_cazyme	significant_raw_lfc1_high_confidence_cazyme	significant_shrunk_lfc1_high_confidence_cazyme
gene_594	onu_vs_self	1348.64559506588	-5.50419454624483	0.12113456910434	-45.4386768941552	0	0	-5.498327904895308	0.1212592883772805	mRNA_594	TRUE	61273.S3BWZ8	1.95e-65	204.0	2CCI9@1|root,2RQZB@2759|Eukaryota,38URT@33154|Opisthokonta,3PWC4@4751|Fungi,3RFBF@4890|Ascomycota,21U0R@147550|Sordariomycetes,3UW4H@5151|Ophiostomatales	4751|Fungi																OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	TRUE	down	FALSE	FALSE	FALSE	FALSE	FALSE
gene_972	onu_vs_self	20570.5811283141	-4.62906038697399	0.099133619545813	-46.6951616230934	0	0	-4.627396319455781	0.09912864644450681	mRNA_972	TRUE	61273.S3CTA7	2.47e-291	799.0	COG1063@1|root,KOG0024@2759|Eukaryota,39UET@33154|Opisthokonta,3NUTE@4751|Fungi,3QQHE@4890|Ascomycota,216DP@147550|Sordariomycetes,3UR36@5151|Ophiostomatales	4751|Fungi	Q	Alcohol dehydrogenase GroES-associated		GO:0006950,GO:0008150,GO:0009636,GO:0009987,GO:0033554,GO:0042221,GO:0050896,GO:0051409,GO:0051410,GO:0051716,GO:0070458,GO:0070887,GO:0071500,GO:0097237,GO:0098754,GO:1901698,GO:1990748											ADH_N,ADH_N_assoc,ADH_zinc_N	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	TRUE	down	FALSE	FALSE	FALSE	FALSE	FALSE
gene_6950	onu_vs_self	26829.7452189817	-4.58795843229406	0.0447303504549766	-102.569248522031	0	0	-4.587517318397238	0.04473170653834768	mRNA_6950	TRUE	61273.S3BVJ5	0.0	1436.0	KOG4091@1|root,KOG4091@2759|Eukaryota,38EMI@33154|Opisthokonta,3NX1W@4751|Fungi,3QPRF@4890|Ascomycota,215QK@147550|Sordariomycetes,3URFV@5151|Ophiostomatales	4751|Fungi	K	CP2 transcription factor													CP2	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	TRUE	down	FALSE	FALSE	FALSE	FALSE	FALSE
gene_8173	onu_vs_self	12982.7696859859	-4.48050274025509	0.109869539285926	-40.780208685457	0	0	-4.474928133304611	0.10993120144386828	mRNA_8173	TRUE	61273.S3C9R9	2.46e-150	428.0	2EIZ2@1|root,2SP9C@2759|Eukaryota,3A0KA@33154|Opisthokonta,3P1U0@4751|Fungi,3QT98@4890|Ascomycota,217NW@147550|Sordariomycetes,3UTTA@5151|Ophiostomatales	4751|Fungi																OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	TRUE	down	FALSE	FALSE	FALSE	FALSE	FALSE
gene_5989	onu_vs_self	3841.81062586484	-4.46512055964005	0.0674800901631968	-66.1694515944097	0	0	-4.462592960185542	0.0674890974616162	mRNA_5989	TRUE	61273.S3C967	0.0	992.0	COG2072@1|root,KOG1399@2759|Eukaryota,38I4U@33154|Opisthokonta,3NW5V@4751|Fungi,3QNBS@4890|Ascomycota,211HS@147550|Sordariomycetes,3USEH@5151|Ophiostomatales	4751|Fungi	Q	L-lysine 6-monooxygenase (NADPH-requiring)													FMO-like,Pyr_redox_2,Pyr_redox_3	OTHER	FALSE	1.000000	0.000036		FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	TRUE	down	FALSE	FALSE	FALSE	FALSE	FALSE
gene_6516	onu_vs_self	2584.74806427892	-4.33243783322718	0.093308061318695	-46.4315491287476	0	0	-4.32839726639039	0.09328214573839175	mRNA_6516	TRUE	61273.S3BP84	1.11e-240	672.0	KOG2966@1|root,KOG2966@2759|Eukaryota,39QZZ@33154|Opisthokonta,3NU8G@4751|Fungi,3QQNM@4890|Ascomycota,21618@147550|Sordariomycetes,3UV2X@5151|Ophiostomatales	4751|Fungi	U	Mitochondrial calcium uniporter				ko:K20858	ko04020,ko04218,ko04621,map04020,map04218,map04621				ko00000,ko00001,ko02000	1.A.77.1			MCU	OTHER	FALSE	1.000000	0.000000		TRUE	FALSE	1	-	-	-	GT76	-	-	TRUE	TRUE	TRUE	down	TRUE	FALSE	FALSE	FALSE	FALSE
gene_3809	onu_vs_self	11257.1832101299	4.29456313340022	0.0819857968036613	52.3817941744812	0	0	4.291541805829876	0.0819962896819588	mRNA_3809	TRUE	61273.S3C349	1.01e-18	89.4	29DV7@1|root,2RKZK@2759|Eukaryota,38QNG@33154|Opisthokonta,3PSFS@4751|Fungi,3RBWV@4890|Ascomycota,21I2V@147550|Sordariomycetes,3UW0W@5151|Ophiostomatales	4751|Fungi																SP	TRUE	0.000280	0.999686	CS pos: 26-27. Pr: 0.9674	FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	TRUE	up	FALSE	FALSE	FALSE	FALSE	FALSE
gene_8180	onu_vs_self	96598.2317177156	-4.26212946541205	0.110473387724507	-38.5805989406311	0	0	-4.256284582586075	0.11053823343640974	mRNA_8180	TRUE	61273.S3BP02	1.77e-22	92.8	2DS7M@1|root,2S6FD@2759|Eukaryota,3A93I@33154|Opisthokonta,3P77B@4751|Fungi,3QZ5B@4890|Ascomycota,21BUB@147550|Sordariomycetes,3UUF5@5151|Ophiostomatales	4751|Fungi	S	Glucose-repressible protein Grg1													Grg1	OTHER	FALSE	1.000000	0.000001		FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	TRUE	down	FALSE	FALSE	FALSE	FALSE	FALSE
gene_5987	onu_vs_self	2252.24473847186	-3.7983400760016	0.100258380208123	-37.8855120950165	0	0	-3.7930518882041144	0.10037558510768549	mRNA_5987	TRUE	61273.S3D7J9	1.74e-108	321.0	2D4RI@1|root,2S534@2759|Eukaryota,3A6F1@33154|Opisthokonta,3P6C0@4751|Fungi,3QXM6@4890|Ascomycota,21AXG@147550|Sordariomycetes,3UVQ0@5151|Ophiostomatales	4751|Fungi																OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	TRUE	down	FALSE	FALSE	FALSE	FALSE	FALSE
gene_848	onu_vs_self	6072.91935089025	-3.62519326464148	0.0720293430696366	-50.3293950791237	0	0	-3.6223121475077926	0.0720727947144913	mRNA_848	TRUE	61273.S3C9P2	1.14e-127	368.0	2B5Y8@1|root,2S0K3@2759|Eukaryota,3A2PJ@33154|Opisthokonta,3P2ZV@4751|Fungi,3QV0B@4890|Ascomycota,219AN@147550|Sordariomycetes,3UTJA@5151|Ophiostomatales	4751|Fungi	S	SUR7/PalI family													SUR7	OTHER	FALSE	0.999099	0.000909		FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	TRUE	down	FALSE	FALSE	FALSE	FALSE	FALSE
