gene_id	contrast	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	shrunk_log2FoldChange	shrunk_lfcSE	mrna_id	eggnog_annotated	eggnog_seed_ortholog	eggnog_evalue	eggnog_score	eggnog_eggnog_ogs	eggnog_max_annot_lvl	eggnog_cog_category	eggnog_description	eggnog_preferred_name	eggnog_gos	eggnog_ec	eggnog_kegg_ko	eggnog_kegg_pathway	eggnog_kegg_module	eggnog_kegg_reaction	eggnog_kegg_rclass	eggnog_brite	eggnog_kegg_tc	eggnog_cazy	eggnog_bigg_reaction	eggnog_pfams	signalp_prediction	signalp_is_sp	signalp_other_score	signalp_sp_score	signalp_cs_position	dbcan_any_hit	dbcan_high_confidence	dbcan_n_tools	dbcan_ec	dbcan_hmm	dbcan_sub	dbcan_diamond	dbcan_recommended	dbcan_substrate	de_significant_padj_lt_0.05	de_significant_raw_lfc1	de_significant_shrunk_lfc1	de_direction	dbcan_any_hit_candidate	high_confidence_cazyme	significant_high_confidence_cazyme	significant_raw_lfc1_high_confidence_cazyme	significant_shrunk_lfc1_high_confidence_cazyme
gene_8391	interaction_vs_self	1505.09387311416	-4.94680712878658	0.128245662917689	-38.572899981511	0	0	-4.940259780562302	0.12818111455640555	mRNA_8391	TRUE	61273.S3BMC0	0.0	939.0	COG0477@1|root,KOG2533@2759|Eukaryota,39K3V@33154|Opisthokonta,3NWTF@4751|Fungi,3QJVB@4890|Ascomycota,21654@147550|Sordariomycetes,3UT72@5151|Ophiostomatales	4751|Fungi	G	Major Facilitator Superfamily													MFS_1	OTHER	FALSE	1.000000	0.000025		TRUE	FALSE	1	-	-	-	GH154	-	-	TRUE	TRUE	TRUE	down	TRUE	FALSE	FALSE	FALSE	FALSE
gene_4303	interaction_vs_self	21228.7009283425	2.01949056270295	0.0573336085682745	35.2235035110006	8.73411124311314e-272	6.79672656736805e-269	2.0170966170482507	0.05735719988059929	mRNA_4303	TRUE	61273.S3C6T4	0.0	941.0	COG0076@1|root,KOG1383@2759|Eukaryota,38HST@33154|Opisthokonta,3NUJY@4751|Fungi,3QN1N@4890|Ascomycota,213J4@147550|Sordariomycetes,3URPP@5151|Ophiostomatales	4751|Fungi	E	Pyridoxal-dependent decarboxylase conserved domain			4.1.1.15	ko:K01580	ko00250,ko00410,ko00430,ko00650,ko01100,ko01110,ko01120,ko02024,ko04727,ko04940,map00250,map00410,map00430,map00650,map01100,map01110,map01120,map02024,map04727,map04940	M00027	R00261,R00489,R01682,R02466	RC00299	ko00000,ko00001,ko00002,ko01000				Pyridoxal_deC	OTHER	FALSE	1.000000	0.000000		TRUE	FALSE	1	-	-	-	GH71	-	-	TRUE	TRUE	TRUE	up	TRUE	FALSE	FALSE	FALSE	FALSE
gene_4904	interaction_vs_self	2937.72706931775	-3.29808541778292	0.0945006491507659	-34.9001350511484	7.399446181528509e-267	5.27827160949033e-264	-3.2929504811679604	0.094533842765072	mRNA_4904	TRUE	61273.S3C0A5	0.0	1057.0	KOG0254@1|root,KOG0254@2759|Eukaryota,38BTE@33154|Opisthokonta,3NUAW@4751|Fungi,3QM8N@4890|Ascomycota,211Y5@147550|Sordariomycetes,3UV68@5151|Ophiostomatales	4751|Fungi	U	Major Facilitator Superfamily													MFS_1	OTHER	FALSE	1.000000	0.000001		TRUE	FALSE	1	-	-	-	CBM14	-	-	TRUE	TRUE	TRUE	down	TRUE	FALSE	FALSE	FALSE	FALSE
gene_5107	interaction_vs_self	1726.66403373498	-3.15989101338357	0.09072121545613	-34.8307834886934	8.32097970550197e-266	5.47904509839207e-263	-3.154651845220954	0.09076021402073356	mRNA_5107	TRUE	61273.S3D181	0.0	2032.0	COG0474@1|root,KOG0202@2759|Eukaryota,38FIJ@33154|Opisthokonta,3NU1M@4751|Fungi,3QMM2@4890|Ascomycota,217KB@147550|Sordariomycetes,3UUIC@5151|Ophiostomatales	4751|Fungi	P	Cation transporter/ATPase, N-terminus	cta3	GO:0000322,GO:0000323,GO:0000324,GO:0003674,GO:0003824,GO:0005215,GO:0005388,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005773,GO:0005886,GO:0006810,GO:0006811,GO:0006812,GO:0006813,GO:0006816,GO:0006873,GO:0006874,GO:0006875,GO:0008150,GO:0008324,GO:0008556,GO:0009987,GO:0015075,GO:0015077,GO:0015079,GO:0015085,GO:0015318,GO:0015399,GO:0015405,GO:0015662,GO:0015672,GO:0016020,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0019725,GO:0019829,GO:0022804,GO:0022853,GO:0022857,GO:0022890,GO:0030001,GO:0030003,GO:0034220,GO:0042592,GO:0042623,GO:0042625,GO:0042626,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043492,GO:0044424,GO:0044444,GO:0044464,GO:0046873,GO:0048878,GO:0050801,GO:0051179,GO:0051208,GO:0051234,GO:0051235,GO:0055065,GO:0055074,GO:0055080,GO:0055082,GO:0055085,GO:0065007,GO:0065008,GO:0070588,GO:0070838,GO:0071435,GO:0071804,GO:0071805,GO:0071944,GO:0072503,GO:0072507,GO:0072511,GO:0090662,GO:0097623,GO:0098655,GO:0098660,GO:0098662,GO:0098771,GO:0099131,GO:0099132,GO:0140115	3.6.3.7	ko:K01536					ko00000,ko01000				Cation_ATPase,Cation_ATPase_C,Cation_ATPase_N,E1-E2_ATPase,Hydrolase	OTHER	FALSE	0.999815	0.000200		TRUE	FALSE	1	-	-	-	GH128	-	-	TRUE	TRUE	TRUE	down	TRUE	FALSE	FALSE	FALSE	FALSE
gene_8037	interaction_vs_self	1715.6533994264	-4.63135634317201	0.137708940509913	-33.631486278399	5.8155314542761e-248	2.7656082915890796e-245	-4.623319335775009	0.13776198930194153	mRNA_8037	TRUE	61273.S3CD34	0.0	1007.0	KOG0254@1|root,KOG0254@2759|Eukaryota,38D2W@33154|Opisthokonta,3NUYQ@4751|Fungi,3QK3D@4890|Ascomycota,212SW@147550|Sordariomycetes,3UVCF@5151|Ophiostomatales	4751|Fungi	P	Sugar (and other) transporter													Sugar_tr	OTHER	FALSE	0.999995	0.000025		TRUE	FALSE	1	-	-	-	GH43_14+CBM91+GH43_14	-	-	TRUE	TRUE	TRUE	down	TRUE	FALSE	FALSE	FALSE	FALSE
gene_1109	interaction_vs_self	27494.895952857	-3.05514787547299	0.0909503055644867	-33.591397593566	2.2402247427691602e-247	1.0092801999002099e-244	-3.04996794804309	0.09100876786955905	mRNA_1109	TRUE	61273.S3CAY8	0.0	1808.0	COG1501@1|root,KOG1065@2759|Eukaryota,38C0A@33154|Opisthokonta,3NVMX@4751|Fungi,3QM0J@4890|Ascomycota,21361@147550|Sordariomycetes,3UUPK@5151|Ophiostomatales	4751|Fungi	G	N-terminal barrel of NtMGAM and CtMGAM, maltase-glucoamylase		GO:0000023,GO:0000025,GO:0000272,GO:0003674,GO:0003824,GO:0004553,GO:0004558,GO:0005575,GO:0005576,GO:0005618,GO:0005623,GO:0005975,GO:0005976,GO:0005984,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009311,GO:0009313,GO:0009987,GO:0015926,GO:0016020,GO:0016052,GO:0016740,GO:0016757,GO:0016758,GO:0016787,GO:0016798,GO:0030312,GO:0032450,GO:0042710,GO:0043170,GO:0044010,GO:0044011,GO:0044237,GO:0044238,GO:0044247,GO:0044248,GO:0044260,GO:0044262,GO:0044264,GO:0044275,GO:0044464,GO:0044654,GO:0044764,GO:0046352,GO:0046527,GO:0051703,GO:0051704,GO:0071704,GO:0071944,GO:0090599,GO:0090605,GO:0090609,GO:1901575	3.2.1.20	ko:K01187	ko00052,ko00500,ko01100,map00052,map00500,map01100		R00028,R00801,R00802,R06087,R06088	RC00028,RC00049,RC00077	ko00000,ko00001,ko01000		GH31		Gal_mutarotas_2,Glyco_hydro_31,NtCtMGAM_N	SP	TRUE	0.000358	0.999610	CS pos: 18-19. Pr: 0.9816	TRUE	TRUE	3	3.2.1.20:20	GH31_1(349-910)	GH31_e82(350-911)	GH31_1+GH31_1	GH31_1	alpha-glucan	TRUE	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE	TRUE
gene_1892	interaction_vs_self	1220.03244393468	4.59642395140765	0.138486558414413	33.1903977110408	1.4811215789050296e-241	6.339200357713511e-239	4.588448548030787	0.1387125474479257	mRNA_1892	TRUE	61273.S3C2L2	0.0	4626.0	COG3321@1|root,KOG1202@2759|Eukaryota,38D6P@33154|Opisthokonta,3NWH8@4751|Fungi,3QQ5E@4890|Ascomycota,212RQ@147550|Sordariomycetes,3UUYF@5151|Ophiostomatales	4751|Fungi	I	Beta-ketoacyl synthase													AMP-binding,Acyl_transf_1,Condensation,KAsynt_C_assoc,KR,Ketoacyl-synt_C,Methyltransf_12,NAD_binding_4,PP-binding,PS-DH,ketoacyl-synt	OTHER	FALSE	1.000000	0.000000		TRUE	FALSE	1	-	-	-	CE16	-	-	TRUE	TRUE	TRUE	up	TRUE	FALSE	FALSE	FALSE	FALSE
gene_4334	interaction_vs_self	4962.65751129807	2.71193058550382	0.083748177954733	32.3819652168391	4.925330347276039e-230	1.8330794683775199e-227	2.7075273312991417	0.08374949644914488	mRNA_4334	TRUE	61273.S3D2R6	1.45e-282	776.0	28M5F@1|root,2QTNB@2759|Eukaryota,38DZ8@33154|Opisthokonta,3NWX9@4751|Fungi,3QQ78@4890|Ascomycota,215FM@147550|Sordariomycetes,3UUQW@5151|Ophiostomatales	4751|Fungi	S	PAP2 superfamily													PAP2_3	OTHER	FALSE	0.790793	0.209188		TRUE	FALSE	1	-	-	-	GT1	-	-	TRUE	TRUE	TRUE	up	TRUE	FALSE	FALSE	FALSE	FALSE
gene_1514	interaction_vs_self	1870.32807449344	2.5480326284238	0.079513962850571	32.0450966984537	2.5692851938099e-225	9.163783857921987e-223	2.5436143583481514	0.07952722939107802	mRNA_1514	TRUE	61273.S3CVZ7	1.81e-265	732.0	COG3386@1|root,2RZSA@2759|Eukaryota,39UPQ@33154|Opisthokonta,3NZ8I@4751|Fungi,3QKT7@4890|Ascomycota,214C7@147550|Sordariomycetes,3UR4Y@5151|Ophiostomatales	4751|Fungi	G	SMP-30/Gluconolaconase/LRE-like region			3.1.1.17	ko:K01053	ko00030,ko00053,ko00930,ko01100,ko01110,ko01120,ko01130,ko01200,ko01220,map00030,map00053,map00930,map01100,map01110,map01120,map01130,map01200,map01220	M00129	R01519,R02933,R03751	RC00537,RC00983	ko00000,ko00001,ko00002,ko01000,ko04147				SGL	SP	TRUE	0.168104	0.831881	CS pos: 36-37. Pr: 0.6060	TRUE	FALSE	1	-	-	-	CBM1+AA9	-	-	TRUE	TRUE	TRUE	up	TRUE	FALSE	FALSE	FALSE	FALSE
gene_2976	interaction_vs_self	15050.4571605631	-2.52696488883978	0.0796613210362006	-31.7213530477539	7.888556930733298e-221	2.7010418930830797e-218	-2.5192792854183588	0.0797307777393556	mRNA_2976	TRUE	61273.S3CEV9	0.0	905.0	COG0477@1|root,KOG2533@2759|Eukaryota,38HSW@33154|Opisthokonta,3NXBD@4751|Fungi,3QQ2J@4890|Ascomycota,212GJ@147550|Sordariomycetes,3UT62@5151|Ophiostomatales	4751|Fungi	G	Major Facilitator Superfamily													MFS_1	OTHER	FALSE	1.000000	0.000001		TRUE	FALSE	1	-	-	-	GH88	-	-	TRUE	TRUE	TRUE	down	TRUE	FALSE	FALSE	FALSE	FALSE
