gene_id	contrast	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	mrna_id	signalp_prediction	signalp_is_sp	signalp_other_score	signalp_sp_score	signalp_cs_position	dbcan_any_hit	dbcan_high_confidence	dbcan_n_tools	dbcan_ec	dbcan_hmm	dbcan_sub	dbcan_diamond	dbcan_recommended	dbcan_substrate	de_significant_padj_lt_0.05	de_strong_padj_lt_0.05_abs_log2fc_gt_1	de_direction	signalp_positive_candidate	significant_signalp_candidate	strong_signalp_candidate
gene_1109	interaction_vs_onu	27494.895952857	-2.44581085129873	0.090914194102818	-26.9024091940217	2.0582073728978e-159	6.29223396857326e-157	mRNA_1109	SP	TRUE	0.000358	0.999610	CS pos: 18-19. Pr: 0.9816	TRUE	TRUE	3	3.2.1.20:20	GH31_1(349-910)	GH31_e82(350-911)	GH31_1+GH31_1	GH31_1	alpha-glucan	TRUE	TRUE	down	TRUE	TRUE	TRUE
gene_2947	interaction_vs_onu	1030.53678945043	-3.16806390624081	0.123469859417218	-25.6586013881782	3.38970361589635e-145	9.06745717252274e-143	mRNA_2947	SP	TRUE	0.000223	0.999760	CS pos: 18-19. Pr: 0.9771	TRUE	TRUE	3	3.2.1.1:16|1.14.99.55:4	GH13_1(57-361)+CBM20(527-617)	GH13_e19(58-362)+CBM20_e25(529-618)	GH13_1+CBM20+GH13_1	GH13_1|CBM20_e25	alpha-glucan	TRUE	TRUE	down	TRUE	TRUE	TRUE
gene_4724	interaction_vs_onu	454.526733539346	-4.53285984261335	0.183068816042447	-24.7604149117474	2.39468615514155e-135	5.25602909949017e-133	mRNA_4724	SP	TRUE	0.000220	0.999748	CS pos: 20-21. Pr: 0.9742	TRUE	TRUE	3	3.2.1.55:10	GH51_2(201-629)	GH51_e35(200-628)	GH51_2+GH51_2	GH51_2	arabinan	TRUE	TRUE	down	TRUE	TRUE	TRUE
gene_3698	interaction_vs_onu	3938.97136626651	-4.16181717763876	0.188062710805202	-22.1299435694599	1.62780794362798e-108	2.28426819630418e-106	mRNA_3698	SP	TRUE	0.001549	0.998415	CS pos: 21-22. Pr: 0.9725	FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	down	TRUE	TRUE	TRUE
gene_5011	interaction_vs_onu	406.626012747588	-2.73081901638541	0.140865790842542	-19.3859630507303	1.01389262453887e-83	9.97577111040545e-82	mRNA_5011	SP	TRUE	0.000343	0.999647	CS pos: 26-27. Pr: 0.5254	FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	down	TRUE	TRUE	TRUE
gene_5659	interaction_vs_onu	2849.55633332275	-2.46054823647221	0.139352609890224	-17.656994285292	8.99013085202604e-70	6.99595637212208e-68	mRNA_5659	SP	TRUE	0.000320	0.999622	CS pos: 21-22. Pr: 0.9787	TRUE	TRUE	3	3.2.1.21:10;3.2.1.37:4	GH3(89-302)	GH3_e32(89-303)	GH3	GH3_e32	beta-glucan;xylan	TRUE	TRUE	down	TRUE	TRUE	TRUE
gene_3955	interaction_vs_onu	2587.9637461091	-2.09469624849493	0.122423106414188	-17.1103013952942	1.24354356703397e-65	8.51578634704865e-64	mRNA_3955	SP	TRUE	0.000332	0.999653	CS pos: 23-24. Pr: 0.9699	TRUE	FALSE	1	-	-	-	CBM35	-	-	TRUE	TRUE	down	TRUE	TRUE	TRUE
gene_2942	interaction_vs_onu	5528.35351706728	-1.64580723171678	0.101851034834894	-16.1589642597616	9.81976727272259e-59	5.56670250692088e-57	mRNA_2942	SP	TRUE	0.000211	0.999746	CS pos: 23-24. Pr: 0.9772	TRUE	TRUE	3	3.2.1.174:2	GH78(275-691)	GH78_e52(90-691)	GH78	GH78_e52	pectin	TRUE	TRUE	down	TRUE	TRUE	TRUE
gene_3776	interaction_vs_onu	2612.47695301737	-2.95590049871071	0.184916960566984	-15.9850155964465	1.62526255416648e-57	9.09297219847392e-56	mRNA_3776	SP	TRUE	0.086758	0.913215	CS pos: 27-28. Pr: 0.6527	FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	down	TRUE	TRUE	TRUE
gene_1439	interaction_vs_onu	3522.25300867635	-1.68105702706248	0.105521341150434	-15.9309672217483	3.86334620518471e-57	2.11988740489622e-55	mRNA_1439	SP	TRUE	0.001124	0.998859	CS pos: 20-21. Pr: 0.9476	TRUE	TRUE	3	3.2.1.21:43;3.2.1.-:1	GH3(90-311)	GH3_e16(91-312)	GH3	GH3_e16	beta-glucan;xyloglucan	TRUE	TRUE	down	TRUE	TRUE	TRUE
gene_2946	interaction_vs_onu	3235.13609911483	-1.31952547557764	0.0845593122288685	-15.6047328294986	6.75920886975745e-55	3.46460047455831e-53	mRNA_2946	SP	TRUE	0.000309	0.999666	CS pos: 20-21. Pr: 0.9855	TRUE	TRUE	3	3.2.1.3:94|1.14.99.55:4	GH15(61-460)+CBM20(540-630)	GH15_e31(67-461)+CBM20_e25(541-630)	GH15+CBM20	GH15_e31|CBM20_e25	alpha-glucan	TRUE	TRUE	down	TRUE	TRUE	TRUE
gene_1307	interaction_vs_onu	679.355907960736	-2.21210911346544	0.14869649084366	-14.8766732887548	4.67157508368998e-50	2.07195247235162e-48	mRNA_1307	SP	TRUE	0.000245	0.999735	CS pos: 22-23. Pr: 0.9676	TRUE	TRUE	3	-	GH43_21(77-316)	GH43_e58(79-317)	GH43_21+GH43_21	GH43_21	-	TRUE	TRUE	down	TRUE	TRUE	TRUE
gene_705	interaction_vs_onu	2364.12744061774	-2.01282522511458	0.137746753674173	-14.6125057137515	2.33759844666802e-48	9.71351587547486e-47	mRNA_705	SP	TRUE	0.000273	0.999705	CS pos: 18-19. Pr: 0.9571	TRUE	TRUE	3	-|-	GH35(29-364)	GH35_e22(31-364)+CBM67_e19(734-884)	GH35	GH35_e22|CBM67_e19	rhamnose	TRUE	TRUE	down	TRUE	TRUE	TRUE
gene_2751	interaction_vs_onu	272.937434103413	-2.08291877141318	0.148424750650138	-14.033500223443	9.72316726010479e-45	3.63451142997803e-43	mRNA_2751	SP	TRUE	0.000242	0.999747	CS pos: 22-23. Pr: 0.9788	TRUE	TRUE	3	-	GH16_3(55-328)	GH16_e177(56-328)	GH16_3+GH16_3	GH16_3	-	TRUE	TRUE	down	TRUE	TRUE	TRUE
gene_5650	interaction_vs_onu	1821.87250221578	-1.9619206041924	0.146205873195477	-13.4188905090654	4.6867732068957e-41	1.5196507064783e-39	mRNA_5650	SP	TRUE	0.000244	0.999728	CS pos: 17-18. Pr: 0.9822	FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	down	TRUE	TRUE	TRUE
gene_7979	interaction_vs_onu	17025.6511081037	-2.33394965545709	0.176527917763072	-13.2214195070811	6.60063751070515e-40	2.08985760019364e-38	mRNA_7979	SP	TRUE	0.000211	0.999797	CS pos: 21-22. Pr: 0.9755	TRUE	TRUE	3	3.2.1.21:4;3.2.1.-:5	GH3(103-322)	GH3_e147(103-323)	GH3	GH3_e147	beta-glucan;xyloglucan	TRUE	TRUE	down	TRUE	TRUE	TRUE
gene_6410	interaction_vs_onu	137.270702901074	-3.00394871633917	0.228885919020711	-13.1242180785589	2.39239324287238e-39	7.47404604342611e-38	mRNA_6410	SP	TRUE	0.065298	0.934666	CS pos: 42-43. Pr: 0.8182	TRUE	FALSE	1	-	-	-	GH43_14+CBM91+GH43_14	-	-	TRUE	TRUE	down	TRUE	TRUE	TRUE
gene_3969	interaction_vs_onu	7213.9831653609	-1.3935593605481	0.106480737603601	-13.0874315102507	3.88525126999388e-39	1.2006408256732e-37	mRNA_3969	SP	TRUE	0.000548	0.999416	CS pos: 20-21. Pr: 0.8581	FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	down	TRUE	TRUE	TRUE
gene_4325	interaction_vs_onu	2108.0554363707	-1.91757847731662	0.1491132302977	-12.8598815375955	7.5692582849731e-38	2.20383846664523e-36	mRNA_4325	SP	TRUE	0.002309	0.997654	CS pos: 31-32. Pr: 0.8439	TRUE	TRUE	3	3.2.1.177:12	GH31(262-692)	GH31_e31(262-692)	GH31	GH31_e31	xyloglucan	TRUE	TRUE	down	TRUE	TRUE	TRUE
gene_5837	interaction_vs_onu	185.111339657423	-2.73141633185621	0.218291089893825	-12.5127247895677	6.36043629896663e-36	1.79687573330542e-34	mRNA_5837	SP	TRUE	0.000498	0.999477	CS pos: 22-23. Pr: 0.9719	FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	down	TRUE	TRUE	TRUE
gene_5968	interaction_vs_onu	1680.54041958257	-0.928467824919764	0.07594075785072	-12.2262122633131	2.25196906866131e-34	6.0429013253106e-33	mRNA_5968	SP	TRUE	0.000274	0.999702	CS pos: 19-20. Pr: 0.9798	FALSE	FALSE	0	-	-	-	-	-	-	TRUE	FALSE	down	TRUE	TRUE	FALSE
gene_6139	interaction_vs_onu	161.628297277487	-2.43185336704042	0.199236254062626	-12.2058777830465	2.89172982225902e-34	7.71127952602404e-33	mRNA_6139	SP	TRUE	0.000248	0.999728	CS pos: 18-19. Pr: 0.9715	TRUE	FALSE	1	-	-	-	CBM50+CBM50+CBM50	-	-	TRUE	TRUE	down	TRUE	TRUE	TRUE
gene_390	interaction_vs_onu	975.245639096084	-1.1263414765043	0.0962129494345761	-11.7067555160046	1.17697777551385e-31	2.87855135954244e-30	mRNA_390	SP	TRUE	0.075942	0.924054	CS pos: 43-44. Pr: 0.8447	FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	down	TRUE	TRUE	TRUE
gene_7984	interaction_vs_onu	884.994551257425	-2.04088872089817	0.187376039454744	-10.8919407563372	1.25927694212579e-27	2.50683968013879e-26	mRNA_7984	SP	TRUE	0.240274	0.759714	CS pos: 31-32. Pr: 0.7253	FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	down	TRUE	TRUE	TRUE
gene_33	interaction_vs_onu	1647.41556014433	-1.31548095787004	0.121773717820687	-10.802667286607	3.34347248428522e-27	6.47514128178313e-26	mRNA_33	SP	TRUE	0.000461	0.999504	CS pos: 20-21. Pr: 0.9697	FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	down	TRUE	TRUE	TRUE
gene_7175	interaction_vs_onu	897.888834977281	-1.08176165606748	0.103110893240087	-10.4912451252717	9.4771159356933e-26	1.71873119511726e-24	mRNA_7175	SP	TRUE	0.000274	0.999672	CS pos: 20-21. Pr: 0.9784	FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	down	TRUE	TRUE	TRUE
gene_860	interaction_vs_onu	315.891785360983	-1.67769106145514	0.159959088013851	-10.488250978962	9.78223859196766e-26	1.77031632869436e-24	mRNA_860	SP	TRUE	0.001281	0.998693	CS pos: 19-20. Pr: 0.8303	FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	down	TRUE	TRUE	TRUE
gene_6374	interaction_vs_onu	968.374672435996	-1.22570588956676	0.119464183179357	-10.2600282105185	1.06675570911918e-24	1.81539341353085e-23	mRNA_6374	SP	TRUE	0.000222	0.999768	CS pos: 18-19. Pr: 0.9797	FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	down	TRUE	TRUE	TRUE
gene_8548	interaction_vs_onu	135.107668846134	-2.09533077678589	0.208567997178106	-10.0462717441573	9.5408961812058e-24	1.52654338899293e-22	mRNA_8548	SP	TRUE	0.014526	0.985470	CS pos: 23-24. Pr: 0.4795	TRUE	TRUE	3	3.2.1.78:33	GH5_7(58-333)	GH5_e89(59-334)	GH5_7+GH5_7	GH5_7	beta-mannan	TRUE	TRUE	down	TRUE	TRUE	TRUE
gene_6138	interaction_vs_onu	504.521821778778	-1.18390828523545	0.119730936944352	-9.88807333718352	4.68966354501102e-23	7.27237680168375e-22	mRNA_6138	SP	TRUE	0.000408	0.999544	CS pos: 18-19. Pr: 0.9352	FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	down	TRUE	TRUE	TRUE
gene_830	interaction_vs_onu	1084.16564556298	-0.847120568267786	0.0868955954594929	-9.74871699524377	1.86814269409818e-22	2.81536997561275e-21	mRNA_830	SP	TRUE	0.000292	0.999704	CS pos: 20-21. Pr: 0.9776	FALSE	FALSE	0	-	-	-	-	-	-	TRUE	FALSE	down	TRUE	TRUE	FALSE
gene_1818	interaction_vs_onu	189.330407319777	-2.9161317224164	0.307050527310178	-9.49723730475981	2.15532464322484e-21	3.03946934860043e-20	mRNA_1818	SP	TRUE	0.000237	0.999750	CS pos: 19-20. Pr: 0.9834	FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	down	TRUE	TRUE	TRUE
gene_6220	interaction_vs_onu	5766.24066872857	-0.899656172126216	0.0961005841537895	-9.36160981796425	7.8530918324653e-21	1.07728311035101e-19	mRNA_6220	SP	TRUE	0.000246	0.999752	CS pos: 23-24. Pr: 0.9809	FALSE	FALSE	0	-	-	-	-	-	-	TRUE	FALSE	down	TRUE	TRUE	FALSE
gene_2886	interaction_vs_onu	3781.64597397289	-1.04007126291771	0.111328093575112	-9.3423971391011	9.41773158911565e-21	1.28779205116342e-19	mRNA_2886	SP	TRUE	0.000396	0.999576	CS pos: 36-37. Pr: 0.9584	TRUE	TRUE	3	3.2.1.28:1	GH37(67-644)	GH37_e4(68-645)	GH37	GH37_e4	trehalose	TRUE	TRUE	down	TRUE	TRUE	TRUE
gene_2690	interaction_vs_onu	240.748918396957	-1.74046487544862	0.188256288740215	-9.24518849859184	2.34826434025384e-20	3.13590370554958e-19	mRNA_2690	SP	TRUE	0.004831	0.995142	CS pos: 33-34. Pr: 0.9560	TRUE	TRUE	3	3.2.1.23:2	GH2_1(49-683)	GH2_e127(45-816)	GH2_1+GH2_1	GH2_1	beta-galactan	TRUE	TRUE	down	TRUE	TRUE	TRUE
gene_2795	interaction_vs_onu	184.49541827283	-1.55687395119444	0.17351910026052	-8.97234914690636	2.90256664023295e-19	3.64845380916213e-18	mRNA_2795	SP	TRUE	0.000353	0.999616	CS pos: 36-37. Pr: 0.9552	FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	down	TRUE	TRUE	TRUE
gene_4873	interaction_vs_onu	166.56096030414	-2.49717682003975	0.281561541139447	-8.86902667862222	7.3787999666162e-19	9.11436186352593e-18	mRNA_4873	SP	TRUE	0.000372	0.999592	CS pos: 17-18. Pr: 0.9787	FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	down	TRUE	TRUE	TRUE
gene_5694	interaction_vs_onu	52.5862404946639	-4.83148086706211	0.551302701218672	-8.76375329992394	1.88854879446215e-18	2.25466913257964e-17	mRNA_5694	SP	TRUE	0.000211	0.999762	CS pos: 17-18. Pr: 0.9831	TRUE	TRUE	3	3.2.1.67:7;3.2.1.-:2	GH28(95-443)	GH28_e58(96-443)	GH28	GH28_e58	pectin	TRUE	TRUE	down	TRUE	TRUE	TRUE
gene_5443	interaction_vs_onu	2337.22131810027	-0.608006803013789	0.0729386327957159	-8.33586783449416	7.69318164985446e-17	8.26268945078471e-16	mRNA_5443	SP	TRUE	0.000312	0.999658	CS pos: 18-19. Pr: 0.9788	TRUE	TRUE	3	3.2.1.4:38	GH5_5(49-327)	GH5_e137(50-327)	GH5_5+GH5_5	GH5_5	beta-glucan	TRUE	FALSE	down	TRUE	TRUE	FALSE
gene_1697	interaction_vs_onu	344.290934126861	-1.06403005068017	0.12989554484482	-8.19142836616388	2.58144042824333e-16	2.69148965478232e-15	mRNA_1697	SP	TRUE	0.004638	0.995329	CS pos: 18-19. Pr: 0.9433	FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	down	TRUE	TRUE	TRUE
gene_1805	interaction_vs_onu	125.121371716133	-2.19888357162464	0.279176599069109	-7.87631763893046	3.37170432424019e-15	3.22478089558615e-14	mRNA_1805	SP	TRUE	0.000844	0.999120	CS pos: 15-16. Pr: 0.9692	FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	down	TRUE	TRUE	TRUE
gene_1066	interaction_vs_onu	298.378621492025	-1.41382214980053	0.182756386987048	-7.73610254125196	1.02510793779528e-14	9.45573701242199e-14	mRNA_1066	SP	TRUE	0.000256	0.999741	CS pos: 29-30. Pr: 0.9744	FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	down	TRUE	TRUE	TRUE
gene_1285	interaction_vs_onu	920.25192608256	-0.880726732386678	0.116834904508978	-7.53821587896278	4.76444678880191e-14	4.12077092592576e-13	mRNA_1285	SP	TRUE	0.000194	0.999781	CS pos: 25-26. Pr: 0.9694	TRUE	FALSE	1	-	-	-	CBM1	-	-	TRUE	FALSE	down	TRUE	TRUE	FALSE
gene_7353	interaction_vs_onu	243.131283064329	-1.34611092063051	0.182371149431105	-7.38116157533479	1.56914436487352e-13	1.29776577423356e-12	mRNA_7353	SP	TRUE	0.000384	0.999579	CS pos: 21-22. Pr: 0.9751	TRUE	TRUE	3	1.1.99.18:13	AA8(31-237)	AA8_e5(32-238)	AA8	AA8_e5	lignin	TRUE	TRUE	down	TRUE	TRUE	TRUE
