HMM Name	HMM Length	Target Name	Target Length	i-Evalue	HMM From	HMM To	Target From	Target To	Coverage	HMM File Name
GT35.hmm	674	mRNA_1004	892	3.686476022909649e-276	2	674	160	877	0.9985163204747776	dbCAN
CBM67.hmm	176	mRNA_1054	928	3.8078596011944544e-29	8	169	127	305	0.9204545454545454	dbCAN
GH78.hmm	504	mRNA_1054	928	2.7873680246821128e-158	3	503	332	885	0.9940476190476192	dbCAN
GH43_6.hmm	292	mRNA_1063	322	5.1236686895088e-108	1	292	28	320	1.0	dbCAN
GT1.hmm	382	mRNA_1064	697	2.060261858875509e-24	56	368	236	619	0.819371727748691	dbCAN
CBM21.hmm	107	mRNA_1075	849	4.6801608435826136e-30	3	106	377	483	0.97196261682243	dbCAN
CE1.hmm	227	mRNA_1079	292	9.153649499803403e-24	8	143	36	197	0.5991189427312775	dbCAN
GH31_1.hmm	447	mRNA_1109	1041	5.1196550972716826e-167	1	447	349	910	1.0	dbCAN
GT1.hmm	382	mRNA_1125	1371	8.93959712258949e-48	92	368	517	825	0.725130890052356	dbCAN
AA2.hmm	255	mRNA_1129	362	1.2274997980578469e-58	4	254	94	346	0.984313725490196	dbCAN
GT62.hmm	268	mRNA_1150	573	2.059341934814385e-121	3	268	97	360	0.9925373134328358	dbCAN
GH125.hmm	402	mRNA_1165	541	3.760241594828402e-156	2	402	84	522	0.9975124378109452	dbCAN
GT2.hmm	163	mRNA_1184	1372	3.235291141360713e-77	1	163	689	851	1.0	dbCAN
GT2.hmm	527	mRNA_1184	1372	5.524901968128661e-20	204	405	829	1035	0.3833017077798861	dbCAN
AA1_2.hmm	337	mRNA_1211	622	5.672038490165075e-140	2	335	40	378	0.9910979228486648	dbCAN
GH76.hmm	358	mRNA_1213	476	1.2893005941475095e-97	11	349	27	394	0.946927374301676	dbCAN
AA4.hmm	522	mRNA_1260	599	9.900348978026459e-213	4	522	48	581	0.9942528735632185	dbCAN
AA11.hmm	191	mRNA_127	424	2.4069353310498724e-76	1	187	17	213	0.9790575916230366	dbCAN
GH43_21.hmm	225	mRNA_1307	352	2.577669368089746e-98	1	224	77	316	0.9955555555555556	dbCAN
GH55_2.hmm	740	mRNA_1388	785	8.53617459573e-313	3	739	39	780	0.995945945945946	dbCAN
CBM67.hmm	176	mRNA_14	816	2.3116096979346248e-18	3	90	23	112	0.5	dbCAN
GH78.hmm	504	mRNA_14	816	1.742426530463363e-84	63	492	330	784	0.8531746031746031	dbCAN
AA1_2.hmm	337	mRNA_1403	567	1.7613003644110267e-112	1	336	39	378	0.9970326409495548	dbCAN
GH3.hmm	216	mRNA_1439	875	1.518539041013139e-58	3	216	90	311	0.9907407407407408	dbCAN
GH28.hmm	325	mRNA_1481	489	3.075036197622854e-48	61	309	141	397	0.7661538461538462	dbCAN
PL26.hmm	862	mRNA_1483	918	0.0	2	859	13	912	0.9953596287703016	dbCAN
AA11.hmm	191	mRNA_1487	399	5.33735040956541e-60	2	188	1	203	0.9790575916230366	dbCAN
AA4.hmm	522	mRNA_1492	641	1.3246141530663755e-176	6	522	53	620	0.9904214559386972	dbCAN
AA16.hmm	167	mRNA_1512	197	7.183379324422811e-67	1	167	19	187	1.0	dbCAN
GH3.hmm	216	mRNA_1559	733	7.254659720160705e-61	4	216	72	278	0.9861111111111112	dbCAN
GH131.hmm	255	mRNA_1562	287	2.1114294016692236e-73	3	250	24	282	0.9725490196078432	dbCAN
CE4.hmm	130	mRNA_1571	543	5.4636079202422036e-17	11	128	229	374	0.9076923076923076	dbCAN
AA3_2.hmm	568	mRNA_1572	680	2.10698854846058e-88	2	568	48	675	0.9982394366197184	dbCAN
GH28.hmm	325	mRNA_1575	379	2.863992229405089e-68	4	320	54	373	0.9753846153846154	dbCAN
GT4.hmm	160	mRNA_1588	601	3.1144989659558957e-34	3	159	284	443	0.98125	dbCAN
GH132.hmm	303	mRNA_164	590	1.6148121273263351e-77	48	302	121	379	0.8415841584158416	dbCAN
GH72.hmm	312	mRNA_1666	542	1.9819637700913446e-124	3	311	23	332	0.9903846153846154	dbCAN
GH3.hmm	216	mRNA_1687	809	2.365322179028201e-51	4	216	104	330	0.9861111111111112	dbCAN
