gene_id	contrast	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	mrna_id	signalp_prediction	signalp_is_sp	signalp_other_score	signalp_sp_score	signalp_cs_position	dbcan_any_hit	dbcan_high_confidence	dbcan_n_tools	dbcan_ec	dbcan_hmm	dbcan_sub	dbcan_diamond	dbcan_recommended	dbcan_substrate	de_significant_padj_lt_0.05	de_strong_padj_lt_0.05_abs_log2fc_gt_1	de_direction	dbcan_any_hit_candidate	high_confidence_cazyme	significant_high_confidence_cazyme	strong_high_confidence_cazyme
gene_7824	onu_vs_self	1611.20578382321	-2.56024617250812	0.0939679646149834	-27.2459468819854	1.85618016943103e-163	3.05555812506339e-161	mRNA_7824	OTHER	FALSE	1.000000	0.000000		TRUE	TRUE	3	-	GT8(8-290)	GT8_e176(11-289)	GT8	GT8_e176	-	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_928	onu_vs_self	875.034415699132	-2.5256247952948	0.0950962596027538	-26.5586134075631	2.04246651226041e-155	3.17882060817257e-153	mRNA_928	SP	TRUE	0.000237	0.999737	CS pos: 21-22. Pr: 0.7114	TRUE	TRUE	3	-	GH29(334-701)	GH29_e66(334-702)	GH29	GH29_e66	host glycan	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_4913	onu_vs_self	6577.71996839485	-2.88848164760188	0.12120108607474	-23.8321432682596	1.551202901388e-125	1.77043957811751e-123	mRNA_4913	OTHER	FALSE	1.000000	0.000017		TRUE	TRUE	3	-	AA3_2(13-543)	AA3_e4(14-543)	AA3_2+AA3_2	AA3_2	-	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_7449	onu_vs_self	5936.90701764868	-2.00587576803014	0.0998341312022665	-20.0920841787684	8.65516105903748e-90	6.79708061150099e-88	mRNA_7449	OTHER	FALSE	1.000000	0.000027		TRUE	TRUE	3	-	GT1(227-456)	GT1_e555(19-455)	GT1	GT1_e555	-	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_5169	onu_vs_self	5197.8786493525	-2.4744939036573	0.135124170505527	-18.3127407509679	6.54889733627793e-75	3.83962747935199e-73	mRNA_5169	SP	TRUE	0.000210	0.999781	CS pos: 19-20. Pr: 0.9781	TRUE	TRUE	3	-	GH125(73-523)	GH125_e2(74-524)	GH125	GH125_e2	alpha-mannan	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_8046	onu_vs_self	5837.15455788318	-1.44151268696442	0.0819418367840919	-17.5919010793309	2.84181819965295e-69	1.5593566531429e-67	mRNA_8046	OTHER	FALSE	1.000000	0.000004		TRUE	TRUE	3	2.4.1.25:2;3.2.1.33:2|2.4.1.25:22;3.2.1.33:21	GH13_25(183-329)+GH13_25(514-732)+GH133(1097-1552)	GH13_e153(182-320)+GH133_e0(1099-1553)	GH13_25+GH133+GH13_25	GH13_25|GH13_25|GH133_e0	alpha-glucan	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_5066	onu_vs_self	497.094405599061	-1.87788039781709	0.109613186168413	-17.1318840685084	8.58296161752882e-66	4.42591273771366e-64	mRNA_5066	SP	TRUE	0.000616	0.999349	CS pos: 24-25. Pr: 0.8808	TRUE	TRUE	3	-	GH76(33-415)	GH76_e9(36-405)	GH76	GH76_e9	-	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_7391	onu_vs_self	435.661625386206	-1.68846505014496	0.117210765685047	-14.4053751400444	4.78711499692884e-47	1.70740434890462e-45	mRNA_7391	SP	TRUE	0.000410	0.999587	CS pos: 22-23. Pr: 0.9751	TRUE	TRUE	2	3.2.1.96:4	-	GH18_e82(66-277)	GH18	GH18_e82	host glycan	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_648	onu_vs_self	134.216300760858	-2.68102436819974	0.195773114873919	-13.6945482525849	1.09438867236929e-42	3.43148975658648e-41	mRNA_648	SP	TRUE	0.000210	0.999765	CS pos: 17-18. Pr: 0.9719	TRUE	TRUE	3	3.2.1.4:2;3.2.1.132:6;3.2.1.176:83	GH7(19-452)	GH7_e0(20-452)	GH7	GH7_e0	cellulose;chitosan	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_8563	onu_vs_self	3365.94265863664	-1.57897925533228	0.121498399099273	-12.99588527123	1.29105108125675e-38	3.46438785440684e-37	mRNA_8563	OTHER	FALSE	0.998909	0.001134		TRUE	TRUE	3	3.2.1.26:2	GH32(62-410)	GH32_e120(63-412)	GH32	GH32_e120	fructan	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_3030	onu_vs_self	1802.43760007641	-1.24113355111894	0.101447301797252	-12.2342687201224	2.03933212682495e-34	4.82228812309987e-33	mRNA_3030	OTHER	FALSE	1.000000	0.000005		TRUE	TRUE	3	3.2.1.39:20	GH81(34-729)	GH81_e0(40-730)	GH81	GH81_e0	beta-glucan	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_7144	onu_vs_self	129.184435296324	-2.21407650628739	0.22948471618948	-9.64803470597701	5.01067681582354e-22	7.44642249018221e-21	mRNA_7144	OTHER	FALSE	1.000000	0.000000		TRUE	TRUE	3	-	GH64(2-249)	GH64_e2(1-250)	GH64	GH64_e2	beta-glucan	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_6609	onu_vs_self	2355.63047204195	-1.61056227399441	0.175073571924481	-9.19934548824497	3.60136633663182e-20	4.81682747524506e-19	mRNA_6609	OTHER	FALSE	1.000000	0.000000		TRUE	TRUE	2	-	CE1(23-291)	CE1_e38(27-248)	-	CE1_e38	-	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_3958	onu_vs_self	319.730503704071	-1.03597163309483	0.120037786629634	-8.63037933456092	6.11488321801887e-18	7.17032881455364e-17	mRNA_3958	SP	TRUE	0.000322	0.999657	CS pos: 22-23. Pr: 0.7603	TRUE	TRUE	3	3.2.1.101:1	GH76(30-400)	GH76_e8(32-402)	GH76	GH76_e8	alpha-mannan	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_4069	onu_vs_self	196.793354204685	-1.29041702703419	0.160259784486086	-8.05203271158913	8.14301347258333e-16	8.32786085129191e-15	mRNA_4069	OTHER	FALSE	0.999615	0.000395		TRUE	TRUE	3	-	GT69(150-426)	GT69_e6(151-426)	GT69	GT69_e6	-	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_5659	onu_vs_self	2849.55633332275	-1.04926998406777	0.132362613245397	-7.92723835183318	2.24072964792683e-15	2.21741569783279e-14	mRNA_5659	SP	TRUE	0.000320	0.999622	CS pos: 21-22. Pr: 0.9787	TRUE	TRUE	3	3.2.1.21:10;3.2.1.37:4	GH3(89-302)	GH3_e32(89-303)	GH3	GH3_e32	beta-glucan;xylan	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_3037	onu_vs_self	505.171221222373	-1.17293399281044	0.149494432465971	-7.84600451978326	4.29501470177063e-15	4.16368356139939e-14	mRNA_3037	SP	TRUE	0.000218	0.999759	CS pos: 22-23. Pr: 0.9763	TRUE	TRUE	3	3.2.1.113:12	GH47(46-519)	GH47_e16(47-519)	GH47	GH47_e16	host glycan	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_1063	onu_vs_self	473.859450460785	-1.11635004246333	0.145399375995425	-7.67781866201721	1.61820334255628e-14	1.50399789492745e-13	mRNA_1063	SP	TRUE	0.000211	0.999780	CS pos: 16-17. Pr: 0.9770	TRUE	TRUE	3	3.2.1.99:9	GH43_6(28-320)	GH43_e141(31-320)	GH43_6+GH43_6	GH43_6	arabinan	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_3431	onu_vs_self	214.040515801108	-1.17183450281909	0.172448790298586	-6.79526078895723	1.081167720444e-11	7.89658335068313e-11	mRNA_3431	OTHER	FALSE	0.997501	0.002525		TRUE	TRUE	3	-	GT71(218-447)	GT71_e18(219-448)	GT71	GT71_e18	-	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_1754	onu_vs_self	72.3102673081125	-1.78891475144088	0.279314231523623	-6.40466739443451	1.50697535351619e-10	9.96886323500663e-10	mRNA_1754	SP	TRUE	0.000444	0.999534	CS pos: 15-16. Pr: 0.9563	TRUE	TRUE	3	3.1.1.-:10	CE15(41-360)	CE15_e22(42-361)	CE15	CE15_e22	-	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_4862	onu_vs_self	1382.10653252565	-1.18115400276898	0.193146903840614	-6.1153141949595	9.63669054512069e-10	5.90057732948735e-09	mRNA_4862	SP	TRUE	0.000476	0.999516	CS pos: 27-28. Pr: 0.9125	TRUE	TRUE	3	3.2.1.26:1|3.2.1.26:1	CBM38(40-168)+GH32(224-517)	CBM38_e5(42-169)+GH32_e104(225-524)	CBM38+GH32	CBM38_e5|GH32_e104	fructan	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_3529	onu_vs_self	538.858983177747	-1.15362903630055	0.190156813110692	-6.06672470698702	1.30545035885254e-09	7.85288480096822e-09	mRNA_3529	OTHER	FALSE	1.000000	0.000003		TRUE	TRUE	3	2.4.1.173:23;2.4.1.-:3	GT1(326-556)	GT1_e153(78-557)	GT1	GT1_e153	-	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_5712	onu_vs_self	292.141091307006	-1.44264139075499	0.248704772893405	-5.80061803386983	6.60709470130059e-09	3.73065505561564e-08	mRNA_5712	SP	TRUE	0.000667	0.999305	CS pos: 21-22. Pr: 0.9782	TRUE	TRUE	3	3.2.1.131:6	GH115(36-757)	GH115_e0(38-1067)	GH115	GH115_e0	xylan	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_2448	onu_vs_self	669.301961341156	-1.24450868133573	0.231184659933546	-5.38318018891678	7.31812137496463e-08	3.63570046254772e-07	mRNA_2448	OTHER	FALSE	0.862612	0.137411		TRUE	TRUE	3	-	CE16(43-333)	CE16_e2(42-334)	CE16	CE16_e2	xylan	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_8531	onu_vs_self	11.6341228709754	-1.82755379793261	0.551367372539235	-3.3145845926938	0.000917794050145841	0.00245125785927209	mRNA_8531	SP	TRUE	0.000530	0.999486	CS pos: 16-17. Pr: 0.9695	TRUE	TRUE	3	1.14.99.55:5|1.14.99.55:4	AA13(17-248)+CBM20(289-379)	AA13_e0(18-249)+CBM20_e25(290-379)	CBM20+AA13	AA13_e0|CBM20_e25	alpha-glucan	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
gene_2958	onu_vs_self	14.2359853843173	-1.11177626333363	0.442417485881334	-2.51295732834537	0.0119723815347013	0.0251185259649615	mRNA_2958	SP	TRUE	0.000337	0.999617	CS pos: 16-17. Pr: 0.9622	TRUE	TRUE	3	1.14.99.54:5;1.14.99.56:1	AA9(5-214)	AA9_e7(7-215)	AA9	AA9_e7	cellulose	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE
