gene_id	contrast	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	mrna_id	signalp_prediction	signalp_is_sp	signalp_other_score	signalp_sp_score	signalp_cs_position	dbcan_any_hit	dbcan_high_confidence	dbcan_n_tools	dbcan_ec	dbcan_hmm	dbcan_sub	dbcan_diamond	dbcan_recommended	dbcan_substrate	de_significant_padj_lt_0.05	de_strong_padj_lt_0.05_abs_log2fc_gt_1	de_direction	signalp_positive_candidate	significant_signalp_candidate	strong_signalp_candidate
gene_3809	interaction_vs_self	11257.1832101299	5.28800999349957	0.0820687694155313	64.4338891780535	0	0	mRNA_3809	SP	TRUE	0.000280	0.999686	CS pos: 26-27. Pr: 0.9674	FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	up	TRUE	TRUE	TRUE
gene_4899	interaction_vs_self	11339.2835033494	2.21287216652545	0.0534667247440748	41.3878384568653	0	0	mRNA_4899	SP	TRUE	0.000503	0.999470	CS pos: 18-19. Pr: 0.9737	FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	up	TRUE	TRUE	TRUE
gene_3064	interaction_vs_self	5260.92854873376	2.32880510016915	0.0644313944497963	36.1439500115694	4.63071107331375e-286	4.95486084844571e-283	mRNA_3064	SP	TRUE	0.325740	0.674224	CS pos: 30-31. Pr: 0.2090	FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	up	TRUE	TRUE	TRUE
gene_1109	interaction_vs_self	27494.895952857	-3.05514787792985	0.0909583652042198	-33.5884211536831	2.4759966283837e-247	1.11550163889286e-244	mRNA_1109	SP	TRUE	0.000358	0.999610	CS pos: 18-19. Pr: 0.9816	TRUE	TRUE	3	3.2.1.20:20	GH31_1(349-910)	GH31_e82(350-911)	GH31_1+GH31_1	GH31_1	alpha-glucan	TRUE	TRUE	down	TRUE	TRUE	TRUE
gene_1514	interaction_vs_self	1870.32807449344	2.54803403615316	0.0795351180556559	32.036590860029	3.37510663586159e-225	1.2037880334573e-222	mRNA_1514	SP	TRUE	0.168104	0.831881	CS pos: 36-37. Pr: 0.6060	TRUE	FALSE	1	-	-	-	CBM1+AA9	-	-	TRUE	TRUE	up	TRUE	TRUE	TRUE
gene_107	interaction_vs_self	43463.7313789275	2.38557679198609	0.0760631349810604	31.3631142416113	6.44609625065555e-216	2.04365125576339e-213	mRNA_107	SP	TRUE	0.000212	0.999757	CS pos: 24-25. Pr: 0.9591	FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	up	TRUE	TRUE	TRUE
gene_2947	interaction_vs_self	1030.53678945043	-3.77128107430271	0.124303367070502	-30.3393316141126	3.47414231307444e-202	9.01171460603551e-200	mRNA_2947	SP	TRUE	0.000223	0.999760	CS pos: 18-19. Pr: 0.9771	TRUE	TRUE	3	3.2.1.1:16|1.14.99.55:4	GH13_1(57-361)+CBM20(527-617)	GH13_e19(58-362)+CBM20_e25(529-618)	GH13_1+CBM20+GH13_1	GH13_1|CBM20_e25	alpha-glucan	TRUE	TRUE	down	TRUE	TRUE	TRUE
gene_636	interaction_vs_self	578.912871531249	3.75871880186856	0.131394552809294	28.6063517969727	5.60128892469097e-180	1.14159602846083e-177	mRNA_636	SP	TRUE	0.000721	0.999233	CS pos: 15-16. Pr: 0.9376	TRUE	TRUE	3	3.1.1.-:1	CE12(18-235)	CE12_e43(19-235)	CE12	CE12_e43	xylan	TRUE	TRUE	up	TRUE	TRUE	TRUE
gene_1516	interaction_vs_self	8225.04538804096	2.0899688728925	0.0752449431664789	27.7755392580796	8.56715865463914e-170	1.52780996007731e-167	mRNA_1516	SP	TRUE	0.000401	0.999565	CS pos: 19-20. Pr: 0.9757	FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	up	TRUE	TRUE	TRUE
gene_2318	interaction_vs_self	7986.01594693916	1.90896163125336	0.0726663161089394	26.2702409241648	4.19747477804077e-152	6.19489381034982e-150	mRNA_2318	SP	TRUE	0.000205	0.999738	CS pos: 20-21. Pr: 0.9784	TRUE	TRUE	3	-	GH17(72-302)	GH17_e7(72-313)	GH17	GH17_e7	-	TRUE	TRUE	up	TRUE	TRUE	TRUE
gene_7288	interaction_vs_self	4326.66385629582	2.07575521345052	0.0791905594010099	26.2121549481573	1.93160402963632e-151	2.75575508228115e-149	mRNA_7288	SP	TRUE	0.000367	0.999610	CS pos: 18-19. Pr: 0.9352	FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	up	TRUE	TRUE	TRUE
gene_5065	interaction_vs_self	1701.16694549723	1.72246919456232	0.0666711099694472	25.835316006463	3.55802533071261e-147	4.99290111981966e-145	mRNA_5065	SP	TRUE	0.000248	0.999746	CS pos: 24-25. Pr: 0.9343	TRUE	TRUE	3	1.10.3.2:1	AA1(73-249)+AA1(335-626)	AA1_e8(74-626)	AA1	AA1_e8	lignin	TRUE	TRUE	up	TRUE	TRUE	TRUE
gene_7289	interaction_vs_self	1309.02644108875	2.8129122321757	0.111481508573925	25.2320969473643	1.78083442707646e-140	2.30968828723857e-138	mRNA_7289	SP	TRUE	0.000387	0.999594	CS pos: 17-18. Pr: 0.9750	FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	up	TRUE	TRUE	TRUE
