gene_id	contrast	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	shrunk_log2FoldChange	shrunk_lfcSE	mrna_id	eggnog_annotated	eggnog_seed_ortholog	eggnog_evalue	eggnog_score	eggnog_eggnog_ogs	eggnog_max_annot_lvl	eggnog_cog_category	eggnog_description	eggnog_preferred_name	eggnog_gos	eggnog_ec	eggnog_kegg_ko	eggnog_kegg_pathway	eggnog_kegg_module	eggnog_kegg_reaction	eggnog_kegg_rclass	eggnog_brite	eggnog_kegg_tc	eggnog_cazy	eggnog_bigg_reaction	eggnog_pfams	signalp_prediction	signalp_is_sp	signalp_other_score	signalp_sp_score	signalp_cs_position	dbcan_any_hit	dbcan_high_confidence	dbcan_n_tools	dbcan_ec	dbcan_hmm	dbcan_sub	dbcan_diamond	dbcan_recommended	dbcan_substrate	de_significant_padj_lt_0.05	de_significant_raw_lfc1	de_significant_shrunk_lfc1	de_direction	dbcan_any_hit_candidate	high_confidence_cazyme	significant_high_confidence_cazyme	significant_raw_lfc1_high_confidence_cazyme	significant_shrunk_lfc1_high_confidence_cazyme
gene_7824	onu_vs_self	1611.20578382321	-2.56024639910731	0.0939539682988653	-27.2500081206068	1.6614845610564597e-163	2.7350592005083297e-161	-2.553687804743385	0.0940944396954794	mRNA_7824	TRUE	61273.S3BWJ8	1.58e-240	661.0	COG5597@1|root,KOG1950@2759|Eukaryota,39TYB@33154|Opisthokonta,3NVI2@4751|Fungi,3QNBA@4890|Ascomycota,215M2@147550|Sordariomycetes,3UVHP@5151|Ophiostomatales	4751|Fungi	G	glycosyl transferase family													Glyco_transf_8	OTHER	FALSE	1.000000	0.000000		TRUE	TRUE	3	-	GT8(8-290)	GT8_e176(11-289)	GT8	GT8_e176	-	TRUE	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE	TRUE
gene_928	onu_vs_self	875.034415699132	-2.52562326318011	0.095075232572164	-26.5644710494199	1.7477866927203398e-155	2.7201916526701894e-153	-2.518707716768547	0.09511478472380966	mRNA_928	TRUE	61273.S3CAW0	0.0	1450.0	COG3669@1|root,KOG3340@2759|Eukaryota,38H5D@33154|Opisthokonta,3NWGI@4751|Fungi,3QQFF@4890|Ascomycota,212AB@147550|Sordariomycetes,3UV8W@5151|Ophiostomatales	4751|Fungi	G	Alpha-L-fucosidase													Alpha_L_fucos	SP	TRUE	0.000237	0.999737	CS pos: 21-22. Pr: 0.7114	TRUE	TRUE	3	-	GH29(334-701)	GH29_e66(334-702)	GH29	GH29_e66	host glycan	TRUE	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE	TRUE
gene_4913	onu_vs_self	6577.71996839485	-2.88848167133585	0.121202634984511	-23.8318389010684	1.56251561837219e-125	1.78335115910212e-123	-2.878563270335279	0.12137002861310126	mRNA_4913	TRUE	61273.S3C544	0.0	1096.0	COG2303@1|root,KOG1238@2759|Eukaryota,38UEK@33154|Opisthokonta,3NW9R@4751|Fungi,3QQIA@4890|Ascomycota,211C2@147550|Sordariomycetes,3UTB1@5151|Ophiostomatales	4751|Fungi	E	GMC oxidoreductase													GMC_oxred_C,GMC_oxred_N	OTHER	FALSE	1.000000	0.000017		TRUE	TRUE	3	-	AA3_2(13-543)	AA3_e4(14-543)	AA3_2+AA3_2	AA3_2	-	TRUE	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE	TRUE
gene_7449	onu_vs_self	5936.90701764868	-2.00587585350726	0.0998282801938467	-20.0932626467394	8.45213321146212e-90	6.63763855872621e-88	-1.9963293379118248	0.09998301472758175	mRNA_7449	TRUE	61273.S3CQG8	4.15e-270	759.0	2CWGJ@1|root,2RUGG@2759|Eukaryota,38WDJ@33154|Opisthokonta,3Q1EA@4751|Fungi,3R7UQ@4890|Ascomycota,21JSV@147550|Sordariomycetes,3USHF@5151|Ophiostomatales	4751|Fungi															UDPGT	OTHER	FALSE	1.000000	0.000027		TRUE	TRUE	3	-	GT1(227-456)	GT1_e555(19-455)	GT1	GT1_e555	-	TRUE	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE	TRUE
gene_5169	onu_vs_self	5197.8786493525	-2.47449383838042	0.135130467555421	-18.3118868982345	6.65240911700571e-75	3.9003165781896503e-73	-2.4602923266277323	0.1354071499193725	mRNA_5169	TRUE	61273.S3CKE7	0.0	935.0	COG3538@1|root,2QR7D@2759|Eukaryota,38C0G@33154|Opisthokonta,3NWZ6@4751|Fungi,3QPDT@4890|Ascomycota,216N3@147550|Sordariomycetes,3UQ71@5151|Ophiostomatales	4751|Fungi	S	Metal-independent alpha-mannosidase (GH125)				ko:K09704					ko00000				Glyco_hydro_125	SP	TRUE	0.000210	0.999781	CS pos: 19-20. Pr: 0.9781	TRUE	TRUE	3	-	GH125(73-523)	GH125_e2(74-524)	GH125	GH125_e2	alpha-mannan	TRUE	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE	TRUE
gene_8046	onu_vs_self	5837.15455788318	-1.4415124513172899	0.0819290426670107	-17.5946453710697	2.70745205310496e-69	1.4856275368319502e-67	-1.433863447991105	0.08205729011710874	mRNA_8046	TRUE	61273.S3BXP7	0.0	2972.0	COG3408@1|root,KOG3625@2759|Eukaryota,38BRH@33154|Opisthokonta,3NU7F@4751|Fungi,3QMYJ@4890|Ascomycota,215QW@147550|Sordariomycetes,3URFC@5151|Ophiostomatales	4751|Fungi	G	Glycogen debranching enzyme, glucanotransferase domain	GDB1	GO:0000272,GO:0003674,GO:0003824,GO:0004133,GO:0004134,GO:0004135,GO:0004553,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005975,GO:0005976,GO:0005977,GO:0005980,GO:0006073,GO:0006091,GO:0006112,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009251,GO:0009987,GO:0015926,GO:0015980,GO:0016052,GO:0016740,GO:0016757,GO:0016758,GO:0016787,GO:0016798,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044042,GO:0044237,GO:0044238,GO:0044247,GO:0044248,GO:0044260,GO:0044262,GO:0044264,GO:0044275,GO:0044424,GO:0044444,GO:0044464,GO:0055114,GO:0071704,GO:0090599,GO:1901575	2.4.1.25,3.2.1.33	ko:K01196	ko00500,ko01100,ko01110,map00500,map01100,map01110		R02109,R02111	RC00049	ko00000,ko00001,ko01000		GH13		GDE_C,hDGE_amylase,hGDE_N,hGDE_central	OTHER	FALSE	1.000000	0.000004		TRUE	TRUE	3	2.4.1.25:2;3.2.1.33:2|2.4.1.25:22;3.2.1.33:21	GH13_25(183-329)+GH13_25(514-732)+GH133(1097-1552)	GH13_e153(182-320)+GH133_e0(1099-1553)	GH13_25+GH133+GH13_25	GH13_25|GH13_25|GH133_e0	alpha-glucan	TRUE	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE	TRUE
gene_5066	onu_vs_self	497.094405599061	-1.87788027384918	0.109592101870123	-17.1351789207824	8.11030568412376e-66	4.18218172627105e-64	-1.8661794326036525	0.10989884618136267	mRNA_5066	TRUE	61273.S3BPE0	4e-285	785.0	2EGDN@1|root,2SMCE@2759|Eukaryota,38DHA@33154|Opisthokonta,3NWGR@4751|Fungi,3QNH8@4890|Ascomycota,216IS@147550|Sordariomycetes,3USP5@5151|Ophiostomatales	4751|Fungi	G	Glycosyl hydrolase family 76			3.2.1.101	ko:K08257					ko00000,ko00537,ko01000		GH76		Glyco_hydro_76	SP	TRUE	0.000616	0.999349	CS pos: 24-25. Pr: 0.8808	TRUE	TRUE	3	-	GH76(33-415)	GH76_e9(36-405)	GH76	GH76_e9	-	TRUE	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE	TRUE
gene_7391	onu_vs_self	435.661625386206	-1.68846746407795	0.1171922440819	-14.4076724300795	4.63054239149216e-47	1.6515601196322e-45	-1.674061554859589	0.11745446253541436	mRNA_7391	TRUE	61273.S3C2C5	1.14e-207	584.0	2CXWE@1|root,2S094@2759|Eukaryota,3A2R2@33154|Opisthokonta,3P32I@4751|Fungi,3QRGZ@4890|Ascomycota,214B8@147550|Sordariomycetes,3UV37@5151|Ophiostomatales	4751|Fungi	G	Glycosyl hydrolases family 18			3.2.1.14	ko:K01183	ko00520,ko01100,map00520,map01100		R01206,R02334	RC00467	ko00000,ko00001,ko01000		GH18		Glyco_hydro_18	SP	TRUE	0.000410	0.999587	CS pos: 22-23. Pr: 0.9751	TRUE	TRUE	2	3.2.1.96:4	-	GH18_e82(66-277)	GH18	GH18_e82	host glycan	TRUE	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE	TRUE
gene_648	onu_vs_self	134.216300760858	-2.68102503553693	0.195752247380958	-13.6960115217443	1.0725621318145099e-42	3.36305195909605e-41	-2.653891518021394	0.1962644066483044	mRNA_648	TRUE	61273.S3CBW1	3.45e-304	832.0	2C38W@1|root,2QPHV@2759|Eukaryota,38HWR@33154|Opisthokonta,3NVUF@4751|Fungi,3QQ4I@4890|Ascomycota,215HC@147550|Sordariomycetes,3UPSQ@5151|Ophiostomatales	4751|Fungi	G	Glycosyl hydrolase family 7	cbhA	GO:0000272,GO:0003674,GO:0003824,GO:0004553,GO:0005975,GO:0005976,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009251,GO:0016052,GO:0016162,GO:0016787,GO:0016798,GO:0043170,GO:0044042,GO:0044238,GO:0071704,GO:1901575	3.2.1.91	ko:K01225	ko00500,ko01100,map00500,map01100		R02886,R06200,R11308	RC00799	ko00000,ko00001,ko01000		GH7		CBM_1,Glyco_hydro_7	SP	TRUE	0.000210	0.999765	CS pos: 17-18. Pr: 0.9719	TRUE	TRUE	3	3.2.1.4:2;3.2.1.132:6;3.2.1.176:83	GH7(19-452)	GH7_e0(20-452)	GH7	GH7_e0	cellulose;chitosan	TRUE	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE	TRUE
gene_6009	onu_vs_self	43268.8333303399	-0.907992439545503	0.0686076013338183	-13.2345749143387	5.54093405921392e-40	1.54496402432805e-38	-0.8935582838865312	0.0687160803357251	mRNA_6009	TRUE	29908.U7PY51	0.0	1304.0	COG0685@1|root,2QTDY@2759|Eukaryota,39TPQ@33154|Opisthokonta,3NY0U@4751|Fungi,3QQ6U@4890|Ascomycota,217IG@147550|Sordariomycetes,3UPKU@5151|Ophiostomatales	4751|Fungi	Q	Bifunctional enzyme with both catalase and broad- spectrum peroxidase activity. Confers resistance to H(2)O(2) in hyphae. May play an antioxidative role in fungal defense against the host-produced H(2)O(2) (oxidative burst) at the early stage of plant infection	katG	GO:0000003,GO:0000302,GO:0003674,GO:0003824,GO:0004096,GO:0004601,GO:0005488,GO:0005575,GO:0005576,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006950,GO:0006979,GO:0007154,GO:0008150,GO:0008152,GO:0009056,GO:0009266,GO:0009267,GO:0009408,GO:0009605,GO:0009628,GO:0009636,GO:0009987,GO:0009991,GO:0010035,GO:0016209,GO:0016491,GO:0016684,GO:0016999,GO:0017001,GO:0017144,GO:0019953,GO:0020037,GO:0022414,GO:0031667,GO:0031668,GO:0031669,GO:0033554,GO:0034599,GO:0034605,GO:0034614,GO:0035690,GO:0042221,GO:0042493,GO:0042542,GO:0042594,GO:0042737,GO:0042743,GO:0042744,GO:0044237,GO:0044248,GO:0044424,GO:0044444,GO:0044464,GO:0044703,GO:0046677,GO:0046906,GO:0048037,GO:0050896,GO:0051186,GO:0051187,GO:0051704,GO:0051716,GO:0055114,GO:0070301,GO:0070887,GO:0071236,GO:0071496,GO:0072593,GO:0097159,GO:0097237,GO:0098754,GO:0098869,GO:1901363,GO:1901700,GO:1901701,GO:1990748	1.11.1.21	ko:K03782	ko00360,ko00380,ko00940,ko00983,ko01100,ko01110,map00360,map00380,map00940,map00983,map01100,map01110		R00602,R00698,R02596,R02670,R03919,R04007,R07443,R11906	RC00034,RC00213,RC00767,RC02141	ko00000,ko00001,ko01000				peroxidase	OTHER	FALSE	1.000000	0.000000		TRUE	TRUE	2	-	-	AA2_e1(62-175)	AA0	AA2_e1	lignin	TRUE	FALSE	FALSE	down	TRUE	TRUE	TRUE	FALSE	FALSE
