gene_id	contrast	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	shrunk_log2FoldChange	shrunk_lfcSE	mrna_id	eggnog_annotated	eggnog_seed_ortholog	eggnog_evalue	eggnog_score	eggnog_eggnog_ogs	eggnog_max_annot_lvl	eggnog_cog_category	eggnog_description	eggnog_preferred_name	eggnog_gos	eggnog_ec	eggnog_kegg_ko	eggnog_kegg_pathway	eggnog_kegg_module	eggnog_kegg_reaction	eggnog_kegg_rclass	eggnog_brite	eggnog_kegg_tc	eggnog_cazy	eggnog_bigg_reaction	eggnog_pfams	signalp_prediction	signalp_is_sp	signalp_other_score	signalp_sp_score	signalp_cs_position	dbcan_any_hit	dbcan_high_confidence	dbcan_n_tools	dbcan_ec	dbcan_hmm	dbcan_sub	dbcan_diamond	dbcan_recommended	dbcan_substrate	de_significant_padj_lt_0.05	de_significant_raw_lfc1	de_significant_shrunk_lfc1	de_direction	dbcan_any_hit_candidate	high_confidence_cazyme	significant_high_confidence_cazyme	significant_raw_lfc1_high_confidence_cazyme	significant_shrunk_lfc1_high_confidence_cazyme
gene_6247	interaction_vs_self	13971.3211844893	3.02957159591862	0.10315886217165	29.3680206638729	1.40692984008648e-189	3.16929458714218e-187	3.0145289787562297	0.10339163084539271	mRNA_6247	TRUE	29908.U7Q6A0	0.0	1113.0	COG0438@1|root,2QV2X@2759|Eukaryota,39K4D@33154|Opisthokonta,3Q4H9@4751|Fungi,3RMQK@4890|Ascomycota,21RBH@147550|Sordariomycetes,3UQHD@5151|Ophiostomatales	4751|Fungi	H	Glycosyl transferases group 1			2.4.1.231	ko:K22248					ko00000,ko01000		GT4		Glycos_transf_1	OTHER	FALSE	0.999797	0.000204		TRUE	TRUE	3	2.4.1.231:3	GT4(454-621)	GT4_e3141(454-622)	GT4	GT4_e3141	-	TRUE	TRUE	TRUE	up	TRUE	TRUE	TRUE	TRUE	TRUE
gene_636	interaction_vs_self	578.912871531249	3.75872090830742	0.131373624664497	28.6109248938398	4.91360161817778e-180	1.0014388059905198e-177	3.7502362807656144	0.13146135610180426	mRNA_636	TRUE	61273.S3CBX0	3.08e-161	455.0	COG2755@1|root,2RY37@2759|Eukaryota,3A02V@33154|Opisthokonta,3P1TC@4751|Fungi,3QP4G@4890|Ascomycota,217RG@147550|Sordariomycetes,3UUUW@5151|Ophiostomatales	4751|Fungi	G	GDSL-like Lipase/Acylhydrolase family		GO:0000272,GO:0003674,GO:0003824,GO:0005975,GO:0005976,GO:0008126,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009987,GO:0010393,GO:0016052,GO:0016787,GO:0016788,GO:0017144,GO:0034338,GO:0042737,GO:0043170,GO:0044237,GO:0044238,GO:0044248,GO:0045488,GO:0045490,GO:0046575,GO:0052689,GO:0071704,GO:1901575	3.1.1.86	ko:K15530					ko00000,ko01000				Lipase_GDSL_2	SP	TRUE	0.000721	0.999233	CS pos: 15-16. Pr: 0.9376	TRUE	TRUE	3	3.1.1.-:1	CE12(18-235)	CE12_e43(19-235)	CE12	CE12_e43	xylan	TRUE	TRUE	TRUE	up	TRUE	TRUE	TRUE	TRUE	TRUE
gene_2318	interaction_vs_self	7986.01594693916	1.90896226039977	0.0726496157766061	26.2762884564969	3.5800084738491096e-152	5.19404619256752e-150	1.9045403545163442	0.0727140975621161	mRNA_2318	TRUE	61273.S3CAB4	2.72e-204	578.0	COG5309@1|root,2SI3D@2759|Eukaryota,38KPK@33154|Opisthokonta,3NYGC@4751|Fungi,3QPBE@4890|Ascomycota,213TW@147550|Sordariomycetes,3UT27@5151|Ophiostomatales	4751|Fungi	O	gpi-anchored cell wall	eglC	GO:0003674,GO:0003824,GO:0005975,GO:0008150,GO:0008152,GO:0016740,GO:0016757,GO:0016787,GO:0016798,GO:0044238,GO:0071704	3.2.1.39	ko:K01199	ko00500,map00500		R00308	RC00467	ko00000,ko00001,ko00537,ko01000		GH17		Glyco_hydro_17	SP	TRUE	0.000205	0.999738	CS pos: 20-21. Pr: 0.9784	TRUE	TRUE	3	-	GH17(72-302)	GH17_e7(72-313)	GH17	GH17_e7	-	TRUE	TRUE	TRUE	up	TRUE	TRUE	TRUE	TRUE	TRUE
gene_5065	interaction_vs_self	1701.16694549723	1.72247037857217	0.0666428135148588	25.8463034155682	2.6774322746256896e-147	3.75718365095015e-145	1.7181918222221138	0.06670079122395212	mRNA_5065	TRUE	61273.S3CJC5	0.0	1156.0	COG2132@1|root,KOG1263@2759|Eukaryota,39Y4Z@33154|Opisthokonta,3NYZG@4751|Fungi,3RJIT@4890|Ascomycota,2124V@147550|Sordariomycetes	4751|Fungi	Q	Belongs to the multicopper oxidase family													Cu-oxidase,Cu-oxidase_2,Cu-oxidase_3	SP	TRUE	0.000248	0.999746	CS pos: 24-25. Pr: 0.9343	TRUE	TRUE	3	1.10.3.2:1	AA1(73-249)+AA1(335-626)	AA1_e8(74-626)	AA1	AA1_e8	lignin	TRUE	TRUE	TRUE	up	TRUE	TRUE	TRUE	TRUE	TRUE
gene_6562	interaction_vs_self	4750.87279296434	1.65236617778894	0.0700652277063595	23.583255658769	5.72518233434518e-123	6.5343414375992996e-121	1.647635292645245	0.0701241121448929	mRNA_6562	TRUE	61273.S3CR41	1.01e-280	772.0	28JKR@1|root,2QRZZ@2759|Eukaryota,38F5F@33154|Opisthokonta,3NYHJ@4751|Fungi,3QMNE@4890|Ascomycota,2151U@147550|Sordariomycetes,3UTDP@5151|Ophiostomatales	4751|Fungi	G	Splits internally a 1,3-beta-glucan molecule and transfers the newly generated reducing end (the donor) to the non- reducing end of another 1,3-beta-glucan molecule (the acceptor) forming a 1,3-beta linkage, resulting in the elongation of 1,3- beta-glucan chains in the cell wall	GAS5	GO:0000003,GO:0000271,GO:0003006,GO:0003674,GO:0003824,GO:0005575,GO:0005576,GO:0005618,GO:0005622,GO:0005623,GO:0005628,GO:0005737,GO:0005783,GO:0005886,GO:0005975,GO:0005976,GO:0006073,GO:0006074,GO:0006075,GO:0007049,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009250,GO:0009272,GO:0009277,GO:0009653,GO:0009897,GO:0009986,GO:0009987,GO:0010383,GO:0010927,GO:0012505,GO:0016020,GO:0016021,GO:0016043,GO:0016051,GO:0016740,GO:0019953,GO:0022402,GO:0022413,GO:0022414,GO:0022607,GO:0030154,GO:0030312,GO:0030435,GO:0030437,GO:0030445,GO:0030446,GO:0031224,GO:0031225,GO:0031226,GO:0031233,GO:0031321,GO:0031362,GO:0031505,GO:0032502,GO:0032505,GO:0032989,GO:0033692,GO:0034293,GO:0034406,GO:0034407,GO:0034408,GO:0034410,GO:0034411,GO:0034412,GO:0034637,GO:0034645,GO:0035690,GO:0042123,GO:0042124,GO:0042221,GO:0042493,GO:0042546,GO:0042763,GO:0042764,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043934,GO:0043935,GO:0044036,GO:0044038,GO:0044042,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044262,GO:0044264,GO:0044424,GO:0044425,GO:0044444,GO:0044459,GO:0044464,GO:0044703,GO:0045229,GO:0046658,GO:0048468,GO:0048646,GO:0048856,GO:0048869,GO:0050896,GO:0051273,GO:0051274,GO:0051278,GO:0051321,GO:0051704,GO:0051716,GO:0070589,GO:0070590,GO:0070591,GO:0070592,GO:0070879,GO:0070880,GO:0070887,GO:0071554,GO:0071555,GO:0071704,GO:0071840,GO:0071852,GO:0071944,GO:0071966,GO:0071969,GO:0071970,GO:0098552,GO:1901576,GO:1903046											Glyco_hydro_72	SP	TRUE	0.000783	0.999193	CS pos: 33-34. Pr: 0.4477	TRUE	TRUE	3	2.4.1.-:26	GH72(35-334)	GH72_e0(38-334)	GH72	GH72_e0	beta-glucan	TRUE	TRUE	TRUE	up	TRUE	TRUE	TRUE	TRUE	TRUE
gene_1575	interaction_vs_self	935.456501955207	3.23439115271231	0.140816412215335	22.9688507314497	9.550437770778509e-117	9.08352747976267e-115	3.2228644639602892	0.14134100132913074	mRNA_1575	TRUE	61273.S3BLS4	1.69e-220	614.0	COG5434@1|root,2SHAF@2759|Eukaryota,39705@33154|Opisthokonta,3NXXU@4751|Fungi,3R2AQ@4890|Ascomycota,21S4K@147550|Sordariomycetes,3UUK6@5151|Ophiostomatales	4751|Fungi	G	Glycosyl hydrolases family 28		GO:0000272,GO:0003674,GO:0003824,GO:0004553,GO:0004650,GO:0005575,GO:0005576,GO:0005975,GO:0005976,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009987,GO:0010393,GO:0016052,GO:0016787,GO:0016798,GO:0017144,GO:0042737,GO:0043170,GO:0044237,GO:0044238,GO:0044248,GO:0045488,GO:0045490,GO:0071704,GO:1901575	3.2.1.15	ko:K01184	ko00040,ko01100,map00040,map01100	M00081	R01982,R02360	RC00049	ko00000,ko00001,ko00002,ko01000				Glyco_hydro_28	SP	TRUE	0.000258	0.999676	CS pos: 17-18. Pr: 0.9798	TRUE	TRUE	3	3.2.1.15:80	GH28(54-373)	GH28_e75(56-372)	GH28	GH28_e75	pectin	TRUE	TRUE	TRUE	up	TRUE	TRUE	TRUE	TRUE	TRUE
gene_1572	interaction_vs_self	683.292807035003	2.17894540976356	0.0964857506948088	22.5830798234209	6.356162236007769e-113	5.72723670949753e-111	2.17155093996802	0.09655578476053281	mRNA_1572	TRUE	710243.XP_007602558.1	0.0	1004.0	COG2303@1|root,KOG1238@2759|Eukaryota,39T59@33154|Opisthokonta,3NWR9@4751|Fungi,3QNXB@4890|Ascomycota,213UQ@147550|Sordariomycetes,1EZU0@1028384|Glomerellales	4751|Fungi	E	Choline dehydrogenase			1.1.99.1	ko:K00108	ko00260,ko01100,map00260,map01100	M00555	R01025	RC00087	ko00000,ko00001,ko00002,ko01000				GMC_oxred_C,GMC_oxred_N,NAD_binding_8	SP	TRUE	0.000415	0.999559	CS pos: 19-20. Pr: 0.9776	TRUE	TRUE	3	-	AA3_2(48-675)	AA3_e44(49-674)	AA3	AA3_2	-	TRUE	TRUE	TRUE	up	TRUE	TRUE	TRUE	TRUE	TRUE
gene_5612	interaction_vs_self	282.538013450813	5.06200151048226	0.258757148987826	19.5627503637413	3.21271777342336e-85	1.7857703987340197e-83	5.037909222906804	0.25833162567921314	mRNA_5612	TRUE	61273.S3CKK9	3.31e-300	821.0	2BXAW@1|root,2R2FT@2759|Eukaryota,39REP@33154|Opisthokonta,3NYXW@4751|Fungi,3QQRD@4890|Ascomycota,216JM@147550|Sordariomycetes,3UUW2@5151|Ophiostomatales	4751|Fungi	G	Glycosyl hydrolases family 28			3.2.1.171	ko:K18580					ko00000,ko01000		GH28		CBM_1,Glyco_hydro_28	SP	TRUE	0.000355	0.999612	CS pos: 18-19. Pr: 0.9617	TRUE	TRUE	3	3.2.1.171:11	GH28(63-374)	GH28_e27(65-374)	GH28	GH28_e27	pectin	TRUE	TRUE	TRUE	up	TRUE	TRUE	TRUE	TRUE	TRUE
gene_3262	interaction_vs_self	2532.54010022028	1.22907246235972	0.067418969435846507	18.2303656173396	2.9633340665462103e-74	1.32807013663013e-72	1.2240081632454924	0.0674805652563553	mRNA_3262	TRUE	61273.S3BYH8	1.92e-207	574.0	COG5309@1|root,2QQE6@2759|Eukaryota,38HGU@33154|Opisthokonta,3NW21@4751|Fungi,3QNSF@4890|Ascomycota,218T7@147550|Sordariomycetes	4751|Fungi	G	Belongs to the glycosyl hydrolase 17 family	BGL2	GO:0000322,GO:0000323,GO:0000324,GO:0003674,GO:0003824,GO:0004338,GO:0004553,GO:0005575,GO:0005576,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005773,GO:0005975,GO:0005976,GO:0006073,GO:0008150,GO:0008152,GO:0008422,GO:0009272,GO:0009277,GO:0009405,GO:0009986,GO:0009987,GO:0010383,GO:0015926,GO:0016043,GO:0016740,GO:0016787,GO:0016798,GO:0022610,GO:0030312,GO:0030445,GO:0031505,GO:0034406,GO:0040007,GO:0042123,GO:0042124,GO:0042546,GO:0042710,GO:0042973,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044010,GO:0044011,GO:0044036,GO:0044042,GO:0044085,GO:0044110,GO:0044116,GO:0044117,GO:0044237,GO:0044238,GO:0044260,GO:0044262,GO:0044264,GO:0044403,GO:0044406,GO:0044407,GO:0044419,GO:0044424,GO:0044444,GO:0044464,GO:0044764,GO:0045229,GO:0051273,GO:0051703,GO:0051704,GO:0070879,GO:0071554,GO:0071555,GO:0071704,GO:0071840,GO:0071852,GO:0071944,GO:0071966,GO:0090605,GO:0090609	3.2.1.58	ko:K01210	ko00500,map00500		R00308,R03115	RC00467	ko00000,ko00001,ko01000				Glyco_hydro_17	SP	TRUE	0.000422	0.999563	CS pos: 18-19. Pr: 0.9745	TRUE	TRUE	3	-	GH17(22-300)	GH17_e53(24-300)	GH17	GH17_e53	-	TRUE	TRUE	TRUE	up	TRUE	TRUE	TRUE	TRUE	TRUE
gene_2975	interaction_vs_self	7233.2133929649	1.07078149577121	0.0605773623880799	17.6762647556591	6.38913722433193e-70	2.62937570385968e-68	1.0666047094115987	0.060600047357408274	mRNA_2975	TRUE	61273.S3BWB9	2.44e-171	486.0	COG2273@1|root,2QQ71@2759|Eukaryota,398QH@33154|Opisthokonta,3P1FB@4751|Fungi,3QRAF@4890|Ascomycota,21169@147550|Sordariomycetes,3UPS9@5151|Ophiostomatales	4751|Fungi	G	Glycosyl hydrolases family 16													Glyco_hydro_16	SP	TRUE	0.000222	0.999730	CS pos: 21-22. Pr: 0.9668	TRUE	TRUE	3	-	GH16_18(71-227)	GH16_e149(72-228)	GH16_18+GH16_18	GH16_18	-	TRUE	TRUE	TRUE	up	TRUE	TRUE	TRUE	TRUE	TRUE
gene_1129	interaction_vs_self	2807.40949039266	1.60476808895237	0.0964969066087219	16.6302542262772	4.20804997595834e-62	1.44662280298006e-60	1.5958605265976664	0.09660204745350709	mRNA_1129	TRUE	61273.S3DB69	4.2e-245	675.0	COG0685@1|root,2QR1E@2759|Eukaryota,38E3T@33154|Opisthokonta,3NW1F@4751|Fungi,3QMDA@4890|Ascomycota,212H5@147550|Sordariomycetes,3UQKF@5151|Ophiostomatales	4751|Fungi	E	Peroxidase	CCP1	GO:0000302,GO:0003674,GO:0003824,GO:0004130,GO:0004601,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005758,GO:0005829,GO:0006950,GO:0006979,GO:0008150,GO:0008152,GO:0009056,GO:0009636,GO:0009987,GO:0016209,GO:0016491,GO:0016684,GO:0016999,GO:0017001,GO:0017144,GO:0031967,GO:0031970,GO:0031974,GO:0031975,GO:0033554,GO:0034599,GO:0034614,GO:0042221,GO:0042737,GO:0042743,GO:0042744,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0044237,GO:0044248,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0050896,GO:0051186,GO:0051187,GO:0051716,GO:0055114,GO:0070013,GO:0070887,GO:0072593,GO:0097237,GO:0098754,GO:0098869,GO:1901700,GO:1901701,GO:1990748	1.11.1.5	ko:K00428					ko00000,ko01000			iMM904.YKR066C	peroxidase	OTHER	FALSE	0.999943	0.000080		TRUE	TRUE	3	-	AA2(94-346)	AA2_e1(95-347)	AA2	AA2_e1	lignin	TRUE	TRUE	TRUE	up	TRUE	TRUE	TRUE	TRUE	TRUE
gene_4140	interaction_vs_self	4681.09651750131	1.13042548785969	0.073081175607358	15.4680802335899	5.69811444580145e-54	1.6204604536897202e-52	1.1243896955299422	0.07315500613828975	mRNA_4140	TRUE	61273.S3C379	5.1e-221	622.0	COG2730@1|root,2QXN4@2759|Eukaryota,39KTT@33154|Opisthokonta,3Q571@4751|Fungi,3RNC7@4890|Ascomycota,21RPX@147550|Sordariomycetes	4751|Fungi	G	Belongs to the glycosyl hydrolase 5 (cellulase A) family			3.2.1.4	ko:K01179	ko00500,ko01100,map00500,map01100		R06200,R11307,R11308		ko00000,ko00001,ko01000		GH5,GH9		Cellulase	SP	TRUE	0.000362	0.999598	CS pos: 18-19. Pr: 0.9738	TRUE	TRUE	3	3.2.1.4:1	GH5_5(23-317)	GH5_e131(23-318)	GH5_5+GH5_5	GH5_5	beta-glucan	TRUE	TRUE	TRUE	up	TRUE	TRUE	TRUE	TRUE	TRUE
