organism	gene_id	base_mean	raw_lfc	plot_lfc	padj	preferred_name	description	pfam	display_label	informative	direction	eggnog_annotated	signal_peptide	cazyme
Fusarium	TRINITY_DN3394_c0_g1	363.277397170557	-1.95199224584839	-1.93153628281372	5.92887528806301e-41		Belongs to the short-chain dehydrogenases reductases (SDR) family	adh_short	Belongs to the short-chain dehydrogenases reductases (SDR…	TRUE	Downregulated	TRUE	FALSE	FALSE
Fusarium	TRINITY_DN4521_c0_g1	22.7195158756734	-2.16295100369989	-1.66813710738615	0.00335293837981196		cellulose-binding family ii	CBM_1	Cellulose-binding family ii	TRUE	Downregulated	TRUE	TRUE	TRUE
Fusarium	TRINITY_DN1318_c0_g1	594.770723485254	-1.3236273669838	-1.30983498408176	1.53357165608066e-40		zinc finger	Fungal_trans	Fungal_trans	TRUE	Downregulated	TRUE	FALSE	FALSE
Fusarium	TRINITY_DN14568_c0_g1	822.193304636002	-1.26854616590412	-1.25652254552065	9.64766035414254e-45		BCS1 N terminal	AAA,BCS1_N	BCS1 N terminal	TRUE	Downregulated	TRUE	FALSE	FALSE
Fusarium	TRINITY_DN8269_c1_g2	21.8099874760069	-1.68746462061599	-1.23926011810373	0.00751883212524596		Belongs to the cytochrome P450 family	p450	Belongs to the cytochrome P450 family	TRUE	Downregulated	TRUE	FALSE	FALSE
Fusarium	TRINITY_DN2760_c0_g1	401.8436486752	-1.24213957805141	-1.21346525616506	1.24836280098186e-18	DAO1	D-amino-acid oxidase; FAD dependent oxidoreductase	DAO	DAO1	TRUE	Downregulated	TRUE	FALSE	TRUE
Fusarium	TRINITY_DN1259_c0_g1	525.490413064163	-1.17546801125944	-1.15571468540637	2.2624344803552e-25			bZIP_2	BZIP_2	TRUE	Downregulated	TRUE	FALSE	FALSE
Fusarium	TRINITY_DN12913_c0_g1	57.5698692645145	-1.33791487484525	-1.12980641030667	7.2009012783116e-4		FAD binding domain	FAD_binding_2,FAD_binding_3	FAD binding domain	TRUE	Downregulated	TRUE	FALSE	FALSE
Fusarium	TRINITY_DN10331_c0_g1	92.5126066913497	2.38904591886784	2.32436937082911	2.54433333853851e-16	avfA	NAD(P)H-binding	NAD_binding_10	AvfA	TRUE	Upregulated	TRUE	FALSE	FALSE
Fusarium	TRINITY_DN11121_c0_g1	77.0492962184316	2.32440112578307	2.25159533128591	2.4401463719234502e-14		Aldo/keto reductase family	Aldo_ket_red	Aldo/keto reductase family	TRUE	Upregulated	TRUE	FALSE	FALSE
Fusarium	TRINITY_DN14440_c0_g1	696.758273831736	2.19055983007455	2.17867736936095	1.52639310364565e-78		Base excision DNA repair protein	HhH-GPD	Base excision DNA repair protein	TRUE	Upregulated	TRUE	FALSE	FALSE
Fusarium	TRINITY_DN8758_c0_g1	453.819847752638	1.42983082050649	1.40810710952287	1.13893934873983e-27		Acid phosphatase homologues	PAP2	Acid phosphatase homologues	TRUE	Upregulated	TRUE	FALSE	FALSE
Fusarium	TRINITY_DN1008_c0_g1	527.402723167333	1.28894034040691	1.27059732687877	1.77446993239958e-29		bZIP transcription factor	bZIP_1,bZIP_2	BZIP transcription factor	TRUE	Upregulated	TRUE	FALSE	FALSE
Fusarium	TRINITY_DN2554_c0_g1	4723.14007443458	1.24340953798187	1.23829952629287	6.489567275709009e-95	BGL4	Belongs to the glycosyl hydrolase 3 family	Fn3-like,Glyco_hydro_3,Glyco_hydro_3_C	BGL4	TRUE	Upregulated	TRUE	TRUE	TRUE
Fusarium	TRINITY_DN673_c0_g2	4867.51819567125	1.14458390324666	1.13984104432823	1.0395869454496299e-98		Amino acid permease	AA_permease	Amino acid permease	TRUE	Upregulated	TRUE	FALSE	TRUE
Fusarium	TRINITY_DN16102_c0_g1	227.184543087473	1.11966098933533	1.07195055401259	2.48714926971913e-10		Ankyrin repeats (many copies)	Ank,Ank_2,Ank_3,Ank_4,NACHT	Ankyrin repeats (many copies)	TRUE	Upregulated	TRUE	FALSE	FALSE
