pathway	gene_id
1,2-Dichloroethane degradation	gene_1207
1,2-Dichloroethane degradation	gene_2043
1,2-Dichloroethane degradation	gene_3213
1,2-Dichloroethane degradation	gene_3447
1,2-Dichloroethane degradation	gene_3449
1,2-Dichloroethane degradation	gene_4055
1,2-Dichloroethane degradation	gene_4567
1,2-Dichloroethane degradation	gene_677
1,2-Dichloroethane degradation	gene_8589
1,4-Dichlorobenzene degradation	gene_1501
1,4-Dichlorobenzene degradation	gene_1531
1,4-Dichlorobenzene degradation	gene_2632
1,4-Dichlorobenzene degradation	gene_2943
1,4-Dichlorobenzene degradation	gene_3352
1,4-Dichlorobenzene degradation	gene_3374
1,4-Dichlorobenzene degradation	gene_4253
1,4-Dichlorobenzene degradation	gene_5766
1,4-Dichlorobenzene degradation	gene_6265
1,4-Dichlorobenzene degradation	gene_6858
1,4-Dichlorobenzene degradation	gene_7764
1,4-Dichlorobenzene degradation	gene_7987
1,4-Dichlorobenzene degradation	gene_8471
1,4-Dichlorobenzene degradation	gene_981
2,4-Dichlorobenzoate degradation	gene_2717
2,4-Dichlorobenzoate degradation	gene_3956
2,4-Dichlorobenzoate degradation	gene_4065
2,4-Dichlorobenzoate degradation	gene_5907
2,4-Dichlorobenzoate degradation	gene_6795
2,4-Dichlorobenzoate degradation	gene_6973
2,4-Dichlorobenzoate degradation	gene_6989
2,4-Dichlorobenzoate degradation	gene_8571
3-Chloroacrylic acid degradation	gene_677
ATP synthesis	gene_4239
ATP synthesis	gene_4850
ATP synthesis	gene_7687
ATP synthesis	gene_7895
Alanine and aspartate metabolism	gene_1194
Alanine and aspartate metabolism	gene_1731
Alanine and aspartate metabolism	gene_1831
Alanine and aspartate metabolism	gene_2207
Alanine and aspartate metabolism	gene_2291
Alanine and aspartate metabolism	gene_3607
Alanine and aspartate metabolism	gene_3837
Alanine and aspartate metabolism	gene_4029
Alanine and aspartate metabolism	gene_4141
Alanine and aspartate metabolism	gene_4150
Alanine and aspartate metabolism	gene_4167
Alanine and aspartate metabolism	gene_4303
Alanine and aspartate metabolism	gene_4688
Alanine and aspartate metabolism	gene_4883
Alanine and aspartate metabolism	gene_643
Alanine and aspartate metabolism	gene_6501
Alanine and aspartate metabolism	gene_6523
Alanine and aspartate metabolism	gene_6621
Alanine and aspartate metabolism	gene_6968
Alanine and aspartate metabolism	gene_7046
Alanine and aspartate metabolism	gene_7062
Alanine and aspartate metabolism	gene_810
Alanine and aspartate metabolism	gene_814
Alkaloid biosynthesis I	gene_1194
Alkaloid biosynthesis I	gene_1531
Alkaloid biosynthesis I	gene_2632
Alkaloid biosynthesis I	gene_2753
Alkaloid biosynthesis I	gene_2762
Alkaloid biosynthesis I	gene_2875
Alkaloid biosynthesis I	gene_4253
Alkaloid biosynthesis I	gene_5022
Alkaloid biosynthesis I	gene_5766
Alkaloid biosynthesis I	gene_6501
Alkaloid biosynthesis I	gene_7764
Alkaloid biosynthesis I	gene_7987
Alkaloid biosynthesis II	gene_8120
Alkaloid biosynthesis II	gene_8544
Aminoacyl-tRNA biosynthesis	gene_121
Aminoacyl-tRNA biosynthesis	gene_1918
Aminoacyl-tRNA biosynthesis	gene_2009
Aminoacyl-tRNA biosynthesis	gene_2065
Aminoacyl-tRNA biosynthesis	gene_2095
Aminoacyl-tRNA biosynthesis	gene_2176
Aminoacyl-tRNA biosynthesis	gene_2184
Aminoacyl-tRNA biosynthesis	gene_2291
Aminoacyl-tRNA biosynthesis	gene_2612
Aminoacyl-tRNA biosynthesis	gene_3005
Aminoacyl-tRNA biosynthesis	gene_3494
Aminoacyl-tRNA biosynthesis	gene_3626
Aminoacyl-tRNA biosynthesis	gene_3666
Aminoacyl-tRNA biosynthesis	gene_4029
Aminoacyl-tRNA biosynthesis	gene_4040
Aminoacyl-tRNA biosynthesis	gene_4150
Aminoacyl-tRNA biosynthesis	gene_4299
Aminoacyl-tRNA biosynthesis	gene_463
Aminoacyl-tRNA biosynthesis	gene_4832
Aminoacyl-tRNA biosynthesis	gene_4892
Aminoacyl-tRNA biosynthesis	gene_5084
Aminoacyl-tRNA biosynthesis	gene_5085
Aminoacyl-tRNA biosynthesis	gene_5375
