gene_id	contrast	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	mrna_id	signalp_prediction	signalp_is_sp	signalp_other_score	signalp_sp_score	signalp_cs_position	dbcan_any_hit	dbcan_high_confidence	dbcan_n_tools	dbcan_ec	dbcan_hmm	dbcan_sub	dbcan_diamond	dbcan_recommended	dbcan_substrate	de_significant_padj_lt_0.05	de_strong_padj_lt_0.05_abs_log2fc_gt_1	de_direction	dbcan_any_hit_candidate	high_confidence_cazyme	significant_high_confidence_cazyme	strong_high_confidence_cazyme
gene_1575	onu_vs_self	935.456501955207	3.15249843018125	0.13926821110871	22.6361666103435	1.90944695273363e-113	1.85737112674998e-111	mRNA_1575	SP	TRUE	0.000258	0.999676	CS pos: 17-18. Pr: 0.9798	TRUE	TRUE	3	3.2.1.15:80	GH28(54-373)	GH28_e75(56-372)	GH28	GH28_e75	pectin	TRUE	TRUE	up	TRUE	TRUE	TRUE	TRUE
gene_5443	onu_vs_self	2337.22131810027	1.4333841927162	0.0748840117538582	19.1413915887372	1.14179453718431e-81	7.94614734820948e-80	mRNA_5443	SP	TRUE	0.000312	0.999658	CS pos: 18-19. Pr: 0.9788	TRUE	TRUE	3	3.2.1.4:38	GH5_5(49-327)	GH5_e137(50-327)	GH5_5+GH5_5	GH5_5	beta-glucan	TRUE	TRUE	up	TRUE	TRUE	TRUE	TRUE
gene_636	onu_vs_self	578.912871531249	2.48067258322893	0.131100651344378	18.92189365797	7.52998370908214e-80	4.92035576715596e-78	mRNA_636	SP	TRUE	0.000721	0.999233	CS pos: 15-16. Pr: 0.9376	TRUE	TRUE	3	3.1.1.-:1	CE12(18-235)	CE12_e43(19-235)	CE12	CE12_e43	xylan	TRUE	TRUE	up	TRUE	TRUE	TRUE	TRUE
gene_5065	onu_vs_self	1701.16694549723	1.09890555752862	0.0654628025092612	16.7867172715857	3.05269694784936e-63	1.51924917869713e-61	mRNA_5065	SP	TRUE	0.000248	0.999746	CS pos: 24-25. Pr: 0.9343	TRUE	TRUE	3	1.10.3.2:1	AA1(73-249)+AA1(335-626)	AA1_e8(74-626)	AA1	AA1_e8	lignin	TRUE	TRUE	up	TRUE	TRUE	TRUE	TRUE
gene_4724	onu_vs_self	454.526733539346	2.07908374790066	0.125179241716335	16.6088539872451	6.01309912674189e-62	2.95816830602934e-60	mRNA_4724	SP	TRUE	0.000220	0.999748	CS pos: 20-21. Pr: 0.9742	TRUE	TRUE	3	3.2.1.55:10	GH51_2(201-629)	GH51_e35(200-628)	GH51_2+GH51_2	GH51_2	arabinan	TRUE	TRUE	up	TRUE	TRUE	TRUE	TRUE
gene_3262	onu_vs_self	2532.54010022028	1.05660086413424	0.0661431290811043	15.974461426502	1.92509948688432e-57	8.53826508172529e-56	mRNA_3262	SP	TRUE	0.000422	0.999563	CS pos: 18-19. Pr: 0.9745	TRUE	TRUE	3	-	GH17(22-300)	GH17_e53(24-300)	GH17	GH17_e53	-	TRUE	TRUE	up	TRUE	TRUE	TRUE	TRUE
gene_1572	onu_vs_self	683.292807035003	1.468332214584	0.0947245733382855	15.5010697101819	3.4116438225619e-54	1.43155250593774e-52	mRNA_1572	SP	TRUE	0.000415	0.999559	CS pos: 19-20. Pr: 0.9776	TRUE	TRUE	3	-	AA3_2(48-675)	AA3_e44(49-674)	AA3	AA3_2	-	TRUE	TRUE	up	TRUE	TRUE	TRUE	TRUE
gene_3724	onu_vs_self	301.912564723342	1.98209628641632	0.12893340175821	15.3730240526296	2.48303724537035e-53	1.00733643698437e-51	mRNA_3724	OTHER	FALSE	1.000000	0.000000		TRUE	TRUE	3	3.2.1.39:7	GH16_4(175-500)	GH16_e102(176-501)	GH16_4+GH16_4	GH16_4	beta-glucan	TRUE	TRUE	up	TRUE	TRUE	TRUE	TRUE
gene_5612	onu_vs_self	282.538013450813	3.90320557583383	0.258226804973493	15.1154159857049	1.28159204199791e-51	5.0323063667441e-50	mRNA_5612	SP	TRUE	0.000355	0.999612	CS pos: 18-19. Pr: 0.9617	TRUE	TRUE	3	3.2.1.171:11	GH28(63-374)	GH28_e27(65-374)	GH28	GH28_e27	pectin	TRUE	TRUE	up	TRUE	TRUE	TRUE	TRUE
gene_7976	onu_vs_self	7621.68050997381	1.93640655491008	0.146096241866134	13.2543214676554	4.25952005072278e-40	1.19545874210449e-38	mRNA_7976	OTHER	FALSE	1.000000	0.000000		TRUE	TRUE	3	3.2.1.39:7	GH16_4(177-503)	GH16_e102(178-504)	GH16_4+GH16_4	GH16_4	beta-glucan	TRUE	TRUE	up	TRUE	TRUE	TRUE	TRUE
