gene_id	contrast	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	shrunk_log2FoldChange	shrunk_lfcSE	mrna_id	eggnog_annotated	eggnog_seed_ortholog	eggnog_evalue	eggnog_score	eggnog_eggnog_ogs	eggnog_max_annot_lvl	eggnog_cog_category	eggnog_description	eggnog_preferred_name	eggnog_gos	eggnog_ec	eggnog_kegg_ko	eggnog_kegg_pathway	eggnog_kegg_module	eggnog_kegg_reaction	eggnog_kegg_rclass	eggnog_brite	eggnog_kegg_tc	eggnog_cazy	eggnog_bigg_reaction	eggnog_pfams	signalp_prediction	signalp_is_sp	signalp_other_score	signalp_sp_score	signalp_cs_position	dbcan_any_hit	dbcan_high_confidence	dbcan_n_tools	dbcan_ec	dbcan_hmm	dbcan_sub	dbcan_diamond	dbcan_recommended	dbcan_substrate	de_significant_padj_lt_0.05	de_significant_raw_lfc1	de_significant_shrunk_lfc1	de_direction	dbcan_any_hit_candidate	high_confidence_cazyme	significant_high_confidence_cazyme	significant_raw_lfc1_high_confidence_cazyme	significant_shrunk_lfc1_high_confidence_cazyme
gene_8037	interaction_vs_onu	1715.6533994264	-4.98817655607198	0.1366481412598	-36.5038010036909	9.651820013821968e-292	1.03274474147895e-288	-4.9813184527977095	0.13669019015303527	mRNA_8037	TRUE	61273.S3CD34	0.0	1007.0	KOG0254@1|root,KOG0254@2759|Eukaryota,38D2W@33154|Opisthokonta,3NUYQ@4751|Fungi,3QK3D@4890|Ascomycota,212SW@147550|Sordariomycetes,3UVCF@5151|Ophiostomatales	4751|Fungi	P	Sugar (and other) transporter													Sugar_tr	OTHER	FALSE	0.999995	0.000025		TRUE	FALSE	1	-	-	-	GH43_14+CBM91+GH43_14	-	-	TRUE	TRUE	TRUE	down	TRUE	FALSE	FALSE	FALSE	FALSE
gene_4334	interaction_vs_onu	4962.65751129807	2.75447584623074	0.0818485274713327	33.6533341689683	2.78672816173351e-248	1.4908995665274298e-245	2.7501508459892294	0.08191332853896925	mRNA_4334	TRUE	61273.S3D2R6	1.45e-282	776.0	28M5F@1|root,2QTNB@2759|Eukaryota,38DZ8@33154|Opisthokonta,3NWX9@4751|Fungi,3QQ78@4890|Ascomycota,215FM@147550|Sordariomycetes,3UUQW@5151|Ophiostomatales	4751|Fungi	S	PAP2 superfamily													PAP2_3	OTHER	FALSE	0.790793	0.209188		TRUE	FALSE	1	-	-	-	GT1	-	-	TRUE	TRUE	TRUE	up	TRUE	FALSE	FALSE	FALSE	FALSE
gene_7477	interaction_vs_onu	16726.3379585231	-1.59432266936771	0.0515321458268898	-30.9384102638277	3.6379592248201796e-210	1.73005172024782e-207	-1.5915081179726258	0.05156158794797623	mRNA_7477	TRUE	61273.S3BTU9	0.0	995.0	COG0531@1|root,KOG1286@2759|Eukaryota,38DMK@33154|Opisthokonta,3NUN0@4751|Fungi,3QMEN@4890|Ascomycota,21220@147550|Sordariomycetes,3UVJA@5151|Ophiostomatales	4751|Fungi	E	Amino acid permease				ko:K16261					ko00000,ko02000	2.A.3.10			AA_permease	OTHER	FALSE	0.999998	0.000034		TRUE	FALSE	1	-	-	-	GH1	-	-	TRUE	TRUE	TRUE	down	TRUE	FALSE	FALSE	FALSE	FALSE
gene_8391	interaction_vs_onu	1505.09387311416	-3.95493711562264	0.127986180924884	-30.9012823653503	1.14800422003751e-209	5.1720611176426795e-207	-3.94675197487738	0.12794007582613406	mRNA_8391	TRUE	61273.S3BMC0	0.0	939.0	COG0477@1|root,KOG2533@2759|Eukaryota,39K3V@33154|Opisthokonta,3NWTF@4751|Fungi,3QJVB@4890|Ascomycota,21654@147550|Sordariomycetes,3UT72@5151|Ophiostomatales	4751|Fungi	G	Major Facilitator Superfamily													MFS_1	OTHER	FALSE	1.000000	0.000025		TRUE	FALSE	1	-	-	-	GH154	-	-	TRUE	TRUE	TRUE	down	TRUE	FALSE	FALSE	FALSE	FALSE
gene_6998	interaction_vs_onu	179882.54796647	3.42693276551389	0.119170072913047	28.756655775602	7.478221472537038e-182	2.9097079911326e-179	3.437823785457624	0.1190235186987861	mRNA_6998	TRUE	61273.S3BTS9	0.0	2649.0	COG1131@1|root,KOG0065@2759|Eukaryota,38F6P@33154|Opisthokonta,3NTZE@4751|Fungi,3QK1K@4890|Ascomycota,2126E@147550|Sordariomycetes,3UPZ6@5151|Ophiostomatales	4751|Fungi	Q	ABC-transporter extracellular N-terminal	CDR1	GO:0000166,GO:0000322,GO:0000323,GO:0000324,GO:0000724,GO:0000725,GO:0003674,GO:0003824,GO:0004012,GO:0005215,GO:0005319,GO:0005488,GO:0005496,GO:0005524,GO:0005548,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005773,GO:0005783,GO:0005886,GO:0006139,GO:0006259,GO:0006281,GO:0006302,GO:0006310,GO:0006725,GO:0006807,GO:0006810,GO:0006811,GO:0006820,GO:0006855,GO:0006869,GO:0006873,GO:0006950,GO:0006974,GO:0006979,GO:0008144,GO:0008150,GO:0008152,GO:0008289,GO:0008559,GO:0009719,GO:0009725,GO:0009986,GO:0009987,GO:0010033,GO:0010876,GO:0012505,GO:0014070,GO:0015238,GO:0015244,GO:0015318,GO:0015399,GO:0015405,GO:0015665,GO:0015711,GO:0015748,GO:0015850,GO:0015893,GO:0015903,GO:0015914,GO:0016020,GO:0016021,GO:0016043,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0019725,GO:0022804,GO:0022857,GO:0030003,GO:0030554,GO:0031224,GO:0032553,GO:0032555,GO:0032559,GO:0032870,GO:0033036,GO:0033554,GO:0033993,GO:0034204,GO:0034599,GO:0034641,GO:0035639,GO:0035690,GO:0036094,GO:0042221,GO:0042493,GO:0042562,GO:0042592,GO:0042623,GO:0042626,GO:0042891,GO:0042895,GO:0042908,GO:0042910,GO:0043167,GO:0043168,GO:0043170,GO:0043178,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043492,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044425,GO:0044444,GO:0044464,GO:0045117,GO:0045121,GO:0045332,GO:0046483,GO:0046618,GO:0048545,GO:0048878,GO:0050801,GO:0050896,GO:0051179,GO:0051234,GO:0051716,GO:0055080,GO:0055082,GO:0055085,GO:0061024,GO:0065007,GO:0065008,GO:0070887,GO:0071310,GO:0071383,GO:0071396,GO:0071407,GO:0071495,GO:0071702,GO:0071704,GO:0071705,GO:0071840,GO:0071944,GO:0090304,GO:0097035,GO:0097159,GO:0097367,GO:0098589,GO:0098805,GO:0098857,GO:0099130,GO:1901265,GO:1901360,GO:1901363,GO:1901474,GO:1901618,GO:1903875,GO:1903924,GO:1990239,GO:1990414,GO:1990961		ko:K08711,ko:K08712	ko02010,map02010				ko00000,ko00001,ko02000	3.A.1.205			ABC2_membrane,ABC_tran,ABC_trans_N,PDR_CDR	OTHER	FALSE	1.000000	0.000022		TRUE	FALSE	1	-	-	-	GH105	-	-	TRUE	TRUE	TRUE	up	TRUE	FALSE	FALSE	FALSE	FALSE
gene_1970	interaction_vs_onu	582.67167028229	2.83540714627162	0.101987934661376	27.8013978387329	4.172175576484159e-170	1.4285529173881698e-167	2.8285479010503813	0.10209995108266558	mRNA_1970	TRUE	29908.U7PKB8	0.0	917.0	COG2272@1|root,KOG4389@2759|Eukaryota,38EC4@33154|Opisthokonta,3Q3UK@4751|Fungi,3RNY5@4890|Ascomycota,21S6E@147550|Sordariomycetes	4751|Fungi	G	Carboxylesterase family													COesterase	SP	TRUE	0.000199	0.999776	CS pos: 23-24. Pr: 0.9776	TRUE	FALSE	1	-	-	-	AA7	-	-	TRUE	TRUE	TRUE	up	TRUE	FALSE	FALSE	FALSE	FALSE
gene_6516	interaction_vs_onu	2584.74806427892	2.60621238622444	0.0954666661749013	27.2997108901832	4.275252333495139e-164	1.40754461441225e-161	2.599835993617419	0.0955150215034265	mRNA_6516	TRUE	61273.S3BP84	1.11e-240	672.0	KOG2966@1|root,KOG2966@2759|Eukaryota,39QZZ@33154|Opisthokonta,3NU8G@4751|Fungi,3QQNM@4890|Ascomycota,21618@147550|Sordariomycetes,3UV2X@5151|Ophiostomatales	4751|Fungi	U	Mitochondrial calcium uniporter				ko:K20858	ko04020,ko04218,ko04621,map04020,map04218,map04621				ko00000,ko00001,ko02000	1.A.77.1			MCU	OTHER	FALSE	1.000000	0.000000		TRUE	FALSE	1	-	-	-	GT76	-	-	TRUE	TRUE	TRUE	up	TRUE	FALSE	FALSE	FALSE	FALSE
gene_5980	interaction_vs_onu	7546.98083061133	-2.27658632911253	0.0846045806399259	-26.9085469355566	1.7445018287846397e-159	5.530716909035739e-157	-2.2705344694463716	0.08468519231554415	mRNA_5980	TRUE	61273.S3D7K6	0.0	1331.0	COG2303@1|root,KOG1238@2759|Eukaryota,38B8Z@33154|Opisthokonta,3NXIY@4751|Fungi,3QKFY@4890|Ascomycota,213Y3@147550|Sordariomycetes,3UVG6@5151|Ophiostomatales	4751|Fungi	E	GMC oxidoreductase			1.1.3.13	ko:K17066	ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200	M00174	R00608	RC00034	ko00000,ko00001,ko00002,ko01000				GMC_oxred_C,GMC_oxred_N	OTHER	FALSE	1.000000	0.000000		TRUE	TRUE	3	1.1.3.13:12	AA3_3(5-641)	AA3_e3(6-642)	AA3_3+AA3_3	AA3_3	lignin	TRUE	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE	TRUE
gene_1109	interaction_vs_onu	27494.895952857	-2.44581083515737	0.0909061305538209	-26.9047953120096	1.9300613294851797e-159	5.900473207283249e-157	-2.4398062573281485	0.0910008037726781	mRNA_1109	TRUE	61273.S3CAY8	0.0	1808.0	COG1501@1|root,KOG1065@2759|Eukaryota,38C0A@33154|Opisthokonta,3NVMX@4751|Fungi,3QM0J@4890|Ascomycota,21361@147550|Sordariomycetes,3UUPK@5151|Ophiostomatales	4751|Fungi	G	N-terminal barrel of NtMGAM and CtMGAM, maltase-glucoamylase		GO:0000023,GO:0000025,GO:0000272,GO:0003674,GO:0003824,GO:0004553,GO:0004558,GO:0005575,GO:0005576,GO:0005618,GO:0005623,GO:0005975,GO:0005976,GO:0005984,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009311,GO:0009313,GO:0009987,GO:0015926,GO:0016020,GO:0016052,GO:0016740,GO:0016757,GO:0016758,GO:0016787,GO:0016798,GO:0030312,GO:0032450,GO:0042710,GO:0043170,GO:0044010,GO:0044011,GO:0044237,GO:0044238,GO:0044247,GO:0044248,GO:0044260,GO:0044262,GO:0044264,GO:0044275,GO:0044464,GO:0044654,GO:0044764,GO:0046352,GO:0046527,GO:0051703,GO:0051704,GO:0071704,GO:0071944,GO:0090599,GO:0090605,GO:0090609,GO:1901575	3.2.1.20	ko:K01187	ko00052,ko00500,ko01100,map00052,map00500,map01100		R00028,R00801,R00802,R06087,R06088	RC00028,RC00049,RC00077	ko00000,ko00001,ko01000		GH31		Gal_mutarotas_2,Glyco_hydro_31,NtCtMGAM_N	SP	TRUE	0.000358	0.999610	CS pos: 18-19. Pr: 0.9816	TRUE	TRUE	3	3.2.1.20:20	GH31_1(349-910)	GH31_e82(350-911)	GH31_1+GH31_1	GH31_1	alpha-glucan	TRUE	TRUE	TRUE	down	TRUE	TRUE	TRUE	TRUE	TRUE
gene_4072	interaction_vs_onu	1931.83769106385	-4.96817003581255	0.185664451539047	-26.7588652250305	9.737278975790809e-158	2.77837026775898e-155	-4.953449138904057	0.185812497210952	mRNA_4072	TRUE	61273.S3C4M5	0.0	971.0	KOG0254@1|root,KOG0254@2759|Eukaryota,38EHY@33154|Opisthokonta,3NX5K@4751|Fungi,3QPA7@4890|Ascomycota,2156P@147550|Sordariomycetes,3UW4T@5151|Ophiostomatales	4751|Fungi	P	Sugar (and other) transporter													Sugar_tr	OTHER	FALSE	0.999421	0.000559		TRUE	FALSE	1	-	-	-	GT31	-	-	TRUE	TRUE	TRUE	down	TRUE	FALSE	FALSE	FALSE	FALSE
