gene_id	contrast	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	shrunk_log2FoldChange	shrunk_lfcSE	mrna_id	eggnog_annotated	eggnog_seed_ortholog	eggnog_evalue	eggnog_score	eggnog_eggnog_ogs	eggnog_max_annot_lvl	eggnog_cog_category	eggnog_description	eggnog_preferred_name	eggnog_gos	eggnog_ec	eggnog_kegg_ko	eggnog_kegg_pathway	eggnog_kegg_module	eggnog_kegg_reaction	eggnog_kegg_rclass	eggnog_brite	eggnog_kegg_tc	eggnog_cazy	eggnog_bigg_reaction	eggnog_pfams	signalp_prediction	signalp_is_sp	signalp_other_score	signalp_sp_score	signalp_cs_position	dbcan_any_hit	dbcan_high_confidence	dbcan_n_tools	dbcan_ec	dbcan_hmm	dbcan_sub	dbcan_diamond	dbcan_recommended	dbcan_substrate	de_significant_padj_lt_0.05	de_significant_raw_lfc1	de_significant_shrunk_lfc1	de_direction	dbcan_any_hit_candidate	high_confidence_cazyme	significant_high_confidence_cazyme	significant_raw_lfc1_high_confidence_cazyme	significant_shrunk_lfc1_high_confidence_cazyme
gene_1322	interaction_vs_onu	12434.5333763648	9.61278226923638	0.124575672060828	77.1642015669211	0	0	9.612719435134787	0.12479155563479472	mRNA_1322	TRUE	61273.S3CCB5	8.59e-140	402.0	COG1028@1|root,KOG0725@2759|Eukaryota,3A2ME@33154|Opisthokonta,3P33Z@4751|Fungi,3QUY4@4890|Ascomycota,216XZ@147550|Sordariomycetes	4751|Fungi	Q	Belongs to the short-chain dehydrogenases reductases (SDR) family													adh_short,adh_short_C2	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	TRUE	up	FALSE	FALSE	FALSE	FALSE	FALSE
gene_4925	interaction_vs_onu	6720.10727881526	-3.49470367684521	0.0831249983811569	-42.0415488108738	0	0	-3.490798709946422	0.08316514300259546	mRNA_4925	TRUE	226899.F0XBC6	0.0	971.0	KOG0254@1|root,KOG0254@2759|Eukaryota,38F5R@33154|Opisthokonta,3NX4D@4751|Fungi,3QPF4@4890|Ascomycota,2134V@147550|Sordariomycetes,3UV6Y@5151|Ophiostomatales	4751|Fungi	P	Sugar (and other) transporter													Sugar_tr	OTHER	FALSE	0.915309	0.084706		FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	TRUE	down	FALSE	FALSE	FALSE	FALSE	FALSE
gene_412	interaction_vs_onu	10429.1991296384	3.03757645278598	0.0805402213270833	37.7150248997954	0	0	3.03389438850221	0.08059049175698806	mRNA_412	TRUE	61273.S3C913	0.0	1225.0	COG5056@1|root,KOG0380@2759|Eukaryota,38CTZ@33154|Opisthokonta,3NXII@4751|Fungi,3QMWQ@4890|Ascomycota,2126W@147550|Sordariomycetes,3URKT@5151|Ophiostomatales	4751|Fungi	I	MBOAT, membrane-bound O-acyltransferase family	ARE2	GO:0003674,GO:0003824,GO:0004772,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005789,GO:0006066,GO:0006629,GO:0006694,GO:0006696,GO:0008150,GO:0008152,GO:0008202,GO:0008204,GO:0008374,GO:0008610,GO:0009058,GO:0009987,GO:0012505,GO:0016020,GO:0016021,GO:0016125,GO:0016126,GO:0016128,GO:0016129,GO:0016740,GO:0016746,GO:0016747,GO:0030176,GO:0031224,GO:0031227,GO:0031984,GO:0034737,GO:0034738,GO:0042175,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044107,GO:0044108,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044281,GO:0044283,GO:0044422,GO:0044424,GO:0044425,GO:0044432,GO:0044444,GO:0044446,GO:0044464,GO:0046165,GO:0071704,GO:0097384,GO:0098827,GO:1901360,GO:1901362,GO:1901576,GO:1901615,GO:1901617,GO:1902652,GO:1902653	2.3.1.26	ko:K00637	ko00100,ko04979,map00100,map04979		R01461	RC00004,RC00055	ko00000,ko00001,ko01000				MBOAT	OTHER	FALSE	1.000000	0.000003		FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	TRUE	up	FALSE	FALSE	FALSE	FALSE	FALSE
gene_2352	interaction_vs_onu	5973.03635894417	2.97877052162455	0.0790856804455567	37.6651058047754	0	0	2.9750879283412273	0.07913119175432308	mRNA_2352	TRUE	61273.S3C7U3	0.0	1106.0	2D2V9@1|root,2SP5N@2759|Eukaryota,39YG7@33154|Opisthokonta,3P44J@4751|Fungi,3QPCA@4890|Ascomycota,213IA@147550|Sordariomycetes,3UPYP@5151|Ophiostomatales	4751|Fungi	S	GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain													Fungal_trans_2,Zn_clus	OTHER	FALSE	1.000000	0.000002		FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	TRUE	up	FALSE	FALSE	FALSE	FALSE	FALSE
gene_5989	interaction_vs_onu	3841.81062586484	2.7985011979826	0.0693819853638628	40.3346947093875	0	0	2.7955951682658218	0.06941681336419482	mRNA_5989	TRUE	61273.S3C967	0.0	992.0	COG2072@1|root,KOG1399@2759|Eukaryota,38I4U@33154|Opisthokonta,3NW5V@4751|Fungi,3QNBS@4890|Ascomycota,211HS@147550|Sordariomycetes,3USEH@5151|Ophiostomatales	4751|Fungi	Q	L-lysine 6-monooxygenase (NADPH-requiring)													FMO-like,Pyr_redox_2,Pyr_redox_3	OTHER	FALSE	1.000000	0.000036		FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	TRUE	up	FALSE	FALSE	FALSE	FALSE	FALSE
gene_2419	interaction_vs_onu	10359.0184742219	2.6343661608141	0.0627562801178103	41.9777296530115	0	0	2.632256292100371	0.06277125852519885	mRNA_2419	TRUE	61273.S3BTH1	0.0	1110.0	2ANWM@1|root,2RZFD@2759|Eukaryota,3A1YN@33154|Opisthokonta,3P2SX@4751|Fungi,3QNRN@4890|Ascomycota,214Y1@147550|Sordariomycetes,3UR09@5151|Ophiostomatales	4751|Fungi																OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	TRUE	up	FALSE	FALSE	FALSE	FALSE	FALSE
gene_6950	interaction_vs_onu	26829.7452189817	2.2296068323482	0.0454353419491025	49.072082143584304	0	0	2.2292670849948437	0.04542987198519181	mRNA_6950	TRUE	61273.S3BVJ5	0.0	1436.0	KOG4091@1|root,KOG4091@2759|Eukaryota,38EMI@33154|Opisthokonta,3NX1W@4751|Fungi,3QPRF@4890|Ascomycota,215QK@147550|Sordariomycetes,3URFV@5151|Ophiostomatales	4751|Fungi	K	CP2 transcription factor													CP2	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	TRUE	up	FALSE	FALSE	FALSE	FALSE	FALSE
gene_8037	interaction_vs_onu	1715.6533994264	-4.98817655607198	0.1366481412598	-36.5038010036909	9.651820013821968e-292	1.03274474147895e-288	-4.9813184527977095	0.13669019015303527	mRNA_8037	TRUE	61273.S3CD34	0.0	1007.0	KOG0254@1|root,KOG0254@2759|Eukaryota,38D2W@33154|Opisthokonta,3NUYQ@4751|Fungi,3QK3D@4890|Ascomycota,212SW@147550|Sordariomycetes,3UVCF@5151|Ophiostomatales	4751|Fungi	P	Sugar (and other) transporter													Sugar_tr	OTHER	FALSE	0.999995	0.000025		TRUE	FALSE	1	-	-	-	GH43_14+CBM91+GH43_14	-	-	TRUE	TRUE	TRUE	down	TRUE	FALSE	FALSE	FALSE	FALSE
gene_5946	interaction_vs_onu	7872.10627219754	3.04673535639528	0.0836755447259506	36.4112999368427	2.82038119583188e-290	2.682495892924549e-287	3.043111797212404	0.08374039000621195	mRNA_5946	TRUE	61273.S3CBR7	6.41e-202	565.0	2ASV5@1|root,2RZQS@2759|Eukaryota,38CD3@33154|Opisthokonta,3NY06@4751|Fungi,3QQ7P@4890|Ascomycota,214FF@147550|Sordariomycetes,3UPX8@5151|Ophiostomatales	4751|Fungi	S	Frag1/DRAM/Sfk1 family		GO:0000323,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005764,GO:0005773,GO:0005886,GO:0005887,GO:0006996,GO:0007010,GO:0007033,GO:0007154,GO:0007165,GO:0008150,GO:0009987,GO:0016020,GO:0016021,GO:0016043,GO:0023052,GO:0030029,GO:0030036,GO:0031224,GO:0031226,GO:0035556,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044425,GO:0044444,GO:0044459,GO:0044464,GO:0048017,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0065007,GO:0071840,GO:0071944											Frag1	OTHER	FALSE	1.000000	0.000000		FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	TRUE	up	FALSE	FALSE	FALSE	FALSE	FALSE
gene_4146	interaction_vs_onu	5245.56773993899	-3.26444243270277	0.0905275014216671	-36.0602290070655	9.534759391992059e-285	8.16175403954521e-282	-3.2594238305283145	0.09057679130746402	mRNA_4146	TRUE	61273.S3C1V8	0.0	1740.0	KOG2262@1|root,KOG2262@2759|Eukaryota,38D6E@33154|Opisthokonta,3NUA6@4751|Fungi,3QJQX@4890|Ascomycota,21223@147550|Sordariomycetes,3UUW8@5151|Ophiostomatales	4751|Fungi	T	OPT oligopeptide transporter protein	OPT6	GO:0000138,GO:0000322,GO:0000323,GO:0000324,GO:0001558,GO:0003674,GO:0005215,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005773,GO:0005777,GO:0005794,GO:0005795,GO:0005886,GO:0005887,GO:0006810,GO:0006857,GO:0006996,GO:0007033,GO:0008150,GO:0009987,GO:0012505,GO:0015833,GO:0016020,GO:0016021,GO:0016043,GO:0019725,GO:0022603,GO:0022604,GO:0022857,GO:0030307,GO:0031224,GO:0031226,GO:0031984,GO:0031985,GO:0032368,GO:0032879,GO:0033043,GO:0035672,GO:0035673,GO:0040008,GO:0042144,GO:0042579,GO:0042592,GO:0042886,GO:0042887,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043269,GO:0044070,GO:0044088,GO:0044422,GO:0044424,GO:0044425,GO:0044431,GO:0044444,GO:0044446,GO:0044459,GO:0044464,GO:0045454,GO:0045927,GO:0048284,GO:0048518,GO:0048522,GO:0048638,GO:0048639,GO:0050789,GO:0050793,GO:0050794,GO:0051049,GO:0051094,GO:0051128,GO:0051130,GO:0051179,GO:0051234,GO:0051510,GO:0051512,GO:0051513,GO:0051515,GO:0055085,GO:0061024,GO:0061025,GO:0061091,GO:0065007,GO:0065008,GO:0071702,GO:0071705,GO:0071840,GO:0071944,GO:0097035,GO:0097576,GO:0098791,GO:1904680,GO:1905952,GO:2001138											OPT	OTHER	FALSE	1.000000	0.000008		FALSE	FALSE	0	-	-	-	-	-	-	TRUE	TRUE	TRUE	down	FALSE	FALSE	FALSE	FALSE	FALSE
